
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,0,1,0,0,2,0,2,2,1,0,3,0,0,11
,三重高中,0,0,1,1,0,0,0,3,0,1,1,0,0,7
,三重商工,116,2,4,2,13,3,5,11,33,4,30,0,0,223
,中和高中,0,1,0,1,1,0,3,7,2,0,5,0,0,20
,中華高中,1,0,1,0,0,0,0,1,5,0,2,0,0,10
,中華商海,1,0,0,0,0,0,0,1,8,0,0,0,0,10
,丹鳳高中,1,0,1,0,2,0,4,1,1,0,7,0,0,17
,北大高中,0,1,2,0,0,1,5,0,0,0,3,0,1,13
,永平高中,0,1,0,0,1,1,3,5,0,0,5,0,0,16
,石碇高中,23,0,0,0,0,0,0,1,0,0,6,0,0,30
,光仁高中,0,1,0,0,0,0,1,1,0,0,0,0,0,3
,光復高中,0,1,1,0,0,1,2,1,1,0,5,0,0,12
,光華高商進修學校,0,0,0,1,1,0,1,3,2,0,2,0,0,10
,安康高中,17,0,0,0,0,1,1,0,2,7,11,0,0,39
,竹林高中,0,1,0,0,1,0,0,0,0,0,3,0,0,5
,竹圍高中,0,0,0,0,0,0,0,1,4,0,5,0,0,10
,秀峰高中,0,0,0,0,1,0,0,2,1,0,6,0,0,10
,明德高中,0,0,0,0,0,0,0,3,3,0,3,0,0,9
,東海高中,10,1,3,3,0,0,4,5,37,0,11,0,1,75
,林口高中,0,0,0,0,2,2,3,6,4,0,8,0,0,25
,板橋高中,0,2,3,0,4,9,7,3,3,0,28,0,0,59
,金山高中,1,0,0,0,1,1,0,1,4,0,2,0,0,10
,金陵女中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,南山高中,0,0,2,0,1,0,2,0,1,0,5,0,0,11
,南強工商,2,2,1,0,1,0,0,1,26,0,5,0,0,38
,恆毅高中,0,0,0,0,1,0,0,1,0,0,1,0,0,3
,徐匯高中,0,0,0,1,0,0,0,0,1,0,4,0,0,6
,時雨高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,格致高中,0,0,1,0,2,0,1,4,2,0,6,0,0,16
,泰山高中,12,0,4,2,6,0,1,4,25,1,21,0,0,76
,海山高中,0,4,2,0,3,0,1,1,1,0,5,0,1,18
,能仁家商,92,1,1,0,2,0,4,8,43,3,28,0,1,183
,崇光女中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,崇義高中,2,0,0,0,0,0,0,1,6,0,0,0,0,9
,淡水商工,108,0,4,2,5,3,1,6,52,3,27,0,0,211
,淡江高中,0,0,0,0,0,0,0,2,3,0,2,0,0,7
,清水高中,0,0,0,1,0,0,3,0,2,0,2,0,1,9
,清傳高商,1,1,0,0,1,0,1,1,1,0,0,0,0,6
,莊敬工家,7,5,1,0,4,0,3,11,60,0,13,0,2,106
,復興商工,1,1,13,0,2,1,6,10,47,1,35,0,0,117
,智光商工,13,0,3,2,1,1,2,10,49,1,22,0,0,104
,華僑高中,1,2,1,0,2,0,3,2,2,0,5,0,0,18
,開明工商,5,0,2,0,2,0,0,4,36,0,4,0,1,54
,新北高工,102,0,6,0,9,0,4,12,54,2,44,0,0,233
,新北高中,0,1,3,0,4,0,2,0,1,0,6,0,0,17
,新店高中,0,1,1,0,3,3,2,3,6,1,12,0,1,33
,新莊高中,0,0,1,0,5,1,4,0,3,0,10,0,0,24
,瑞芳高工,25,0,1,0,1,1,1,3,26,0,17,0,0,75
,聖心女中,0,0,0,0,0,0,2,2,0,0,0,0,0,4
,裕德實驗高中,0,0,0,0,0,2,0,0,0,0,0,0,0,2
,穀保家商,33,0,4,1,5,4,4,9,57,4,14,0,1,136
,樹人家商,10,0,5,2,3,1,3,4,37,1,2,0,0,68
,樹林高中,12,1,0,0,2,2,2,0,2,7,11,0,0,39
,豫章工商,6,1,2,3,0,0,1,5,52,0,13,0,0,83
,醒吾高中,2,0,0,0,2,0,1,2,21,0,3,0,1,32
,錦和高中,0,0,0,0,2,0,0,0,1,0,3,0,0,6
,雙溪高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,辭修高中,0,0,1,0,0,0,0,0,0,0,1,0,0,2
,鶯歌工商,74,3,5,2,8,0,5,2,27,4,41,0,1,172
,總計,678,35,80,24,108,38,100,166,756,40,509,0,12,2546
