
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,0,0,0,0,2,0,0,1,1,0,3,0,0,7
,三重高中,0,0,0,0,3,0,0,1,0,0,1,0,0,5
,三重商工,120,1,0,0,3,0,2,3,12,3,14,0,0,158
,中和高中,0,0,5,0,5,0,3,2,2,0,5,0,2,24
,中華高中,2,0,3,0,2,0,1,0,2,0,0,0,0,10
,中華商海,2,0,0,0,0,0,0,0,5,1,0,0,0,8
,丹鳳高中,0,0,1,0,2,0,0,0,0,0,1,0,0,4
,永平高中,0,0,0,0,0,0,2,1,1,1,4,0,0,9
,石碇高中,0,0,0,0,0,0,0,1,0,1,4,0,0,6
,光仁高中,0,0,0,0,0,0,0,3,0,0,0,0,0,3
,光華高商進修學校,3,0,0,0,1,0,1,1,2,0,0,0,0,8
,安康高中,4,0,0,0,2,0,0,0,0,1,2,0,0,9
,竹林高中,0,0,0,0,0,0,0,0,1,1,0,0,0,2
,秀峰高中,0,1,0,0,0,0,1,1,0,1,4,0,0,8
,明德高中,0,0,1,0,3,0,2,0,0,2,2,0,1,11
,東海高中,6,1,0,0,3,0,3,1,20,1,7,0,1,43
,林口高中,0,1,1,0,0,0,2,0,4,0,5,0,1,14
,板橋高中,0,3,2,0,7,0,4,6,2,0,13,0,0,37
,金山高中,0,0,4,0,1,0,1,0,0,1,0,0,0,7
,南山高中,0,0,1,0,0,0,2,0,0,0,4,0,0,7
,南強工商,3,1,0,0,3,0,1,3,24,0,3,0,1,39
,恆毅高中,0,0,1,0,2,0,0,2,0,0,0,0,0,5
,徐匯高中,0,0,1,0,0,0,1,1,1,0,1,0,0,5
,格致高中,0,0,1,0,2,0,1,1,4,0,1,0,0,10
,泰山高中,0,0,8,0,1,0,4,2,23,1,13,0,0,52
,海山高中,0,3,1,0,1,0,0,0,5,1,1,0,0,12
,能仁家商,119,0,0,0,7,0,3,8,18,10,22,0,2,189
,崇光女中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,崇義高中,1,0,0,0,0,0,1,1,1,0,0,0,0,4
,康橋實驗高中,0,0,0,0,0,0,0,0,1,0,2,0,1,4
,淡水商工,107,3,6,1,3,0,2,5,38,10,19,0,0,194
,淡江高中,1,0,0,0,0,0,1,1,1,0,1,0,0,5
,清水高中,0,2,2,0,1,0,1,0,1,0,1,0,1,9
,清傳高商,1,0,0,0,0,0,0,0,1,0,4,0,0,6
,莊敬工家,11,2,3,1,2,0,2,3,29,1,4,0,0,58
,復興商工,1,1,9,0,4,0,5,12,31,1,8,0,1,73
,智光商工,6,1,5,0,4,0,3,8,28,1,21,0,1,78
,華僑實驗高中,0,0,1,0,0,0,1,2,3,0,9,0,0,16
,開明工商,3,0,1,2,4,0,4,6,51,0,4,0,1,76
,新北高工,72,1,3,0,3,0,1,5,28,2,15,0,0,130
,新北高中(原國立三重),0,1,1,0,7,0,2,3,1,0,3,0,0,18
,新店高中,0,0,1,0,4,0,5,8,0,0,7,0,0,25
,新莊高中,0,1,1,0,5,0,2,0,0,0,8,0,1,18
,瑞芳高工,19,0,0,2,3,0,1,2,9,2,8,0,0,46
,聖心女中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,榖保家商,44,0,6,0,6,0,3,6,35,4,12,0,1,117
,樹人家商,7,0,2,0,4,0,3,3,9,0,3,0,0,31
,樹林高中,7,0,1,0,3,0,2,1,1,4,4,0,0,23
,豫章工商,4,2,1,1,4,0,7,1,19,1,7,0,2,49
,醒吾高中,4,0,2,0,4,0,5,1,9,0,1,0,0,26
,錦和高中,0,0,3,0,2,0,3,1,0,0,1,0,0,10
,雙溪高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,辭修高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,鶯歌工商,74,0,2,0,3,0,0,3,27,6,16,0,0,131
,總計,621,25,80,7,117,0,88,110,452,57,269,0,17,1843
