
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,0,0,0,0,4,0,0,1,0,2,0,1,8
,三重高中,1,0,0,0,2,0,1,0,0,1,0,0,5
,三重商工,119,1,0,0,3,2,2,16,5,11,0,0,159
,中和高中,0,0,4,0,3,3,1,2,1,5,0,2,21
,中華高中,2,0,2,0,1,0,0,3,0,0,0,0,8
,中華商海,4,0,0,0,0,0,2,4,1,0,0,0,11
,丹鳳高中,0,0,1,0,2,0,0,1,0,1,0,0,5
,永平高中,0,1,0,0,0,3,1,1,0,2,0,0,8
,石碇高中,0,0,0,0,0,0,1,0,1,3,0,0,5
,光仁高中,0,0,0,0,0,0,2,0,0,1,0,0,3
,光華高商進修學校,1,0,1,0,1,1,0,1,0,0,0,0,5
,安康高中,0,0,0,0,1,0,0,0,0,2,0,0,3
,竹林高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,秀峰高中,0,1,0,0,0,1,0,1,0,5,0,0,8
,明德高中,0,0,1,0,1,1,1,0,2,2,0,1,9
,東海高中,7,1,1,1,2,5,0,15,1,5,0,1,39
,林口高中,0,0,0,0,0,1,1,2,0,3,0,1,8
,板橋高中,0,6,1,0,7,2,3,0,2,10,0,1,32
,金山高中,0,0,1,0,0,2,0,0,1,2,0,0,6
,南山高中,0,0,1,0,0,1,0,0,0,3,0,0,5
,南強工商,5,0,1,0,4,1,3,28,2,2,0,1,47
,恆毅高中,0,0,1,0,1,0,0,0,0,0,0,0,2
,徐匯高中,0,0,1,0,1,1,1,1,0,1,0,0,6
,格致高中,0,0,0,0,3,2,0,3,0,1,0,0,9
,泰山高中,0,0,12,0,0,1,1,21,0,5,0,1,41
,海山高工,74,1,3,0,3,1,3,26,5,10,0,1,127
,海山高中,0,2,1,0,2,1,0,6,0,1,0,0,13
,能仁家商,129,0,0,0,3,5,7,20,9,20,0,2,195
,國立三重高中,0,0,1,0,5,0,1,2,1,3,0,0,13
,崇義高中,0,0,0,0,0,2,0,1,0,0,0,0,3
,康橋實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,淡水商工,110,3,3,1,2,2,4,28,14,20,0,0,187
,淡江高中,0,0,0,0,1,2,1,1,0,2,0,1,8
,清水高中,1,1,1,0,1,0,0,2,0,1,0,0,7
,清傳高商,1,0,0,0,0,0,1,0,0,5,0,0,7
,莊敬工家,8,1,2,0,2,2,4,21,2,0,0,0,42
,復興商工,1,0,5,0,3,7,6,31,1,5,0,2,61
,智光商工,3,2,5,0,5,6,7,18,1,14,0,1,62
,華僑實驗高中,0,0,3,0,0,1,1,2,0,11,0,0,18
,開明工商,6,0,1,2,3,5,3,41,0,1,0,0,62
,新店高中,0,0,1,0,4,2,7,0,0,8,0,0,22
,新莊高中,0,0,1,0,3,1,0,1,0,9,0,1,16
,瑞芳高工,12,0,0,0,3,1,1,14,0,6,0,0,37
,聖心女中,0,0,0,0,0,0,0,1,0,0,0,0,1
,榖保家商,41,0,5,0,9,3,5,24,5,9,0,1,102
,樹人家商,1,0,2,0,2,4,2,8,1,1,0,1,22
,樹林高中,0,1,1,0,3,1,0,2,0,1,0,0,9
,豫章工商,2,1,0,4,4,4,2,25,2,6,0,1,51
,醒吾高中,1,0,2,0,2,5,1,4,2,2,0,0,19
,錦和高中,0,0,3,0,2,2,1,0,0,2,0,0,10
,雙溪高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,辭修高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,鶯歌高職,77,1,2,0,5,0,0,23,6,7,0,1,122
,總計,606,23,71,8,103,85,77,404,65,211,0,21,1674
