
,教育階段：高中職,製表日期：2018/3/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,1,1,0,1,1,0,1,2,1,0,1,0,0,9
,三重高中,0,0,1,1,0,0,0,4,1,1,0,0,0,8
,三重商工,111,2,4,2,7,3,3,8,36,2,34,0,0,212
,中和高中,0,1,0,0,3,0,4,4,2,0,7,0,0,21
,中華高中,0,0,3,0,0,0,1,3,9,0,2,0,0,18
,中華商海,1,0,0,0,0,0,0,1,7,0,0,0,0,9
,丹鳳高中,1,0,0,1,2,1,3,1,2,0,4,0,0,15
,北大高中,0,3,3,0,1,2,4,0,0,0,4,0,1,18
,永平高中,0,2,1,0,2,0,4,6,2,0,6,0,0,23
,石碇高中,25,0,0,0,0,0,0,1,3,1,6,0,0,36
,光仁高中,0,0,0,0,0,0,0,0,0,0,2,0,0,2
,光復高中,11,1,0,0,1,2,3,1,3,0,9,0,0,31
,光華高商進修學校,0,0,1,0,1,0,1,1,5,0,2,0,0,11
,安康高中,17,0,0,0,0,1,1,0,2,9,11,0,0,41
,竹林高中,0,1,1,0,1,0,0,0,1,0,3,0,0,7
,竹圍高中,0,0,0,0,0,0,1,1,8,0,4,0,0,14
,秀峰高中,0,0,0,0,2,0,0,1,2,0,5,0,0,10
,明德高中,0,0,0,0,0,1,1,3,3,0,2,0,0,10
,東海高中,8,0,4,5,0,0,2,8,49,0,12,0,1,89
,林口高中,0,0,0,0,2,3,4,3,5,0,7,0,1,25
,板橋高中,0,5,7,2,2,7,8,7,2,0,30,0,1,71
,金山高中,1,1,0,0,0,0,0,0,7,0,2,0,0,11
,南山高中,0,0,2,0,2,0,2,0,1,0,5,0,0,12
,南強工商,4,1,0,0,2,0,0,0,20,0,5,0,0,32
,恆毅高中,0,0,0,0,2,0,0,1,1,0,2,0,0,6
,徐匯高中,0,0,0,1,1,0,0,0,2,0,5,0,0,9
,時雨高中,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,格致高中,0,0,1,0,3,0,0,3,3,0,6,0,0,16
,泰山高中,24,0,6,2,4,0,2,4,27,1,22,0,1,93
,海山高中,0,2,2,0,5,0,2,1,1,0,9,0,1,23
,能仁家商,94,1,1,0,4,3,2,9,57,3,31,0,0,205
,崇光女中,0,0,1,0,1,0,0,0,0,0,0,0,0,2
,崇義高中,1,0,0,0,0,0,0,1,5,0,0,0,0,7
,淡水商工,104,0,2,4,3,3,0,11,58,1,28,0,0,214
,淡江高中,0,0,0,0,0,1,1,2,5,0,1,0,0,10
,清水高中,7,1,0,0,1,0,2,0,2,2,2,0,0,17
,清傳高商,1,1,0,0,1,0,0,2,2,0,1,0,0,8
,莊敬工家,6,3,1,1,4,0,2,19,75,1,12,0,3,127
,復興商工,3,0,10,0,3,0,5,10,46,0,37,0,1,115
,智光商工,11,1,5,1,1,1,5,14,47,0,26,0,0,112
,華僑高中,1,2,2,0,6,0,2,2,3,0,6,0,0,24
,開明工商,4,0,0,0,1,0,0,7,36,0,2,0,0,50
,新北高工,119,1,9,1,7,0,4,16,56,1,49,0,0,263
,新北高中,0,1,3,1,3,2,2,3,3,0,5,0,0,23
,新店高中,0,0,2,0,2,2,1,2,7,1,15,0,0,32
,新莊高中,0,0,2,1,4,2,1,1,4,0,18,0,0,33
,瑞芳高工,28,0,1,0,2,1,1,3,25,0,20,0,0,81
,聖心女中,0,0,0,0,0,0,3,2,0,0,0,0,0,5
,裕德高中,0,0,0,0,0,2,0,0,0,0,0,0,0,2
,樟樹國際實創高中,0,0,0,0,0,0,0,0,3,0,2,0,0,5
,穀保家商,26,0,1,1,4,3,3,11,67,1,11,0,2,130
,樹人家商,8,0,5,1,4,1,5,3,41,0,2,0,1,71
,樹林高中,17,1,0,0,3,2,1,1,1,10,15,0,0,51
,豫章工商,5,1,0,3,0,0,2,5,47,1,16,0,0,80
,醒吾高中,0,0,1,0,0,0,0,2,18,0,2,0,1,24
,錦和高中,0,0,0,0,1,1,1,1,1,0,3,0,0,8
,雙溪高中,0,0,0,0,0,0,0,1,1,0,2,0,0,4
,辭修高中,0,0,0,0,0,0,1,0,0,0,1,0,0,2
,鶯歌工商,68,2,5,5,7,2,3,4,35,4,39,0,1,175
,總計,707,36,87,34,106,46,94,196,850,39,553,0,15,2763
