
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三民高中,0,1,1,0,0,0,0,1,0,0,0,0,3
,三重高中,0,0,1,0,1,1,0,1,0,3,0,0,7
,三重商工,94,3,4,0,6,3,0,7,7,3,0,1,128
,中和高中,0,0,4,0,0,2,0,0,0,1,0,1,8
,中華高中,1,0,0,0,1,1,1,2,1,2,0,1,10
,中華商海,2,0,0,0,0,0,0,5,0,0,0,1,8
,及人高中,0,0,0,0,2,1,0,0,0,0,0,0,3
,永平高中,0,0,0,1,0,0,0,0,0,3,0,0,4
,石碇高中,0,0,0,0,0,0,1,1,0,1,0,0,3
,光仁高中,0,0,0,0,0,0,0,0,0,1,0,0,1
,光華高商進修學校,2,0,0,0,1,0,0,0,0,0,0,0,3
,安康高中,0,0,1,0,1,1,0,0,0,0,0,0,3
,竹林高中,0,0,0,0,1,0,0,0,0,0,0,3,4
,秀峰高中,0,0,0,0,0,1,1,1,0,3,0,0,6
,明德高中,0,0,0,0,0,2,0,0,0,1,0,0,3
,東海高中,2,0,1,1,6,0,0,5,0,0,0,2,17
,林口高中,0,2,2,0,2,1,0,1,0,2,0,1,11
,板橋高中,0,10,0,0,4,4,1,0,0,3,0,2,24
,金山高中,0,0,1,0,1,0,0,0,0,0,0,0,2
,金陵女中,0,0,0,0,1,2,0,0,0,0,0,1,4
,南山高中,0,0,1,0,2,1,0,0,0,0,0,1,5
,南強工商,9,1,3,0,1,0,1,16,0,1,0,1,33
,恆毅高中,0,1,0,0,2,0,0,1,0,0,0,0,4
,徐匯高中,0,0,0,0,3,0,1,1,0,2,0,0,7
,格致高中,1,0,0,0,1,1,0,2,0,1,0,0,6
,泰山高中,0,3,3,0,3,1,3,6,1,1,0,0,21
,海山高工,78,2,2,0,1,3,1,7,6,7,0,0,107
,海山高中,0,0,1,0,0,0,0,2,0,2,0,0,5
,能仁家商,87,2,3,0,4,1,2,18,11,12,0,3,143
,國立三重高中,0,1,3,0,3,3,1,0,1,0,0,0,12
,崇義高中,1,0,0,0,1,0,0,1,0,0,0,0,3
,淡水商工,76,3,3,0,2,2,1,8,4,6,0,1,106
,淡江高中,1,0,0,0,2,4,0,1,0,1,0,0,9
,清水高中,0,2,0,0,1,3,0,0,1,0,0,0,7
,清傳高商,1,0,0,0,5,4,0,0,0,1,0,0,11
,莊敬工家,5,0,3,0,2,2,0,11,0,2,0,0,25
,復興商工,0,0,8,0,6,1,1,15,1,6,0,2,40
,智光商工,4,1,11,1,11,5,7,18,5,14,0,1,78
,華僑實驗高中,0,0,0,0,0,1,0,0,0,2,0,1,4
,開明工商,28,0,3,0,3,0,2,26,4,1,0,2,69
,新店高中,0,0,0,0,2,1,0,0,1,3,0,0,7
,新莊高中,0,0,4,0,6,2,0,0,1,2,0,1,16
,瑞芳高工,0,2,1,0,2,0,0,14,0,0,0,0,19
,聖心女中,0,0,0,0,0,0,0,0,0,1,0,0,1
,榖保家商,47,1,7,0,8,1,1,11,10,3,0,3,92
,樹人家商,6,3,2,0,5,3,0,2,0,1,0,1,23
,樹林高中,0,1,0,1,1,0,0,1,0,0,0,1,5
,豫章工商,4,1,7,1,4,6,2,10,2,3,0,0,40
,醒吾高中,3,0,1,1,4,2,2,2,2,1,0,0,18
,錦和高中,0,0,2,0,1,1,0,0,2,0,0,0,6
,鶯歌高職,57,1,4,0,2,1,0,6,1,4,0,1,77
,總計,509,41,87,6,115,68,29,203,61,100,0,32,1251
