
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三育高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,中興高中,1,2,0,0,2,0,1,2,1,2,0,1,12
,五育高中,1,0,0,0,0,2,0,1,1,0,0,0,5
,仁愛高農,4,0,1,0,2,2,1,9,0,0,0,1,20
,水里商工,26,1,1,0,0,2,3,18,2,0,0,0,53
,同德家商,9,1,4,1,6,4,3,34,0,1,0,5,68
,旭光高中,0,0,1,0,0,0,0,1,0,0,0,0,2
,竹山高中,26,0,2,0,2,0,1,5,1,2,0,0,39
,南投高中,0,1,1,0,1,0,1,5,0,0,0,0,9
,南投高商,37,0,1,1,3,3,2,5,3,0,0,0,55
,埔里高工,71,0,0,0,0,2,4,34,2,2,0,0,115
,草屯商工,39,1,1,2,5,2,1,15,3,4,0,0,73
,暨大附中,1,3,2,0,3,3,2,7,0,3,0,2,26
,總計,215,9,14,4,24,21,19,137,13,14,0,9,479
