,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,317,232,85,1867,1076,791,1018,609,385,214,10,409,197,96,83,28,3,2,31614,21208,4706,9414,50,7038,10406,5059,2637,2025,606,26,29,24
,台灣地區,315,230,85,1859,1068,791,1013,604,382,212,10,409,197,96,83,28,3,2,31534,21128,4684,9366,50,7028,10406,5059,2637,2025,606,26,29,24
,新北市,26,17,9,184,154,30,101,71,55,10,6,30,6,11,12,1,0,0,3129,2346,667,353,15,1311,783,118,353,288,23,0,0,1
,臺北市,54,37,17,333,149,184,165,69,28,41,0,96,67,12,9,6,0,2,5520,2797,365,1362,0,1070,2723,1932,340,288,134,0,29,0
,臺中市,33,25,8,174,126,48,114,69,45,22,2,45,27,6,9,3,0,0,3217,1942,532,1078,27,305,1275,775,208,212,70,0,0,10
,臺南市,29,23,6,131,81,50,73,48,27,20,1,25,12,7,3,3,0,0,2469,1813,374,1019,1,419,656,360,144,80,72,0,0,0
,高雄市,35,25,10,145,99,46,94,65,37,28,0,29,4,9,10,3,3,0,3150,2455,464,885,1,1105,695,90,252,257,62,26,0,8
,宜蘭縣,10,7,3,70,29,41,31,16,9,7,0,15,6,3,3,3,0,0,839,501,94,385,0,22,338,128,79,70,61,0,0,0
,桃園市,29,21,8,126,72,54,81,50,32,18,0,31,6,12,10,3,0,0,3259,2434,430,1276,0,728,825,122,382,260,61,0,0,0
,新竹縣,6,5,1,23,22,1,20,17,12,5,0,3,0,0,0,3,0,0,613,554,152,287,0,115,59,0,0,0,59,0,0,0
,苗栗縣,9,7,2,48,43,5,26,20,14,6,0,6,0,6,0,0,0,0,965,807,151,417,0,239,158,0,158,0,0,0,0,0
,彰化縣,16,13,3,80,62,18,55,37,24,13,0,18,12,3,3,0,0,0,1433,1051,316,649,4,82,382,213,84,84,0,0,0,1
,南投縣,10,7,3,49,36,13,33,21,16,5,0,12,6,3,3,0,0,0,787,494,168,155,0,171,293,118,101,74,0,0,0,0
,雲林縣,9,6,3,57,29,28,34,22,16,6,0,12,6,3,3,0,0,0,977,699,200,263,0,236,278,178,50,50,0,0,0,0
,嘉義縣,2,2,0,13,13,0,6,6,5,1,0,0,0,0,0,0,0,0,303,303,50,26,0,227,0,0,0,0,0,0,0,0
,屏東縣,11,9,2,88,42,46,42,27,19,7,1,15,9,3,3,0,0,0,998,635,222,235,2,176,363,232,73,57,0,0,0,1
,臺東縣,6,5,1,17,14,3,12,9,6,3,0,3,0,3,0,0,0,0,352,282,68,94,0,120,70,0,70,0,0,0,0,0
,花蓮縣,7,5,2,61,20,41,29,14,9,5,0,15,9,3,3,0,0,0,679,429,105,169,0,155,250,143,58,48,0,0,0,1
,澎湖縣,2,1,1,18,10,8,11,5,4,1,0,6,0,3,3,0,0,0,111,63,30,28,0,5,48,0,36,12,0,0,0,0
,基隆市,4,3,1,20,17,3,15,9,6,3,0,6,0,3,3,0,0,0,441,293,78,115,0,100,148,0,68,78,0,0,0,2
,新竹市,11,8,3,154,29,125,40,19,12,7,0,21,15,3,3,0,0,0,1388,860,139,347,0,374,528,353,94,81,0,0,0,0
,嘉義市,6,4,2,68,21,47,31,10,6,4,0,21,12,3,3,3,0,0,904,370,79,223,0,68,534,297,87,86,64,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,80,80,22,48,0,10,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,66,66,22,34,0,10,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0
