,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,304,220,84,1803,1038,765,995,584,378,197,9,411,199,96,84,27,3,2,30512,20292,4776,8633,153,6730,10220,5252,2406,1977,529,49,7,0
,台灣地區,302,218,84,1795,1030,765,990,579,375,195,9,411,199,96,84,27,3,2,30433,20213,4749,8589,153,6722,10220,5252,2406,1977,529,49,7,0
,新北市,25,17,8,183,143,40,97,69,53,10,6,28,6,10,12,0,0,0,2919,2133,653,332,69,1079,786,176,291,319,0,0,0,0
,臺北市,53,36,17,322,141,181,164,67,27,40,0,97,68,12,9,6,0,2,5306,2779,379,1353,11,1036,2527,1842,303,255,120,0,7,0
,臺中市,32,24,8,162,116,46,113,68,45,22,1,45,27,6,9,3,0,0,3274,2069,600,1131,30,308,1205,736,177,225,67,0,0,0
,臺南市,29,23,6,130,79,51,74,48,27,20,1,26,12,8,3,3,0,0,2425,1776,375,981,2,418,649,353,151,79,66,0,0,0
,高雄市,30,20,10,155,98,57,85,54,37,17,0,31,5,9,11,3,3,0,3128,2414,487,598,33,1296,714,145,215,249,56,49,0,0
,宜蘭縣,11,8,3,71,30,41,31,16,9,7,0,15,6,3,3,3,0,0,818,497,102,377,0,18,321,148,76,42,55,0,0,0
,桃園縣,28,20,8,105,70,35,79,48,30,18,0,31,6,12,10,3,0,0,2716,1923,403,964,2,554,793,112,370,251,60,0,0,0
,新竹縣,6,5,1,24,23,1,20,17,12,5,0,3,0,0,0,3,0,0,575,526,156,278,0,92,49,0,0,0,49,0,0,0
,苗栗縣,8,6,2,50,45,5,25,19,14,5,0,6,0,6,0,0,0,0,908,762,147,387,0,228,146,0,146,0,0,0,0,0
,彰化縣,16,13,3,78,64,14,55,37,24,13,0,18,12,3,3,0,0,0,1520,1047,307,681,0,59,473,318,73,82,0,0,0,0
,南投縣,10,7,3,50,37,13,34,22,17,5,0,12,6,3,3,0,0,0,832,522,185,143,0,194,310,160,77,73,0,0,0,0
,雲林縣,9,6,3,50,28,22,33,21,15,6,0,12,6,3,3,0,0,0,962,659,195,238,0,226,303,174,78,51,0,0,0,0
,嘉義縣,2,2,0,12,12,0,6,6,5,1,0,0,0,0,0,0,0,0,361,361,52,37,0,272,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,91,39,52,40,25,18,6,1,15,9,3,3,0,0,0,973,599,206,187,3,203,374,245,69,60,0,0,0,0
,臺東縣,5,4,1,17,13,4,11,8,6,2,0,3,0,3,0,0,0,0,334,273,74,80,0,119,61,0,61,0,0,0,0,0
,花蓮縣,6,4,2,63,18,45,28,13,9,4,0,15,9,3,3,0,0,0,723,416,107,149,1,159,307,213,50,44,0,0,0,0
,澎湖縣,2,1,1,18,10,8,11,5,4,1,0,6,0,3,3,0,0,0,116,70,35,28,0,7,46,0,35,11,0,0,0,0
,基隆市,4,3,1,20,17,3,15,9,6,3,0,6,0,3,3,0,0,0,397,270,85,106,0,79,127,0,57,70,0,0,0,0
,新竹市,10,7,3,138,28,110,39,18,12,6,0,21,15,3,3,0,0,0,1341,763,135,320,2,306,578,403,93,82,0,0,0,0
,嘉義市,6,4,2,56,19,37,30,9,5,4,0,21,12,3,3,3,0,0,805,354,66,219,0,69,451,227,84,84,56,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,79,79,27,44,0,8,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,68,68,27,33,0,8,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0
