,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,325,244,81,1820,1168,652,1051,649,401,242,6,402,190,97,81,29,3,2,31333,21105,4711,9294,230,6870,10228,5180,2414,1912,633,9,30,50
,台灣地區,325,244,81,1812,1160,652,1046,644,398,240,6,402,190,97,81,29,3,2,31240,21012,4683,9236,230,6863,10228,5180,2414,1912,633,9,30,50
,新北市,29,20,9,208,175,33,112,80,60,20,0,32,6,12,12,2,0,0,3481,2763,751,607,176,1229,718,168,223,285,41,0,0,1
,臺北市,54,38,16,345,168,177,165,74,32,42,0,91,62,12,9,6,0,2,5374,2939,362,1520,10,1047,2435,1677,351,248,129,0,30,0
,桃園市,29,22,7,133,83,50,86,56,36,20,0,30,6,12,9,3,0,0,3558,2763,463,1498,0,802,795,159,295,222,70,0,0,49
,臺中市,34,25,9,189,134,55,114,68,44,22,2,46,27,7,9,3,0,0,2932,1707,505,872,30,300,1225,764,189,203,69,0,0,0
,臺南市,28,23,5,128,78,50,72,48,27,20,1,24,12,6,3,3,0,0,2195,1566,344,839,1,382,629,334,149,86,60,0,0,0
,高雄市,35,27,8,163,124,39,102,75,37,38,0,27,3,9,9,3,3,0,3016,2349,494,666,0,1189,667,89,248,252,69,9,0,0
,宜蘭縣,10,7,3,58,33,25,32,16,9,7,0,16,7,3,3,3,0,0,764,416,89,305,0,22,348,170,75,39,64,0,0,0
,新竹縣,8,7,1,27,26,1,22,19,12,7,0,3,0,0,0,3,0,0,585,548,155,294,0,99,37,0,0,0,37,0,0,0
,苗栗縣,11,9,2,40,35,5,29,23,15,8,0,6,0,6,0,0,0,0,848,711,141,413,0,157,137,0,137,0,0,0,0,0
,彰化縣,17,14,3,88,67,21,56,38,24,13,1,18,12,3,3,0,0,0,1542,923,284,570,2,67,619,326,140,127,26,0,0,0
,南投縣,10,7,3,42,33,9,32,20,15,5,0,12,6,3,3,0,0,0,727,454,170,125,0,159,273,157,51,65,0,0,0,0
,雲林縣,9,6,3,58,45,13,37,25,19,6,0,12,6,3,3,0,0,0,1040,729,220,268,0,241,311,175,86,50,0,0,0,0
,嘉義縣,2,2,0,11,11,0,7,7,6,1,0,0,0,0,0,0,0,0,321,321,60,36,1,224,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,81,37,44,41,26,19,6,1,15,9,3,3,0,0,0,1014,631,198,218,5,210,383,247,86,50,0,0,0,0
,臺東縣,6,5,1,19,14,5,12,9,6,3,0,3,0,3,0,0,0,0,298,237,56,79,0,102,61,0,61,0,0,0,0,0
,花蓮縣,7,5,2,47,20,27,29,14,9,5,0,15,9,3,3,0,0,0,649,367,82,170,0,115,282,195,49,38,0,0,0,0
,澎湖縣,2,1,1,15,9,6,11,5,4,1,0,6,0,3,3,0,0,0,126,81,31,35,0,15,45,0,35,10,0,0,0,0
,基隆市,5,4,1,23,19,4,16,10,6,3,1,6,0,3,3,0,0,0,432,309,67,135,5,102,123,0,55,68,0,0,0,0
,新竹市,11,8,3,71,29,42,38,19,12,7,0,19,13,3,3,0,0,0,1322,778,134,280,0,364,544,362,93,89,0,0,0,0
,嘉義市,8,6,2,66,20,46,33,12,6,6,0,21,12,3,3,3,0,0,1016,420,77,306,0,37,596,357,91,80,68,0,0,0
,金馬地區,0,0,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,93,93,28,58,0,7,0,0,0,0,0,0,0,0
,金門縣,0,0,0,6,6,0,4,4,3,1,0,0,0,0,0,0,0,0,81,81,28,46,0,7,0,0,0,0,0,0,0,0
,連江縣,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0
