,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,318,238,80,1754,1097,657,1028,624,390,229,5,404,193,96,81,29,3,2,31413,20814,4616,9174,148,6876,10599,5320,2560,2015,629,10,37,28
,台灣地區,316,236,80,1746,1089,657,1023,619,387,227,5,404,193,96,81,29,3,2,31319,20720,4586,9121,148,6865,10599,5320,2560,2015,629,10,37,28
,新北市,28,19,9,177,148,29,107,75,56,19,0,32,6,12,12,2,0,0,3383,2546,690,449,87,1320,837,173,306,317,40,0,0,1
,臺北市,53,37,16,320,154,166,164,70,29,41,0,94,65,12,9,6,0,2,5461,2889,358,1455,4,1072,2572,1791,354,258,132,0,37,0
,桃園市,29,22,7,127,76,51,83,53,34,19,0,30,6,12,9,3,0,0,3389,2585,431,1403,0,751,804,167,320,224,66,0,0,27
,臺中市,33,25,8,174,128,46,114,69,45,22,2,45,27,6,9,3,0,0,3066,1807,529,954,36,288,1259,771,191,227,70,0,0,0
,臺南市,28,23,5,125,75,50,72,48,27,20,1,24,12,6,3,3,0,0,2329,1672,350,943,2,377,657,337,170,84,66,0,0,0
,高雄市,35,27,8,161,119,42,96,69,36,33,0,27,3,9,9,3,3,0,2948,2273,480,676,0,1117,675,90,257,256,62,10,0,0
,宜蘭縣,10,7,3,59,31,28,31,16,9,7,0,15,6,3,3,3,0,0,774,437,90,327,0,20,337,140,85,47,65,0,0,0
,新竹縣,6,5,1,24,23,1,20,17,12,5,0,3,0,0,0,3,0,0,594,547,157,278,0,112,47,0,0,0,47,0,0,0
,苗栗縣,10,8,2,39,34,5,27,21,14,7,0,6,0,6,0,0,0,0,915,771,141,442,1,187,144,0,144,0,0,0,0,0
,彰化縣,16,13,3,87,68,19,55,37,24,13,0,18,12,3,3,0,0,0,1521,955,286,605,0,64,566,325,110,119,12,0,0,0
,南投縣,10,7,3,42,33,9,32,20,15,5,0,12,6,3,3,0,0,0,731,416,151,123,0,142,315,165,69,81,0,0,0,0
,雲林縣,9,6,3,46,33,13,36,24,18,6,0,12,6,3,3,0,0,0,1025,713,191,275,0,247,312,177,85,50,0,0,0,0
,嘉義縣,2,2,0,13,13,0,7,7,6,1,0,0,0,0,0,0,0,0,313,313,59,35,0,219,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,94,38,56,41,26,19,6,1,15,9,3,3,0,0,0,1024,634,209,228,4,193,390,259,78,53,0,0,0,0
,臺東縣,6,5,1,21,16,5,12,9,6,3,0,3,0,3,0,0,0,0,308,249,59,79,0,111,59,0,59,0,0,0,0,0
,花蓮縣,7,5,2,57,20,37,29,14,9,5,0,15,9,3,3,0,0,0,642,345,93,132,0,120,297,203,53,41,0,0,0,0
,澎湖縣,2,1,1,16,9,7,11,5,4,1,0,6,0,3,3,0,0,0,119,72,34,32,0,6,47,0,36,11,0,0,0,0
,基隆市,5,4,1,24,20,4,16,10,6,3,1,6,0,3,3,0,0,0,422,280,68,119,14,79,142,0,64,78,0,0,0,0
,新竹市,11,8,3,74,31,43,39,19,12,7,0,20,14,3,3,0,0,0,1343,799,132,320,0,347,544,365,91,88,0,0,0,0
,嘉義市,6,4,2,66,20,46,31,10,6,4,0,21,12,3,3,3,0,0,1012,417,78,246,0,93,595,357,88,81,69,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,94,94,30,53,0,11,0,0,0,0,0,0,0,0
,金門縣,1,1,0,6,6,0,4,4,3,1,0,0,0,0,0,0,0,0,84,84,30,43,0,11,0,0,0,0,0,0,0,0
,連江縣,1,1,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0
