,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,326,244,82,1870,1174,696,1049,647,393,248,6,402,186,98,82,31,3,2,30861,20875,4555,9135,197,6988,9986,5030,2365,1837,616,9,78,51
,台灣地區,326,244,82,1861,1165,696,1044,642,390,246,6,402,186,98,82,31,3,2,30762,20776,4528,9068,197,6983,9986,5030,2365,1837,616,9,78,51
,新北市,33,24,9,211,179,32,117,84,60,24,0,33,6,12,12,3,0,0,3449,2792,732,656,102,1302,657,144,205,260,46,0,0,2
,臺北市,54,38,16,353,170,183,164,76,33,43,0,88,59,12,9,6,0,2,5262,2910,325,1539,5,1041,2352,1549,354,247,124,0,78,0
,桃園市,31,24,7,146,98,48,88,58,36,22,0,30,6,12,9,3,0,0,3592,2778,425,1321,1,1031,814,175,316,207,67,0,0,49
,臺中市,27,18,9,172,109,63,105,58,42,14,2,47,27,8,9,3,0,0,2516,1310,498,542,46,224,1206,750,198,194,64,0,0,0
,臺南市,28,23,5,143,80,63,72,48,27,20,1,24,12,6,3,3,0,0,2174,1547,332,834,1,380,627,340,143,85,59,0,0,0
,高雄市,37,28,9,162,122,40,108,80,36,44,0,28,3,9,10,3,3,0,2951,2304,491,631,0,1182,647,84,228,259,67,9,0,0
,宜蘭縣,10,7,3,56,33,23,31,15,8,7,0,16,7,3,3,3,0,0,745,384,88,286,0,10,361,195,76,36,54,0,0,0
,新竹縣,7,6,1,28,27,1,21,18,12,6,0,3,0,0,0,3,0,0,624,587,149,325,0,113,37,0,0,0,37,0,0,0
,苗栗縣,11,9,2,39,34,5,27,21,13,8,0,6,0,6,0,0,0,0,774,648,133,395,0,120,126,0,126,0,0,0,0,0
,彰化縣,17,14,3,89,65,24,56,38,24,13,1,18,12,3,3,0,0,0,1590,968,278,574,21,95,622,321,137,138,26,0,0,0
,南投縣,10,7,3,43,33,10,32,20,15,5,0,12,6,3,3,0,0,0,695,455,164,128,0,163,240,154,41,45,0,0,0,0
,雲林縣,9,6,3,68,45,23,37,25,19,6,0,12,6,3,3,0,0,0,1095,789,210,336,0,243,306,173,85,48,0,0,0,0
,嘉義縣,3,3,0,12,12,0,7,7,5,2,0,0,0,0,0,0,0,0,330,330,62,68,1,199,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,83,40,43,39,24,17,6,1,15,9,3,3,0,0,0,1050,667,191,250,12,214,383,232,97,52,2,0,0,0
,臺東縣,6,5,1,19,16,3,13,10,6,4,0,3,0,3,0,0,0,0,335,270,61,146,0,63,65,0,65,0,0,0,0,0
,花蓮縣,7,5,2,63,18,45,29,14,9,5,0,15,9,3,3,0,0,0,709,422,75,210,0,137,287,205,44,38,0,0,0,0
,澎湖縣,2,1,1,17,10,7,12,5,4,1,0,7,0,3,3,1,0,0,145,100,33,44,0,23,45,0,35,5,5,0,0,0
,基隆市,5,4,1,24,20,4,16,10,6,3,1,6,0,3,3,0,0,0,412,324,78,156,8,82,88,0,37,51,0,0,0,0
,新竹市,11,8,3,69,31,38,37,19,12,7,0,18,12,3,3,0,0,0,1278,747,129,292,0,326,531,351,89,91,0,0,0,0
,嘉義市,8,6,2,64,23,41,33,12,6,6,0,21,12,3,3,3,0,0,1036,444,74,335,0,35,592,357,89,81,65,0,0,0
,金馬地區,0,0,0,9,9,0,5,5,3,2,0,0,0,0,0,0,0,0,99,99,27,67,0,5,0,0,0,0,0,0,0,0
,金門縣,0,0,0,8,8,0,4,4,3,1,0,0,0,0,0,0,0,0,87,87,27,55,0,5,0,0,0,0,0,0,0,0
,連江縣,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0
