,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,325,243,82,1843,1147,696,1049,647,393,248,6,402,186,98,82,31,3,2,30993,21415,4573,9104,286,7452,9578,4856,2250,1791,600,9,20,52
,台灣地區,325,243,82,1834,1138,696,1044,642,390,246,6,402,186,98,82,31,3,2,30891,21313,4544,9036,286,7447,9578,4856,2250,1791,600,9,20,52
,新北市,32,23,9,206,174,32,117,84,60,24,0,33,6,12,12,3,0,0,3429,2826,740,511,173,1402,603,143,174,239,45,0,0,2
,臺北市,54,38,16,360,173,187,164,76,33,43,0,88,59,12,9,6,0,2,5216,2947,329,1545,6,1067,2269,1556,319,249,125,0,20,0
,桃園市,31,24,7,143,95,48,88,58,36,22,0,30,6,12,9,3,0,0,3684,2871,435,1361,3,1072,813,176,312,208,67,0,0,50
,臺中市,27,18,9,174,111,63,105,58,42,14,2,47,27,8,9,3,0,0,2692,1605,499,561,48,497,1087,659,169,195,64,0,0,0
,臺南市,28,23,5,134,71,63,72,48,27,20,1,24,12,6,3,3,0,0,2178,1552,324,833,5,390,626,339,142,86,59,0,0,0
,高雄市,37,28,9,158,122,36,108,80,36,44,0,28,3,9,10,3,3,0,2979,2324,483,668,29,1144,655,89,228,261,68,9,0,0
,宜蘭縣,10,7,3,57,32,25,31,15,8,7,0,16,7,3,3,3,0,0,721,385,89,285,0,11,336,169,76,37,54,0,0,0
,新竹縣,7,6,1,27,26,1,21,18,12,6,0,3,0,0,0,3,0,0,618,598,153,286,0,159,20,0,0,0,20,0,0,0
,苗栗縣,11,9,2,38,33,5,27,21,13,8,0,6,0,6,0,0,0,0,775,654,130,393,0,131,121,0,121,0,0,0,0,0
,彰化縣,17,14,3,90,66,24,56,38,24,13,1,18,12,3,3,0,0,0,1518,929,282,583,4,60,589,320,137,106,26,0,0,0
,南投縣,10,7,3,42,33,9,32,20,15,5,0,12,6,3,3,0,0,0,722,480,163,137,0,180,242,155,40,45,2,0,0,0
,雲林縣,9,6,3,67,44,23,37,25,19,6,0,12,6,3,3,0,0,0,1119,810,216,347,0,247,309,177,85,47,0,0,0,0
,嘉義縣,3,3,0,12,12,0,7,7,5,2,0,0,0,0,0,0,0,0,322,322,55,70,1,196,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,79,36,43,39,24,17,6,1,15,9,3,3,0,0,0,1051,679,193,257,10,219,372,232,88,52,0,0,0,0
,臺東縣,6,5,1,19,16,3,13,10,6,4,0,3,0,3,0,0,0,0,330,265,60,149,0,56,65,0,65,0,0,0,0,0
,花蓮縣,7,5,2,64,18,46,29,14,9,5,0,15,9,3,3,0,0,0,697,410,75,211,0,124,287,206,43,38,0,0,0,0
,澎湖縣,2,1,1,14,8,6,12,5,4,1,0,7,0,3,3,1,0,0,147,101,33,46,0,22,46,0,36,5,5,0,0,0
,基隆市,5,4,1,22,18,4,16,10,6,3,1,6,0,3,3,0,0,0,406,319,73,160,7,79,87,0,37,50,0,0,0,0
,新竹市,11,8,3,64,27,37,37,19,12,7,0,18,12,3,3,0,0,0,1241,786,137,302,0,347,455,276,89,90,0,0,0,0
,嘉義市,8,6,2,64,23,41,33,12,6,6,0,21,12,3,3,3,0,0,1046,450,75,331,0,44,596,359,89,83,65,0,0,0
,金馬地區,0,0,0,9,9,0,5,5,3,2,0,0,0,0,0,0,0,0,102,102,29,68,0,5,0,0,0,0,0,0,0,0
,金門縣,0,0,0,8,8,0,4,4,3,1,0,0,0,0,0,0,0,0,90,90,29,56,0,5,0,0,0,0,0,0,0,0
,連江縣,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0
