,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,279,195,84,1614,833,781,929,516,341,168,7,413,197,0,96,93,27,0,27538,16804,4807,2975,22,9000,10734,5584,0,2417,2248,481,0,4
,台灣地區,277,193,84,1594,813,781,924,511,338,166,7,413,197,0,96,93,27,0,27454,16720,4774,2960,21,8965,10734,5584,0,2417,2248,481,0,4
,臺北市,54,36,18,352,119,233,159,62,27,35,0,97,70,0,12,9,6,0,4715,2069,381,687,0,1001,2646,1951,0,351,230,110,0,4
,高雄市,27,18,9,132,83,49,72,42,29,13,0,30,6,0,9,12,3,0,2762,2025,423,436,0,1166,737,177,0,222,274,64,0,0
,新北市,21,14,7,118,99,19,79,52,40,7,5,27,6,0,9,12,0,0,2251,1508,586,91,2,829,743,168,0,232,343,0,0,0
,宜蘭縣,10,7,3,98,29,69,31,16,9,7,0,15,6,0,3,3,3,0,874,545,130,151,0,264,329,172,0,68,42,47,0,0
,桃園縣,22,14,8,78,49,29,72,39,27,12,0,33,6,0,12,12,3,0,2066,1208,389,92,0,727,858,173,0,332,304,49,0,0
,新竹縣,6,5,1,16,15,1,17,14,10,4,0,3,0,0,0,0,3,0,421,366,133,47,0,186,55,0,0,0,0,55,0,0
,苗栗縣,7,5,2,21,21,0,22,16,11,5,0,6,0,0,6,0,0,0,648,498,149,94,0,255,150,0,0,150,0,0,0,0
,彰化縣,16,13,3,89,48,41,51,33,20,13,0,18,12,0,3,3,0,0,1540,1027,302,358,0,367,513,347,0,77,89,0,0,0
,南投縣,8,5,3,43,35,8,29,20,17,3,0,9,3,0,3,3,0,0,750,471,210,79,0,182,279,120,0,80,79,0,0,0
,雲林縣,8,5,3,67,17,50,32,20,15,5,0,12,6,0,3,3,0,0,826,524,198,21,0,305,302,171,0,78,53,0,0,0
,嘉義縣,2,2,0,9,9,0,6,6,6,0,0,0,0,0,0,0,0,0,315,315,72,0,0,243,0,0,0,0,0,0,0,0
,屏東縣,9,7,2,79,39,40,41,26,20,6,0,15,9,0,3,3,0,0,985,562,254,72,0,236,423,263,0,81,79,0,0,0
,台東縣,5,4,1,19,15,4,12,9,7,2,0,3,0,0,3,0,0,0,321,271,88,13,0,170,50,0,0,50,0,0,0,0
,花蓮縣,6,4,2,40,13,27,28,13,9,4,0,15,9,0,3,3,0,0,675,328,110,26,3,189,347,249,0,52,46,0,0,0
,澎湖縣,2,1,1,17,11,6,11,5,4,1,0,6,0,0,3,3,0,0,108,67,32,10,0,25,41,0,0,24,17,0,0,0
,基隆市,4,3,1,19,16,3,15,9,6,3,0,6,0,0,3,3,0,0,413,257,87,34,0,136,156,0,0,79,77,0,0,0
,新竹市,8,5,3,47,35,12,40,19,14,4,1,21,15,0,3,3,0,0,1212,615,201,46,1,367,597,426,0,91,80,0,0,0
,臺中市,32,23,9,189,90,99,112,63,40,22,1,49,25,0,6,15,3,0,3519,2237,628,450,15,1144,1282,681,0,177,366,58,0,0
,嘉義市,5,3,2,50,7,43,26,5,3,2,0,21,12,0,3,3,3,0,796,224,44,28,0,152,572,345,0,93,83,51,0,0
,臺南市,25,19,6,111,63,48,69,42,24,18,0,27,12,0,9,3,3,0,2257,1603,357,225,0,1021,654,341,0,180,86,47,0,0
,金馬地區,2,2,0,20,20,0,5,5,3,2,0,0,0,0,0,0,0,0,84,84,33,15,1,35,0,0,0,0,0,0,0,0
,金門縣,1,1,0,19,19,0,4,4,3,1,0,0,0,0,0,0,0,0,80,80,33,12,1,34,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4,4,0,3,0,1,0,0,0,0,0,0,0,0
