,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,280,196,84,1649,835,814,931,516,341,168,7,415,196,3,96,93,27,0,27506,16891,4818,2988,21,9064,10615,5463,0,2418,2247,483,0,4
,台灣地區,278,194,84,1629,815,814,926,511,338,166,7,415,196,3,96,93,27,0,27425,16810,4786,2973,21,9030,10615,5463,0,2418,2247,483,0,4
,臺北市,54,36,18,372,119,253,159,62,27,35,0,97,70,0,12,9,6,0,4733,2089,381,693,0,1015,2644,1948,0,351,230,111,0,4
,高雄市,28,18,10,132,83,49,75,42,29,13,0,33,6,3,9,12,3,0,2769,2032,425,437,0,1170,737,177,0,222,274,64,0,0
,新北市,22,15,7,120,100,20,79,52,40,7,5,27,6,0,9,12,0,0,2261,1516,586,92,2,836,745,168,0,232,345,0,0,0
,宜蘭縣,10,7,3,103,29,74,31,16,9,7,0,15,6,0,3,3,3,0,874,545,130,149,0,266,329,172,0,68,42,47,0,0
,桃園縣,22,14,8,80,49,31,72,39,27,12,0,33,6,0,12,12,3,0,2006,1209,390,91,0,728,797,113,0,332,303,49,0,0
,新竹縣,6,5,1,16,15,1,17,14,10,4,0,3,0,0,0,0,3,0,422,367,133,47,0,187,55,0,0,0,0,55,0,0
,苗栗縣,7,5,2,24,24,0,22,16,11,5,0,6,0,0,6,0,0,0,655,504,151,93,0,260,151,0,0,151,0,0,0,0
,彰化縣,16,13,3,90,48,42,51,33,20,13,0,18,12,0,3,3,0,0,1538,1027,302,358,0,367,511,345,0,77,89,0,0,0
,南投縣,8,5,3,46,35,11,29,20,17,3,0,9,3,0,3,3,0,0,758,479,213,80,0,186,279,120,0,80,79,0,0,0
,雲林縣,8,5,3,67,17,50,32,20,15,5,0,12,6,0,3,3,0,0,828,526,199,21,0,306,302,171,0,78,53,0,0,0
,嘉義縣,2,2,0,8,8,0,6,6,6,0,0,0,0,0,0,0,0,0,318,318,71,0,0,247,0,0,0,0,0,0,0,0
,屏東縣,9,7,2,80,40,40,41,26,20,6,0,15,9,0,3,3,0,0,992,569,255,76,0,238,423,263,0,81,79,0,0,0
,台東縣,5,4,1,19,15,4,12,9,7,2,0,3,0,0,3,0,0,0,327,277,88,13,0,176,50,0,0,50,0,0,0,0
,花蓮縣,6,4,2,40,13,27,28,13,9,4,0,15,9,0,3,3,0,0,679,332,110,26,3,193,347,249,0,52,46,0,0,0
,澎湖縣,2,1,1,17,11,6,11,5,4,1,0,6,0,0,3,3,0,0,108,67,32,10,0,25,41,0,0,24,17,0,0,0
,基隆市,4,3,1,19,16,3,15,9,6,3,0,6,0,0,3,3,0,0,410,256,88,34,0,134,154,0,0,79,75,0,0,0
,新竹市,8,5,3,47,35,12,40,19,14,4,1,21,15,0,3,3,0,0,1166,625,201,47,1,376,541,370,0,91,80,0,0,0
,臺中市,31,23,8,188,90,98,111,63,40,22,1,48,24,0,6,15,3,0,3526,2244,628,453,15,1148,1282,681,0,177,366,58,0,0
,嘉義市,5,3,2,50,7,43,26,5,3,2,0,21,12,0,3,3,3,0,799,226,45,28,0,153,573,345,0,93,83,52,0,0
,臺南市,25,19,6,111,61,50,69,42,24,18,0,27,12,0,9,3,3,0,2256,1602,358,225,0,1019,654,341,0,180,86,47,0,0
,金馬地區,2,2,0,20,20,0,5,5,3,2,0,0,0,0,0,0,0,0,81,81,32,15,0,34,0,0,0,0,0,0,0,0
,金門縣,1,1,0,19,19,0,4,4,3,1,0,0,0,0,0,0,0,0,77,77,32,12,0,33,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4,4,0,3,0,1,0,0,0,0,0,0,0,0
