,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,316,232,84,1805,1093,712,1016,608,384,214,10,408,197,96,82,28,3,2,30529,20185,4644,8947,184,6410,10344,5217,2518,1940,580,49,39,1
,台灣地區,314,230,84,1797,1085,712,1011,603,381,212,10,408,197,96,82,28,3,2,30449,20105,4622,8899,184,6400,10344,5217,2518,1940,580,49,39,1
,新北市,26,17,9,177,147,30,101,71,55,10,6,30,6,11,12,1,0,0,3097,2301,657,371,125,1148,796,176,319,278,22,0,0,1
,臺北市,54,37,17,315,148,167,165,69,28,41,0,96,67,12,9,6,0,2,5343,2773,365,1360,0,1048,2570,1817,332,255,127,0,39,0
,臺中市,33,25,8,188,137,51,114,69,45,22,2,45,27,6,9,3,0,0,2991,1782,509,978,26,269,1209,730,178,233,68,0,0,0
,臺南市,29,23,6,140,82,58,73,48,27,20,1,25,12,7,3,3,0,0,2377,1714,363,968,6,377,663,349,164,79,71,0,0,0
,高雄市,35,25,10,153,111,42,93,64,36,28,0,29,4,9,10,3,3,0,3021,2302,472,831,20,979,719,117,245,249,59,49,0,0
,宜蘭縣,10,7,3,72,31,41,31,16,9,7,0,15,6,3,3,3,0,0,776,454,88,346,0,20,322,142,76,47,57,0,0,0
,桃園市,28,21,7,123,73,50,80,50,32,18,0,30,6,12,9,3,0,0,3094,2334,417,1237,1,679,760,112,344,245,59,0,0,0
,新竹縣,6,5,1,25,24,1,20,17,12,5,0,3,0,0,0,3,0,0,562,509,149,250,0,110,53,0,0,0,53,0,0,0
,苗栗縣,9,7,2,42,36,6,26,20,14,6,0,6,0,6,0,0,0,0,945,793,154,409,0,230,152,0,152,0,0,0,0,0
,彰化縣,16,13,3,85,64,21,55,37,24,13,0,18,12,3,3,0,0,0,1459,978,314,591,0,73,481,315,82,84,0,0,0,0
,南投縣,10,7,3,49,36,13,33,21,16,5,0,12,6,3,3,0,0,0,782,470,166,151,0,153,312,161,78,73,0,0,0,0
,雲林縣,9,6,3,57,29,28,34,22,16,6,0,12,6,3,3,0,0,0,965,673,207,238,0,228,292,167,75,50,0,0,0,0
,嘉義縣,2,2,0,13,13,0,6,6,5,1,0,0,0,0,0,0,0,0,285,285,50,26,0,209,0,0,0,0,0,0,0,0
,屏東縣,11,9,2,98,40,58,42,27,19,7,1,15,9,3,3,0,0,0,989,617,222,227,6,162,372,249,70,53,0,0,0,0
,臺東縣,6,5,1,18,15,3,12,9,6,3,0,3,0,3,0,0,0,0,315,254,63,90,0,101,61,0,61,0,0,0,0,0
,花蓮縣,7,5,2,61,20,41,29,14,9,5,0,15,9,3,3,0,0,0,704,400,102,155,0,143,304,204,57,43,0,0,0,0
,澎湖縣,2,1,1,18,10,8,11,5,4,1,0,6,0,3,3,0,0,0,104,58,31,23,0,4,46,0,36,10,0,0,0,0
,基隆市,4,3,1,22,18,4,15,9,6,3,0,6,0,3,3,0,0,0,429,281,76,113,0,92,148,0,69,79,0,0,0,0
,新竹市,11,8,3,73,30,43,40,19,12,7,0,21,15,3,3,0,0,0,1330,775,137,326,0,312,555,380,94,81,0,0,0,0
,嘉義市,6,4,2,68,21,47,31,10,6,4,0,21,12,3,3,3,0,0,881,352,80,209,0,63,529,298,86,81,64,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,80,80,22,48,0,10,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,66,66,22,34,0,10,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0
