,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,275,192,83,1547,778,769,904,490,319,168,3,414,193,2,96,93,27,3,26400,15771,4173,3797,8,7793,10629,5225,149,2372,2328,475,78,2
,台灣地區,274,191,83,1527,758,769,900,486,316,167,3,414,193,2,96,93,27,3,26335,15706,4146,3776,8,7776,10629,5225,149,2372,2328,475,78,2
,台北市,54,37,17,336,123,213,162,63,28,35,0,99,69,0,12,9,6,3,4456,1807,381,555,4,867,2649,1865,0,351,237,116,78,2
,高雄市,19,12,7,88,46,42,41,21,13,8,0,20,3,2,6,6,3,0,1669,1066,193,178,0,695,603,82,149,138,173,61,0,0
,台北縣,19,12,7,114,91,23,73,46,37,7,2,27,6,0,9,12,0,0,2078,1338,515,116,0,707,740,158,0,232,350,0,0,0
,宜蘭縣,10,7,3,81,25,56,31,16,9,7,0,15,6,0,3,3,3,0,849,496,115,214,0,167,353,177,0,84,45,47,0,0
,桃園縣,22,14,8,71,43,28,67,34,22,12,0,33,6,0,12,12,3,0,1849,1059,311,146,0,602,790,107,0,339,295,49,0,0
,新竹縣,6,5,1,13,12,1,14,11,7,4,0,3,0,0,0,0,3,0,379,331,89,77,0,165,48,0,0,0,0,48,0,0
,苗栗縣,7,5,2,24,24,0,21,15,10,5,0,6,0,0,6,0,0,0,616,474,120,123,0,231,142,0,0,142,0,0,0,0
,台中縣,17,15,2,54,51,3,48,42,27,15,0,6,0,0,3,3,0,0,1600,1434,353,358,0,723,166,0,0,79,87,0,0,0
,彰化縣,16,13,3,85,46,39,48,30,17,13,0,18,12,0,3,3,0,0,1468,1002,226,532,0,244,466,307,0,71,88,0,0,0
,南投縣,8,5,3,43,32,11,26,18,15,3,0,8,2,0,3,3,0,0,648,428,183,81,0,164,220,60,0,79,81,0,0,0
,雲林縣,8,5,3,67,16,51,32,20,15,5,0,12,6,0,3,3,0,0,786,487,177,1,0,309,299,176,0,66,57,0,0,0
,嘉義縣,2,2,0,9,9,0,6,6,6,0,0,0,0,0,0,0,0,0,294,294,67,0,0,227,0,0,0,0,0,0,0,0
,台南縣,13,11,2,66,45,21,36,30,20,10,0,6,0,0,6,0,0,0,974,891,276,219,1,395,83,0,0,83,0,0,0,0
,高雄縣,9,6,3,33,24,9,31,19,14,5,0,12,3,0,3,6,0,0,1128,875,192,390,0,293,253,57,0,77,119,0,0,0
,屏東縣,9,7,2,80,40,40,40,26,19,7,0,14,8,0,3,3,0,0,946,551,222,117,0,212,395,222,0,88,85,0,0,0
,台東縣,5,4,1,17,13,4,11,8,6,2,0,3,0,0,3,0,0,0,311,262,81,21,0,160,49,0,0,49,0,0,0,0
,花蓮縣,6,4,2,41,13,28,28,13,9,4,0,15,9,0,3,3,0,0,657,309,98,38,3,170,348,258,0,41,49,0,0,0
,澎湖縣,2,1,1,17,11,6,13,7,6,1,0,6,0,0,3,3,0,0,118,70,40,13,0,17,48,0,0,28,20,0,0,0
,基隆市,4,3,1,22,18,4,15,9,6,3,0,6,0,0,3,3,0,0,404,248,86,31,0,131,156,0,0,78,78,0,0,0
,新竹市,8,5,3,45,28,17,38,17,12,4,1,21,15,0,3,3,0,0,1178,589,166,76,0,347,589,432,0,78,79,0,0,0
,台中市,13,7,6,121,30,91,61,19,12,7,0,42,24,0,3,12,3,0,1930,814,173,284,0,357,1116,671,0,90,299,56,0,0
,嘉義市,5,3,2,50,7,43,26,5,3,2,0,21,12,0,3,3,3,0,803,232,37,48,0,147,571,337,0,89,98,47,0,0
,台南市,12,8,4,50,11,39,32,11,3,8,0,21,12,0,3,3,3,0,1194,649,45,158,0,446,545,316,0,90,88,51,0,0
,金馬地區,1,1,0,20,20,0,4,4,3,1,0,0,0,0,0,0,0,0,65,65,27,21,0,17,0,0,0,0,0,0,0,0
,金門縣,1,1,0,20,20,0,4,4,3,1,0,0,0,0,0,0,0,0,59,59,27,21,0,11,0,0,0,0,0,0,0,0
,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0
