,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,304,220,84,1852,1070,782,995,584,378,197,9,411,199,96,84,27,3,2,29750,19293,4681,8088,199,6325,10457,5429,2427,1968,532,49,52,0
,台灣地區,302,218,84,1844,1062,782,990,579,375,195,9,411,199,96,84,27,3,2,29678,19221,4653,8051,199,6318,10457,5429,2427,1968,532,49,52,0
,新北市,25,17,8,196,151,45,97,69,53,10,6,28,6,10,12,0,0,0,2885,2106,650,285,121,1050,779,176,287,316,0,0,0,0
,臺北市,53,36,17,328,147,181,164,67,27,40,0,97,68,12,9,6,0,2,5346,2727,376,1333,10,1008,2619,1853,332,255,127,0,52,0
,臺中市,32,24,8,174,125,49,113,68,45,22,1,45,27,6,9,3,0,0,2988,1788,515,950,30,293,1200,735,173,225,67,0,0,0
,臺南市,29,23,6,132,81,51,74,48,27,20,1,26,12,8,3,3,0,0,2385,1735,378,946,2,409,650,352,153,79,66,0,0,0
,高雄市,30,20,10,156,99,57,85,54,37,17,0,31,5,9,11,3,3,0,3061,2350,487,697,25,1141,711,145,214,247,56,49,0,0
,宜蘭縣,11,8,3,71,30,41,31,16,9,7,0,15,6,3,3,3,0,0,790,470,98,351,0,21,320,148,76,41,55,0,0,0
,桃園市,28,20,8,105,73,32,79,48,30,18,0,31,6,12,10,3,0,0,2729,1878,405,928,2,543,851,172,369,250,60,0,0,0
,新竹縣,6,5,1,24,23,1,20,17,12,5,0,3,0,0,0,3,0,0,539,494,157,242,0,95,45,0,0,0,45,0,0,0
,苗栗縣,8,6,2,48,44,4,25,19,14,5,0,6,0,6,0,0,0,0,869,723,148,360,0,215,146,0,146,0,0,0,0,0
,彰化縣,16,13,3,81,64,17,55,37,24,13,0,18,12,3,3,0,0,0,1415,944,306,582,0,56,471,316,73,82,0,0,0,0
,南投縣,10,7,3,51,38,13,34,22,17,5,0,12,6,3,3,0,0,0,757,446,177,133,0,136,311,159,79,73,0,0,0,0
,雲林縣,9,6,3,57,28,29,33,21,15,6,0,12,6,3,3,0,0,0,933,630,201,216,0,213,303,175,77,51,0,0,0,0
,嘉義縣,2,2,0,13,13,0,6,6,5,1,0,0,0,0,0,0,0,0,306,306,53,30,0,223,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,87,40,47,40,25,18,6,1,15,9,3,3,0,0,0,954,580,206,183,6,185,374,245,69,60,0,0,0,0
,臺東縣,5,4,1,17,13,4,11,8,6,2,0,3,0,3,0,0,0,0,324,263,72,79,0,112,61,0,61,0,0,0,0,0
,花蓮縣,6,4,2,64,19,45,28,13,9,4,0,15,9,3,3,0,0,0,685,378,109,125,1,143,307,213,50,44,0,0,0,0
,澎湖縣,2,1,1,18,10,8,11,5,4,1,0,6,0,3,3,0,0,0,108,62,37,20,0,5,46,0,35,11,0,0,0,0
,基隆市,4,3,1,20,17,3,15,9,6,3,0,6,0,3,3,0,0,0,408,282,81,105,0,96,126,0,56,70,0,0,0,0
,新竹市,10,7,3,138,28,110,39,18,12,6,0,21,15,3,3,0,0,0,1308,737,133,297,2,305,571,396,93,82,0,0,0,0
,嘉義市,6,4,2,64,19,45,30,9,5,4,0,21,12,3,3,3,0,0,888,322,64,189,0,69,566,344,84,82,56,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,72,72,28,37,0,7,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,60,60,28,25,0,7,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0
