,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,302,217,85,1839,1033,806,989,573,371,193,9,416,200,96,89,27,2,2,29447,19008,4834,7866,145,6163,10439,5521,2343,2019,498,39,19,0
,台灣地區,300,215,85,1831,1025,806,984,568,368,191,9,416,200,96,89,27,2,2,29372,18933,4800,7830,145,6158,10439,5521,2343,2019,498,39,19,0
,新北市,25,18,7,168,133,35,93,66,50,10,6,27,6,9,12,0,0,0,2730,1981,649,406,92,834,749,179,263,307,0,0,0,0
,臺北市,54,36,18,317,142,175,165,67,27,40,0,98,69,12,9,6,0,2,5227,2698,372,1294,20,1012,2529,1848,312,246,104,0,19,0
,臺中市,33,24,9,176,118,58,113,67,44,22,1,46,26,6,11,3,0,0,3302,2061,595,1124,26,316,1241,752,170,257,62,0,0,0
,臺南市,28,22,6,131,77,54,74,47,27,19,1,27,12,9,3,3,0,0,2333,1704,376,871,0,457,629,340,150,80,59,0,0,0
,高雄市,29,19,10,164,108,56,83,51,35,16,0,32,6,9,12,3,2,0,3021,2318,493,571,5,1249,703,166,196,245,57,39,0,0
,宜蘭縣,11,8,3,70,29,41,31,16,9,7,0,15,6,3,3,3,0,0,786,464,106,335,0,23,322,155,71,46,50,0,0,0
,桃園縣,27,19,8,111,70,41,80,47,30,17,0,33,6,12,12,3,0,0,2553,1710,414,809,0,487,843,175,337,270,61,0,0,0
,新竹縣,6,5,1,25,24,1,20,17,12,5,0,3,0,0,0,3,0,0,526,477,154,234,0,89,49,0,0,0,49,0,0,0
,苗栗縣,8,6,2,51,46,5,25,19,14,5,0,6,0,6,0,0,0,0,786,647,163,302,0,182,139,0,139,0,0,0,0,0
,彰化縣,16,13,3,91,63,28,55,37,24,13,0,18,12,3,3,0,0,0,1449,964,313,591,0,60,485,331,71,83,0,0,0,0
,南投縣,9,6,3,49,36,13,33,21,17,4,0,12,6,3,3,0,0,0,830,519,210,112,0,197,311,170,69,72,0,0,0,0
,雲林縣,9,6,3,70,30,40,33,21,15,6,0,12,6,3,3,0,0,0,886,581,198,201,0,182,305,178,79,48,0,0,0,0
,嘉義縣,2,2,0,11,11,0,5,5,4,1,0,0,0,0,0,0,0,0,326,326,46,32,0,248,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,91,38,53,40,25,18,6,1,15,9,3,3,0,0,0,911,507,205,142,1,159,404,261,82,61,0,0,0,0
,臺東縣,5,4,1,18,14,4,12,9,7,2,0,3,0,3,0,0,0,0,337,274,74,75,0,125,63,0,63,0,0,0,0,0
,花蓮縣,6,4,2,65,18,47,28,13,9,4,0,15,9,3,3,0,0,0,721,379,108,136,1,134,342,230,61,51,0,0,0,0
,澎湖縣,2,1,1,17,10,7,11,5,4,1,0,6,0,3,3,0,0,0,112,66,36,21,0,9,46,0,29,17,0,0,0,0
,基隆市,4,3,1,23,17,6,15,9,6,3,0,6,0,3,3,0,0,0,411,268,84,102,0,82,143,0,73,70,0,0,0,0
,新竹市,10,7,3,129,26,103,39,18,12,6,0,21,15,3,3,0,0,0,1229,669,151,282,0,236,560,390,91,79,0,0,0,0
,嘉義市,6,4,2,54,15,39,29,8,4,4,0,21,12,3,3,3,0,0,896,320,53,190,0,77,576,346,87,87,56,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,75,75,34,36,0,5,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,65,65,34,27,0,4,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,10,10,0,9,0,1,0,0,0,0,0,0,0,0
