,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,280,196,84,1646,825,821,931,516,341,168,7,415,196,3,96,93,27,0,27739,17154,4574,2970,5,9605,10585,5174,179,2435,2316,479,0,2
,台灣地區,278,194,84,1627,806,821,926,511,338,166,7,415,196,3,96,93,27,0,27657,17072,4542,2956,5,9569,10585,5174,179,2435,2316,479,0,2
,台北市,54,36,18,372,120,252,159,62,27,35,0,97,70,0,12,9,6,0,4744,2087,378,678,0,1031,2657,1963,0,350,231,111,0,2
,高雄市,19,12,7,85,50,35,43,22,14,8,0,21,3,3,6,6,3,0,1860,1212,205,139,0,868,648,87,179,142,176,64,0,0
,台北縣,22,15,7,120,98,22,79,52,40,7,5,27,6,0,9,12,0,0,2286,1551,589,93,1,868,735,158,0,232,345,0,0,0
,宜蘭縣,10,7,3,103,29,74,31,16,9,7,0,15,6,0,3,3,3,0,884,552,116,136,0,300,332,174,0,69,42,47,0,0
,桃園縣,22,14,8,82,49,33,72,39,27,12,0,33,6,0,12,12,3,0,2058,1205,376,95,0,734,853,113,0,348,342,50,0,0
,新竹縣,6,5,1,14,13,1,17,14,10,4,0,3,0,0,0,0,3,0,425,370,126,48,0,196,55,0,0,0,0,55,0,0
,苗栗縣,7,5,2,24,24,0,22,16,11,5,0,6,0,0,6,0,0,0,672,522,138,98,0,286,150,0,0,150,0,0,0,0
,台中縣,17,15,2,60,54,6,49,43,28,15,0,6,0,0,3,3,0,0,1627,1450,377,247,0,826,177,0,0,89,88,0,0,0
,彰化縣,16,13,3,89,47,42,51,33,20,13,0,18,12,0,3,3,0,0,1538,1046,267,367,0,412,492,326,0,78,88,0,0,0
,南投縣,8,5,3,46,35,11,29,20,17,3,0,9,3,0,3,3,0,0,764,486,210,82,0,194,278,119,0,80,79,0,0,0
,雲林縣,8,5,3,67,17,50,32,20,15,5,0,12,6,0,3,3,0,0,819,545,191,0,0,354,274,143,0,78,53,0,0,0
,嘉義縣,2,2,0,8,8,0,6,6,6,0,0,0,0,0,0,0,0,0,323,323,67,0,0,256,0,0,0,0,0,0,0,0
,台南縣,13,11,2,64,48,16,37,31,21,10,0,6,0,0,6,0,0,0,1026,934,280,132,0,522,92,0,0,92,0,0,0,0
,高雄縣,9,6,3,46,32,14,32,20,15,5,0,12,3,0,3,6,0,0,1084,876,211,316,0,349,208,30,0,80,98,0,0,0
,屏東縣,9,7,2,80,40,40,41,26,20,6,0,15,9,0,3,3,0,0,983,563,257,76,0,230,420,263,0,78,79,0,0,0
,台東縣,5,4,1,17,13,4,12,9,7,2,0,3,0,0,3,0,0,0,330,280,81,12,0,187,50,0,0,50,0,0,0,0
,花蓮縣,6,4,2,40,13,27,28,13,9,4,0,15,9,0,3,3,0,0,612,343,110,26,3,204,269,171,0,52,46,0,0,0
,澎湖縣,2,1,1,17,11,6,11,5,4,1,0,6,0,0,3,3,0,0,108,66,32,10,0,24,42,0,0,25,17,0,0,0
,基隆市,4,3,1,19,16,3,15,9,6,3,0,6,0,0,3,3,0,0,401,247,83,31,0,133,154,0,0,80,74,0,0,0
,新竹市,8,5,3,46,34,12,40,19,14,4,1,21,15,0,3,3,0,0,1120,633,190,47,1,395,487,316,0,91,80,0,0,0
,台中市,14,8,6,127,35,92,62,20,12,7,1,42,24,0,3,12,3,0,1943,831,175,196,0,460,1112,685,0,88,281,58,0,0
,嘉義市,5,3,2,50,7,43,26,5,3,2,0,21,12,0,3,3,3,0,800,257,40,34,0,183,543,287,0,93,111,52,0,0
,台南市,12,8,4,51,13,38,32,11,3,8,0,21,12,0,3,3,3,0,1250,693,43,93,0,557,557,339,0,90,86,42,0,0
,金馬地區,2,2,0,19,19,0,5,5,3,2,0,0,0,0,0,0,0,0,82,82,32,14,0,36,0,0,0,0,0,0,0,0
,金門縣,1,1,0,18,18,0,4,4,3,1,0,0,0,0,0,0,0,0,79,79,32,13,0,34,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0
