,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,318,238,80,1756,1089,667,1028,624,390,229,5,404,193,96,81,29,3,2,31894,21258,4659,7613,129,8857,10636,5292,2626,2022,633,10,25,28
,台灣地區,316,236,80,1748,1081,667,1023,619,387,227,5,404,193,96,81,29,3,2,31794,21158,4624,7574,129,8831,10636,5292,2626,2022,633,10,25,28
,新北市,28,19,9,185,156,29,107,75,56,19,0,32,6,12,12,2,0,0,3414,2578,693,407,72,1406,836,173,306,316,40,0,0,1
,臺北市,53,37,16,318,156,162,164,70,29,41,0,94,65,12,9,6,0,2,5449,2879,357,1418,2,1102,2570,1793,357,260,135,0,25,0
,桃園市,29,22,7,123,73,50,83,53,34,19,0,30,6,12,9,3,0,0,3472,2668,431,1171,0,1066,804,167,321,225,64,0,0,27
,臺中市,33,25,8,176,130,46,114,69,45,22,2,45,27,6,9,3,0,0,3154,1873,540,758,33,542,1281,763,219,228,71,0,0,0
,臺南市,28,23,5,124,74,50,72,48,27,20,1,24,12,6,3,3,0,0,2346,1688,353,743,2,590,658,336,170,84,68,0,0,0
,高雄市,35,27,8,160,119,41,96,69,36,33,0,27,3,9,9,3,3,0,2991,2313,467,569,0,1277,678,89,258,259,62,10,0,0
,宜蘭縣,10,7,3,57,29,28,31,16,9,7,0,15,6,3,3,3,0,0,799,463,104,280,0,79,336,139,85,47,65,0,0,0
,新竹縣,6,5,1,25,24,1,20,17,12,5,0,3,0,0,0,3,0,0,613,566,157,194,0,215,47,0,0,0,47,0,0,0
,苗栗縣,9,7,2,38,33,5,26,20,14,6,0,6,0,6,0,0,0,0,953,785,142,375,1,267,168,0,168,0,0,0,0,0
,彰化縣,16,13,3,86,67,19,55,37,24,13,0,18,12,3,3,0,0,0,1547,979,289,479,0,211,568,325,111,120,12,0,0,0
,南投縣,10,7,3,42,31,11,32,20,15,5,0,12,6,3,3,0,0,0,743,428,156,103,0,169,315,165,69,81,0,0,0,0
,雲林縣,9,6,3,58,32,26,36,24,18,6,0,12,6,3,3,0,0,0,996,715,180,211,0,324,281,147,84,50,0,0,0,0
,嘉義縣,2,2,0,13,13,0,7,7,6,1,0,0,0,0,0,0,0,0,326,326,58,21,0,247,0,0,0,0,0,0,0,0
,屏東縣,11,9,2,94,36,58,42,27,19,7,1,15,9,3,3,0,0,0,1045,653,219,189,5,240,392,259,80,53,0,0,0,0
,臺東縣,6,5,1,18,15,3,12,9,6,3,0,3,0,3,0,0,0,0,316,256,60,58,0,138,60,0,60,0,0,0,0,0
,花蓮縣,7,5,2,54,17,37,29,14,9,5,0,15,9,3,3,0,0,0,675,378,105,124,0,149,297,203,53,41,0,0,0,0
,澎湖縣,2,1,1,16,9,7,11,5,4,1,0,6,0,3,3,0,0,0,120,73,35,17,0,21,47,0,39,8,0,0,0,0
,基隆市,5,4,1,22,19,3,16,10,6,3,1,6,0,3,3,0,0,0,416,272,69,87,14,102,144,0,65,79,0,0,0,0
,新竹市,11,8,3,73,28,45,39,19,12,7,0,20,14,3,3,0,0,0,1401,846,130,234,0,482,555,374,92,89,0,0,0,0
,嘉義市,6,4,2,66,20,46,31,10,6,4,0,21,12,3,3,3,0,0,1018,419,79,136,0,204,599,359,89,82,69,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,100,100,35,39,0,26,0,0,0,0,0,0,0,0
,金門縣,1,1,0,6,6,0,4,4,3,1,0,0,0,0,0,0,0,0,91,91,35,32,0,24,0,0,0,0,0,0,0,0
,連江縣,1,1,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,9,9,0,7,0,2,0,0,0,0,0,0,0,0
