,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,327,246,81,1820,1168,652,1051,649,401,242,6,402,190,97,81,29,3,2,31280,21580,4748,9447,210,7175,9700,4735,2360,1887,635,9,23,51
,台灣地區,325,244,81,1812,1160,652,1046,644,398,240,6,402,190,97,81,29,3,2,31184,21484,4719,9391,210,7164,9700,4735,2360,1887,635,9,23,51
,新北市,29,20,9,208,175,33,112,80,60,20,0,32,6,12,12,2,0,0,3528,2807,757,586,161,1303,721,168,234,277,41,0,0,1
,臺北市,54,38,16,345,168,177,165,74,32,42,0,91,62,12,9,6,0,2,5365,2969,364,1529,10,1066,2396,1646,352,246,129,0,23,0
,桃園市,29,22,7,133,83,50,86,56,36,20,0,30,6,12,9,3,0,0,3722,2900,467,1531,0,902,822,157,323,223,69,0,0,50
,臺中市,34,25,9,189,134,55,114,68,44,22,2,46,27,7,9,3,0,0,2935,1747,512,892,29,314,1188,726,187,206,69,0,0,0
,臺南市,28,23,5,128,78,50,72,48,27,20,1,24,12,6,3,3,0,0,2219,1588,344,826,1,417,631,331,153,87,60,0,0,0
,高雄市,35,27,8,163,124,39,102,75,37,38,0,27,3,9,9,3,3,0,3014,2366,490,685,0,1191,648,89,228,253,69,9,0,0
,宜蘭縣,10,7,3,58,33,25,32,16,9,7,0,16,7,3,3,3,0,0,782,464,106,315,0,43,318,142,75,35,66,0,0,0
,新竹縣,8,7,1,27,26,1,22,19,12,7,0,3,0,0,0,3,0,0,602,564,159,306,0,99,38,0,0,0,38,0,0,0
,苗栗縣,11,9,2,40,35,5,29,23,15,8,0,6,0,6,0,0,0,0,812,718,145,417,0,156,94,0,94,0,0,0,0,0
,彰化縣,17,14,3,88,67,21,56,38,24,13,1,18,12,3,3,0,0,0,1540,924,285,593,0,46,616,326,141,123,26,0,0,0
,南投縣,10,7,3,42,33,9,32,20,15,5,0,12,6,3,3,0,0,0,686,467,171,135,0,161,219,110,53,56,0,0,0,0
,雲林縣,9,6,3,58,45,13,37,25,19,6,0,12,6,3,3,0,0,0,1007,753,202,298,0,253,254,117,86,51,0,0,0,0
,嘉義縣,2,2,0,11,11,0,7,7,6,1,0,0,0,0,0,0,0,0,342,342,60,41,0,241,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,81,37,44,41,26,19,6,1,15,9,3,3,0,0,0,967,644,202,234,2,206,323,217,56,50,0,0,0,0
,臺東縣,6,5,1,19,14,5,12,9,6,3,0,3,0,3,0,0,0,0,304,241,54,80,0,107,63,0,63,0,0,0,0,0
,花蓮縣,7,5,2,47,20,27,29,14,9,5,0,15,9,3,3,0,0,0,653,372,89,153,0,130,281,195,48,38,0,0,0,0
,澎湖縣,2,1,1,15,9,6,11,5,4,1,0,6,0,3,3,0,0,0,116,83,30,38,0,15,33,0,25,8,0,0,0,0
,基隆市,5,4,1,23,19,4,16,10,6,3,1,6,0,3,3,0,0,0,433,308,72,138,6,92,125,0,59,66,0,0,0,0
,新竹市,11,8,3,71,29,42,38,19,12,7,0,19,13,3,3,0,0,0,1255,801,133,277,1,390,454,273,93,88,0,0,0,0
,嘉義市,8,6,2,66,20,46,33,12,6,6,0,21,12,3,3,3,0,0,902,426,77,317,0,32,476,238,90,80,68,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,96,96,29,56,0,11,0,0,0,0,0,0,0,0
,金門縣,1,1,0,6,6,0,4,4,3,1,0,0,0,0,0,0,0,0,84,84,29,44,0,11,0,0,0,0,0,0,0,0
,連江縣,1,1,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0
