,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,304,218,86,1699,962,737,991,574,371,194,9,417,200,97,89,27,2,2,30498,20158,4937,8475,93,6653,10340,5446,2340,2032,475,25,22,0
,台灣地區,302,216,86,1691,954,737,986,569,368,192,9,417,200,97,89,27,2,2,30411,20071,4904,8426,93,6648,10340,5446,2340,2032,475,25,22,0
,新北市,27,19,8,153,126,27,95,67,50,11,6,28,6,10,12,0,0,0,2743,1986,648,468,41,829,757,179,264,314,0,0,0,0
,臺北市,54,36,18,316,143,173,165,67,27,40,0,98,69,12,9,6,0,2,5374,2792,376,1333,21,1062,2582,1891,310,248,111,0,22,0
,臺中市,33,24,9,166,118,48,113,67,44,22,1,46,26,6,11,3,0,0,3500,2255,617,1206,28,404,1245,748,197,256,44,0,0,0
,臺南市,28,22,6,130,74,56,74,47,27,19,1,27,12,9,3,3,0,0,2429,1778,381,861,0,536,651,360,151,81,59,0,0,0
,高雄市,29,19,10,140,87,53,83,51,35,16,0,32,6,9,12,3,2,0,3042,2349,489,609,2,1249,693,169,196,245,58,25,0,0
,宜蘭縣,11,8,3,70,29,41,31,16,9,7,0,15,6,3,3,3,0,0,802,499,107,372,0,20,303,136,72,43,52,0,0,0
,桃園縣,27,19,8,102,63,39,80,47,30,17,0,33,6,12,12,3,0,0,2572,1844,457,833,0,554,728,113,278,275,62,0,0,0
,新竹縣,6,5,1,23,22,1,20,17,12,5,0,3,0,0,0,3,0,0,566,516,155,239,0,122,50,0,0,0,50,0,0,0
,苗栗縣,8,6,2,37,32,5,25,19,14,5,0,6,0,6,0,0,0,0,812,674,157,321,0,196,138,0,138,0,0,0,0,0
,彰化縣,16,13,3,86,60,26,55,37,24,13,0,18,12,3,3,0,0,0,1660,1115,341,702,0,72,545,392,71,82,0,0,0,0
,南投縣,9,6,3,43,36,7,33,21,17,4,0,12,6,3,3,0,0,0,865,550,220,119,0,211,315,171,72,72,0,0,0,0
,雲林縣,9,6,3,69,30,39,33,21,15,6,0,12,6,3,3,0,0,0,977,664,192,243,0,229,313,170,94,49,0,0,0,0
,嘉義縣,2,2,0,6,6,0,5,5,4,1,0,0,0,0,0,0,0,0,376,376,48,42,0,286,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,74,36,38,40,25,18,6,1,15,9,3,3,0,0,0,934,529,211,150,0,168,405,262,82,61,0,0,0,0
,臺東縣,5,4,1,16,12,4,12,9,7,2,0,3,0,3,0,0,0,0,363,290,73,87,0,130,73,0,73,0,0,0,0,0
,花蓮縣,6,4,2,39,16,23,28,13,9,4,0,15,9,3,3,0,0,0,776,433,106,172,1,154,343,229,61,53,0,0,0,0
,澎湖縣,2,1,1,17,10,7,11,5,4,1,0,6,0,3,3,0,0,0,120,73,37,29,0,7,47,0,30,17,0,0,0,0
,基隆市,4,3,1,23,17,6,15,9,6,3,0,6,0,3,3,0,0,0,420,279,84,99,0,96,141,0,73,68,0,0,0,0
,新竹市,10,7,3,128,23,105,39,18,12,6,0,21,15,3,3,0,0,0,1260,698,152,311,0,235,562,391,90,81,0,0,0,0
,嘉義市,6,4,2,53,14,39,29,8,4,4,0,21,12,3,3,3,0,0,820,371,53,230,0,88,449,235,88,87,39,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,87,87,33,49,0,5,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,76,76,33,38,0,5,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0
