,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,328,246,82,1881,1156,725,1049,647,393,248,6,402,186,98,82,31,3,2,30717,20756,4537,9190,238,6791,9961,5005,2363,1843,612,9,77,52
,台灣地區,326,244,82,1872,1147,725,1044,642,390,246,6,402,186,98,82,31,3,2,30619,20658,4510,9124,238,6786,9961,5005,2363,1843,612,9,77,52
,新北市,33,24,9,230,180,50,117,84,60,24,0,33,6,12,12,3,0,0,3438,2782,728,753,146,1155,656,144,205,259,46,0,0,2
,臺北市,54,38,16,335,152,183,164,76,33,43,0,88,59,12,9,6,0,2,5208,2879,325,1531,5,1018,2329,1529,354,246,123,0,77,0
,桃園市,31,24,7,146,98,48,88,58,36,22,0,30,6,12,9,3,0,0,3582,2766,426,1317,1,1022,816,175,316,209,67,0,0,49
,臺中市,27,18,9,185,111,74,105,58,42,14,2,47,27,8,9,3,0,0,2512,1306,495,539,44,228,1206,750,198,194,64,0,0,0
,臺南市,28,23,5,143,80,63,72,48,27,20,1,24,12,6,3,3,0,0,2160,1536,332,824,1,379,624,334,143,88,59,0,0,0
,高雄市,37,28,9,160,120,40,108,80,36,44,0,28,3,9,10,3,3,0,2938,2289,488,631,0,1170,649,85,228,260,67,9,0,0
,宜蘭縣,10,7,3,56,33,23,31,15,8,7,0,16,7,3,3,3,0,0,739,377,85,282,0,10,362,195,76,37,54,0,0,0
,新竹縣,7,6,1,28,27,1,21,18,12,6,0,3,0,0,0,3,0,0,601,567,147,323,0,97,34,0,0,0,34,0,0,0
,苗栗縣,11,9,2,39,34,5,27,21,13,8,0,6,0,6,0,0,0,0,772,646,132,395,0,119,126,0,126,0,0,0,0,0
,彰化縣,17,14,3,89,65,24,56,38,24,13,1,18,12,3,3,0,0,0,1606,984,279,569,21,115,622,321,137,138,26,0,0,0
,南投縣,10,7,3,43,33,10,32,20,15,5,0,12,6,3,3,0,0,0,687,447,164,126,0,157,240,154,41,45,0,0,0,0
,雲林縣,9,6,3,67,44,23,37,25,19,6,0,12,6,3,3,0,0,0,1093,786,210,336,0,240,307,174,85,48,0,0,0,0
,嘉義縣,3,3,0,12,12,0,7,7,5,2,0,0,0,0,0,0,0,0,326,326,62,70,1,193,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,83,40,43,39,24,17,6,1,15,9,3,3,0,0,0,1039,659,189,248,11,211,380,232,94,52,2,0,0,0
,臺東縣,6,5,1,19,16,3,13,10,6,4,0,3,0,3,0,0,0,0,334,268,61,145,0,62,66,0,66,0,0,0,0,0
,花蓮縣,7,5,2,63,18,45,29,14,9,5,0,15,9,3,3,0,0,0,710,423,76,208,0,139,287,205,44,38,0,0,0,0
,澎湖縣,2,1,1,17,10,7,12,5,4,1,0,7,0,3,3,1,0,0,145,100,33,44,0,23,45,0,35,5,5,0,0,0
,基隆市,5,4,1,24,20,4,16,10,6,3,1,6,0,3,3,0,0,0,406,316,75,152,8,81,90,0,37,52,0,0,0,1
,新竹市,11,8,3,69,31,38,37,19,12,7,0,18,12,3,3,0,0,0,1286,756,129,294,0,333,530,350,89,91,0,0,0,0
,嘉義市,8,6,2,64,23,41,33,12,6,6,0,21,12,3,3,3,0,0,1037,445,74,337,0,34,592,357,89,81,65,0,0,0
,金馬地區,2,2,0,9,9,0,5,5,3,2,0,0,0,0,0,0,0,0,98,98,27,66,0,5,0,0,0,0,0,0,0,0
,金門縣,1,1,0,8,8,0,4,4,3,1,0,0,0,0,0,0,0,0,86,86,27,54,0,5,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0
