,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,275,192,83,1534,775,759,904,490,319,168,3,414,193,2,96,93,27,3,26268,15640,4454,3768,8,7410,10628,5231,149,2372,2322,474,78,2
,台灣地區,274,191,83,1514,755,759,900,486,316,167,3,414,193,2,96,93,27,3,26202,15574,4427,3747,8,7392,10628,5231,149,2372,2322,474,78,2
,台北市,54,37,17,334,122,212,162,63,28,35,0,99,69,0,12,9,6,3,4454,1807,380,564,4,859,2647,1864,0,351,237,115,78,2
,高雄市,19,12,7,86,46,40,41,21,13,8,0,20,3,2,6,6,3,0,1660,1059,193,178,0,688,601,82,149,139,170,61,0,0
,台北縣,19,12,7,114,91,23,73,46,37,7,2,27,6,0,9,12,0,0,2069,1329,529,115,0,685,740,158,0,232,350,0,0,0
,宜蘭縣,10,7,3,76,24,52,31,16,9,7,0,15,6,0,3,3,3,0,839,486,130,212,0,144,353,177,0,84,45,47,0,0
,桃園縣,22,14,8,71,43,28,67,34,22,12,0,33,6,0,12,12,3,0,1841,1051,330,141,0,580,790,107,0,339,295,49,0,0
,新竹縣,6,5,1,13,12,1,14,11,7,4,0,3,0,0,0,0,3,0,380,332,94,77,0,161,48,0,0,0,0,48,0,0
,苗栗縣,7,5,2,24,24,0,21,15,10,5,0,6,0,0,6,0,0,0,613,472,137,120,0,215,141,0,0,141,0,0,0,0
,台中縣,17,15,2,54,51,3,48,42,27,15,0,6,0,0,3,3,0,0,1594,1428,398,356,0,674,166,0,0,79,87,0,0,0
,彰化縣,16,13,3,84,45,39,48,30,17,13,0,18,12,0,3,3,0,0,1458,993,263,521,0,209,465,307,0,71,87,0,0,0
,南投縣,8,5,3,43,32,11,26,18,15,3,0,8,2,0,3,3,0,0,647,429,188,81,0,160,218,60,0,79,79,0,0,0
,雲林縣,8,5,3,66,16,50,32,20,15,5,0,12,6,0,3,3,0,0,780,481,187,1,0,293,299,176,0,66,57,0,0,0
,嘉義縣,2,2,0,9,9,0,6,6,6,0,0,0,0,0,0,0,0,0,292,292,72,0,0,220,0,0,0,0,0,0,0,0
,台南縣,13,11,2,66,45,21,36,30,20,10,0,6,0,0,6,0,0,0,972,889,304,219,1,365,83,0,0,83,0,0,0,0
,高雄縣,9,6,3,33,24,9,31,19,14,5,0,12,3,0,3,6,0,0,1098,845,196,381,0,268,253,57,0,77,119,0,0,0
,屏東縣,9,7,2,79,40,39,40,26,19,7,0,14,8,0,3,3,0,0,949,547,224,117,0,206,402,229,0,88,85,0,0,0
,台東縣,5,4,1,17,13,4,11,8,6,2,0,3,0,0,3,0,0,0,311,262,85,21,0,156,49,0,0,49,0,0,0,0
,花蓮縣,6,4,2,40,13,27,28,13,9,4,0,15,9,0,3,3,0,0,645,297,97,38,3,159,348,258,0,41,49,0,0,0
,澎湖縣,2,1,1,17,11,6,13,7,6,1,0,6,0,0,3,3,0,0,108,60,30,13,0,17,48,0,0,28,20,0,0,0
,基隆市,4,3,1,22,18,4,15,9,6,3,0,6,0,0,3,3,0,0,405,249,93,31,0,125,156,0,0,78,78,0,0,0
,新竹市,8,5,3,45,28,17,38,17,12,4,1,21,15,0,3,3,0,0,1169,580,181,73,0,326,589,432,0,78,79,0,0,0
,台中市,13,7,6,121,30,91,61,19,12,7,0,42,24,0,3,12,3,0,1926,810,212,283,0,315,1116,671,0,90,299,56,0,0
,嘉義市,5,3,2,50,7,43,26,5,3,2,0,21,12,0,3,3,3,0,801,230,44,48,0,138,571,337,0,89,98,47,0,0
,台南市,12,8,4,50,11,39,32,11,3,8,0,21,12,0,3,3,3,0,1191,646,60,157,0,429,545,316,0,90,88,51,0,0
,金馬地區,1,1,0,20,20,0,4,4,3,1,0,0,0,0,0,0,0,0,66,66,27,21,0,18,0,0,0,0,0,0,0,0
,金門縣,1,1,0,20,20,0,4,4,3,1,0,0,0,0,0,0,0,0,60,60,27,21,0,12,0,0,0,0,0,0,0,0
,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0
