,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,304,220,84,1833,1059,774,995,584,378,197,9,411,199,96,84,27,3,2,30150,19707,4738,8383,189,6397,10443,5437,2425,1965,528,49,39,0
,台灣地區,302,218,84,1825,1051,774,990,579,375,195,9,411,199,96,84,27,3,2,30078,19635,4710,8348,189,6388,10443,5437,2425,1965,528,49,39,0
,新北市,25,17,8,182,142,40,97,69,53,10,6,28,6,10,12,0,0,0,2897,2118,653,292,124,1049,779,176,287,316,0,0,0,0
,臺北市,53,36,17,327,147,180,164,67,27,40,0,97,68,12,9,6,0,2,5331,2733,378,1342,10,1003,2598,1853,332,254,120,0,39,0
,臺中市,32,24,8,175,126,49,113,68,45,22,1,45,27,6,9,3,0,0,3090,1890,551,1031,30,278,1200,736,173,224,67,0,0,0
,臺南市,29,23,6,132,81,51,74,48,27,20,1,26,12,8,3,3,0,0,2407,1756,375,967,2,412,651,352,154,79,66,0,0,0
,高雄市,30,20,10,155,99,56,85,54,37,17,0,31,5,9,11,3,3,0,3084,2374,491,703,13,1167,710,145,214,246,56,49,0,0
,宜蘭縣,11,8,3,70,29,41,31,16,9,7,0,15,6,3,3,3,0,0,797,478,99,360,0,19,319,148,75,41,55,0,0,0
,桃園市,28,20,8,109,73,36,79,48,30,18,0,31,6,12,10,3,0,0,2751,1902,407,943,2,550,849,170,369,250,60,0,0,0
,新竹縣,6,5,1,24,23,1,20,17,12,5,0,3,0,0,0,3,0,0,558,510,157,260,0,93,48,0,0,0,48,0,0,0
,苗栗縣,8,6,2,48,44,4,25,19,14,5,0,6,0,6,0,0,0,0,884,738,148,371,0,219,146,0,146,0,0,0,0,0
,彰化縣,16,13,3,81,64,17,55,37,24,13,0,18,12,3,3,0,0,0,1476,1005,309,638,0,58,471,316,73,82,0,0,0,0
,南投縣,10,7,3,50,37,13,34,22,17,5,0,12,6,3,3,0,0,0,797,487,182,137,0,168,310,160,77,73,0,0,0,0
,雲林縣,9,6,3,57,28,29,33,21,15,6,0,12,6,3,3,0,0,0,936,633,202,225,0,206,303,175,77,51,0,0,0,0
,嘉義縣,2,2,0,12,12,0,6,6,5,1,0,0,0,0,0,0,0,0,330,330,53,36,0,241,0,0,0,0,0,0,0,0
,屏東縣,10,8,2,87,40,47,40,25,18,6,1,15,9,3,3,0,0,0,958,584,207,183,5,189,374,245,69,60,0,0,0,0
,臺東縣,5,4,1,17,13,4,11,8,6,2,0,3,0,3,0,0,0,0,326,265,73,79,0,113,61,0,61,0,0,0,0,0
,花蓮縣,6,4,2,64,19,45,28,13,9,4,0,15,9,3,3,0,0,0,710,403,109,134,1,159,307,213,50,44,0,0,0,0
,澎湖縣,2,1,1,18,10,8,11,5,4,1,0,6,0,3,3,0,0,0,105,59,35,20,0,4,46,0,35,11,0,0,0,0
,基隆市,4,3,1,20,17,3,15,9,6,3,0,6,0,3,3,0,0,0,402,276,81,108,0,87,126,0,56,70,0,0,0,0
,新竹市,10,7,3,138,28,110,39,18,12,6,0,21,15,3,3,0,0,0,1327,748,135,308,2,303,579,404,93,82,0,0,0,0
,嘉義市,6,4,2,59,19,40,30,9,5,4,0,21,12,3,3,3,0,0,912,346,65,211,0,70,566,344,84,82,56,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,72,72,28,35,0,9,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,61,61,28,24,0,9,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0
