,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,316,232,84,1807,1086,721,1016,608,384,214,10,408,197,96,82,28,3,2,29803,19449,4552,8486,149,6262,10354,5220,2517,1941,580,49,46,1
,台灣地區,314,230,84,1799,1078,721,1011,603,381,212,10,408,197,96,82,28,3,2,29730,19376,4530,8444,149,6253,10354,5220,2517,1941,580,49,46,1
,新北市,26,17,9,176,147,29,101,71,55,10,6,30,6,11,12,1,0,0,3093,2297,657,385,108,1147,796,176,319,278,22,0,0,1
,臺北市,54,37,17,317,148,169,165,69,28,41,0,96,67,12,9,6,0,2,5350,2768,366,1356,0,1046,2582,1820,333,256,127,0,46,0
,臺中市,33,25,8,185,137,48,114,69,45,22,2,45,27,6,9,3,0,0,2916,1707,504,901,26,276,1209,730,178,233,68,0,0,0
,臺南市,29,23,6,136,78,58,73,48,27,20,1,25,12,7,3,3,0,0,2275,1617,363,906,6,342,658,348,160,79,71,0,0,0
,高雄市,35,25,10,155,110,45,93,64,36,28,0,29,4,9,10,3,3,0,3014,2295,471,827,1,996,719,117,245,249,59,49,0,0
,宜蘭縣,10,7,3,72,31,41,31,16,9,7,0,15,6,3,3,3,0,0,772,449,89,340,0,20,323,142,77,47,57,0,0,0
,桃園市,28,21,7,122,73,49,80,50,32,18,0,30,6,12,9,3,0,0,2991,2230,413,1172,0,645,761,113,345,244,59,0,0,0
,新竹縣,6,5,1,25,24,1,20,17,12,5,0,3,0,0,0,3,0,0,515,462,145,222,0,95,53,0,0,0,53,0,0,0
,苗栗縣,9,7,2,42,36,6,26,20,14,6,0,6,0,6,0,0,0,0,908,756,148,385,1,222,152,0,152,0,0,0,0,0
,彰化縣,16,13,3,85,64,21,55,37,24,13,0,18,12,3,3,0,0,0,1362,881,297,515,0,69,481,315,82,84,0,0,0,0
,南投縣,10,7,3,49,36,13,33,21,16,5,0,12,6,3,3,0,0,0,758,446,165,136,0,145,312,161,78,73,0,0,0,0
,雲林縣,9,6,3,57,29,28,34,22,16,6,0,12,6,3,3,0,0,0,891,598,171,215,0,212,293,167,75,51,0,0,0,0
,嘉義縣,2,2,0,13,13,0,6,6,5,1,0,0,0,0,0,0,0,0,285,285,50,26,0,209,0,0,0,0,0,0,0,0
,屏東縣,11,9,2,97,39,58,42,27,19,7,1,15,9,3,3,0,0,0,985,613,220,218,7,168,372,249,70,53,0,0,0,0
,臺東縣,6,5,1,18,15,3,12,9,6,3,0,3,0,3,0,0,0,0,310,249,65,87,0,97,61,0,61,0,0,0,0,0
,花蓮縣,7,5,2,61,20,41,29,14,9,5,0,15,9,3,3,0,0,0,674,370,98,144,0,128,304,204,57,43,0,0,0,0
,澎湖縣,2,1,1,18,10,8,11,5,4,1,0,6,0,3,3,0,0,0,102,56,31,22,0,3,46,0,36,10,0,0,0,0
,基隆市,4,3,1,22,18,4,15,9,6,3,0,6,0,3,3,0,0,0,415,267,67,111,0,89,148,0,69,79,0,0,0,0
,新竹市,11,8,3,82,30,52,40,19,12,7,0,21,15,3,3,0,0,0,1250,695,129,287,0,279,555,380,94,81,0,0,0,0
,嘉義市,6,4,2,67,20,47,31,10,6,4,0,21,12,3,3,3,0,0,864,335,81,189,0,65,529,298,86,81,64,0,0,0
,金馬地區,2,2,0,8,8,0,5,5,3,2,0,0,0,0,0,0,0,0,73,73,22,42,0,9,0,0,0,0,0,0,0,0
,金門縣,1,1,0,7,7,0,4,4,3,1,0,0,0,0,0,0,0,0,60,60,22,29,0,9,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0
