,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,280,196,84,1657,835,822,931,516,341,168,7,415,196,3,96,93,27,0,27546,16942,4832,2981,21,9108,10604,5378,0,2434,2275,483,0,34
,台灣地區,278,194,84,1637,815,822,926,511,338,166,7,415,196,3,96,93,27,0,27467,16863,4800,2968,21,9074,10604,5378,0,2434,2275,483,0,34
,台北市,54,36,18,372,119,253,159,62,27,35,0,97,70,0,12,9,6,0,4729,2084,377,692,0,1015,2645,1948,0,351,230,111,0,5
,高雄市,19,12,7,84,49,35,43,22,14,8,0,21,3,3,6,6,3,0,1671,1194,204,134,0,856,477,87,0,142,176,64,0,8
,台北縣,22,15,7,122,100,22,79,52,40,7,5,27,6,0,9,12,0,0,2265,1519,587,92,2,838,746,168,0,232,345,0,0,1
,宜蘭縣,10,7,3,103,29,74,31,16,9,7,0,15,6,0,3,3,3,0,873,543,131,131,0,281,330,172,0,68,42,47,0,1
,桃園縣,22,14,8,82,49,33,72,39,27,12,0,33,6,0,12,12,3,0,2057,1213,390,92,0,731,844,113,0,348,331,49,0,3
,新竹縣,6,5,1,16,15,1,17,14,10,4,0,3,0,0,0,0,3,0,423,368,133,47,0,188,55,0,0,0,0,55,0,0
,苗栗縣,7,5,2,24,24,0,22,16,11,5,0,6,0,0,6,0,0,0,664,513,153,97,0,263,151,0,0,151,0,0,0,0
,台中縣,17,15,2,61,55,6,49,43,28,15,0,6,0,0,3,3,0,0,1605,1428,425,262,0,741,177,0,0,89,87,0,0,1
,彰化縣,16,13,3,90,48,42,51,33,20,13,0,18,12,0,3,3,0,0,1544,1032,302,361,0,369,512,345,0,77,89,0,0,1
,南投縣,8,5,3,46,35,11,29,20,17,3,0,9,3,0,3,3,0,0,757,476,213,80,0,183,281,120,0,80,79,0,0,2
,雲林縣,8,5,3,67,17,50,32,20,15,5,0,12,6,0,3,3,0,0,808,533,200,22,0,311,275,142,0,78,53,0,0,2
,嘉義縣,2,2,0,8,8,0,6,6,6,0,0,0,0,0,0,0,0,0,318,318,72,0,0,246,0,0,0,0,0,0,0,0
,台南縣,13,11,2,64,48,16,37,31,21,10,0,6,0,0,6,0,0,0,1021,927,306,132,0,489,94,0,0,91,0,0,0,3
,高雄縣,9,6,3,48,34,14,32,20,15,5,0,12,3,0,3,6,0,0,1118,847,222,303,0,322,271,92,0,80,98,0,0,1
,屏東縣,9,7,2,80,40,40,41,26,20,6,0,15,9,0,3,3,0,0,995,570,257,76,0,237,425,263,0,81,79,0,0,2
,台東縣,5,4,1,19,15,4,12,9,7,2,0,3,0,0,3,0,0,0,327,277,88,12,0,177,50,0,0,50,0,0,0,0
,花蓮縣,6,4,2,40,13,27,28,13,9,4,0,15,9,0,3,3,0,0,680,333,110,26,3,194,347,249,0,52,46,0,0,0
,澎湖縣,2,1,1,17,11,6,11,5,4,1,0,6,0,0,3,3,0,0,109,68,32,11,0,25,41,0,0,24,17,0,0,0
,基隆市,4,3,1,19,16,3,15,9,6,3,0,6,0,0,3,3,0,0,409,254,88,34,0,132,155,0,0,79,75,0,0,1
,新竹市,8,5,3,47,35,12,40,19,14,4,1,21,15,0,3,3,0,0,1165,624,201,47,1,375,541,370,0,91,80,0,0,0
,台中市,14,8,6,127,35,92,62,20,12,7,1,42,24,0,3,12,3,0,1920,814,207,191,15,401,1106,681,0,88,279,58,0,0
,嘉義市,5,3,2,50,7,43,26,5,3,2,0,21,12,0,3,3,3,0,762,246,45,33,0,168,516,287,0,93,83,52,0,1
,台南市,12,8,4,51,13,38,32,11,3,8,0,21,12,0,3,3,3,0,1247,682,57,93,0,532,565,341,0,89,86,47,0,2
,金馬地區,2,2,0,20,20,0,5,5,3,2,0,0,0,0,0,0,0,0,79,79,32,13,0,34,0,0,0,0,0,0,0,0
,金門縣,1,1,0,19,19,0,4,4,3,1,0,0,0,0,0,0,0,0,76,76,32,12,0,32,0,0,0,0,0,0,0,0
,連江縣,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0
