
,教育階段：高中職,製表日期：2018/10/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,36,0,4,0,3,1,17,2,42,3,19,0,0,127
,三民高中,0,0,0,0,2,1,2,0,2,0,3,0,1,11
,三信家商,62,4,2,0,4,2,2,1,55,3,21,0,1,157
,大榮高中,5,0,1,0,0,0,1,0,15,0,1,0,3,26
,小港高中,0,0,0,0,1,0,1,1,0,0,2,0,0,5
,中山大學附屬國光高中,0,0,2,0,2,0,0,0,0,0,2,0,0,6
,中山工商,160,1,9,0,4,1,16,7,172,1,40,0,7,418
,中山高中,0,1,0,0,1,0,1,0,0,0,0,0,0,3
,中正高工,22,0,1,0,3,1,4,0,34,1,21,0,3,90
,中正高中,1,1,0,1,2,0,0,0,1,0,3,0,1,10
,中華藝校,0,0,1,0,1,0,1,0,10,1,5,0,2,21
,仁武高中(高中部),0,0,0,0,0,0,0,0,1,0,0,0,0,1
,六龜高中(高中部),2,0,0,0,0,0,2,0,7,0,0,0,0,11
,文山高中(高中部),0,2,0,0,0,0,1,1,2,1,1,0,0,8
,左營高中,0,0,0,0,0,0,3,2,1,0,4,0,0,10
,立志中學,53,2,3,3,2,0,7,1,86,0,17,0,4,178
,岡山高中,0,0,1,0,2,1,0,1,2,1,2,0,1,11
,岡山農工,42,0,0,0,1,1,0,0,48,0,10,0,0,102
,明陽中學,5,0,0,0,1,0,1,0,0,0,2,0,0,9
,明誠高中,0,0,0,0,1,0,1,1,0,0,5,0,0,8
,林園高中,0,0,1,0,2,1,0,2,0,0,0,0,0,6
,前鎮高中,0,1,0,0,0,0,1,1,0,1,3,0,0,7
,海青工商,0,0,4,1,5,2,8,2,26,0,10,0,2,60
,高英工商,25,1,3,0,0,0,2,1,60,0,5,0,0,97
,高苑工商,56,0,0,0,3,1,1,1,34,0,8,0,0,104
,高師附中,0,0,1,0,2,0,7,0,1,1,8,0,0,20
,高雄女中,0,1,5,0,3,0,9,0,1,0,1,0,0,20
,高雄高工,1,0,7,1,4,1,12,5,51,0,34,0,4,120
,高雄高中,0,0,6,1,7,1,19,0,3,0,33,0,1,71
,高雄高商,0,1,2,0,3,4,8,3,10,0,13,0,1,45
,高鳳工家,19,0,0,0,0,0,0,0,0,0,2,0,0,21
,國立高雄餐旅大學附屬餐旅高中,0,0,0,0,0,0,2,1,7,0,1,0,0,11
,國際商工,0,0,0,0,0,0,0,1,2,0,0,0,0,3
,復華高中,6,0,0,1,2,0,1,0,7,0,0,0,1,18
,普門高中,2,0,1,0,0,0,2,1,1,1,2,0,0,10
,華德工家,18,0,1,0,0,0,0,0,22,0,0,0,0,41
,新光高中,2,0,0,0,0,0,0,1,5,0,1,0,0,9
,新莊高中,0,1,2,1,8,3,4,1,1,1,11,0,0,33
,新興高中,0,0,0,0,0,0,0,0,1,0,3,0,1,5
,楠梓高中,0,0,0,0,2,0,0,1,3,0,2,0,1,9
,瑞祥高中,0,0,0,0,0,0,1,0,2,0,1,0,0,4
,義大國際高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,路竹高中(高中部),0,1,0,0,0,0,0,0,0,0,1,0,0,2
,道明高中,0,0,0,0,1,0,0,0,0,0,1,0,0,2
,鼓山高中,0,0,0,0,0,0,1,0,4,0,0,0,0,5
,旗山農工,12,0,0,1,1,0,0,0,35,0,3,0,0,52
,旗美高中,0,1,0,0,1,1,2,0,5,1,0,0,0,11
,旗美商工,25,0,0,0,0,0,0,0,3,1,4,0,0,33
,福誠高中,0,0,0,0,0,0,2,2,4,0,1,0,0,9
,鳳山高中,0,0,1,0,5,0,5,2,1,0,4,0,0,18
,鳳山商工,39,0,1,0,2,2,7,1,15,2,7,0,0,76
,鳳新高中,0,1,2,0,4,2,3,1,0,0,4,0,1,18
,樹德家商,50,0,2,1,3,2,1,1,94,3,13,0,1,171
,總計,643,19,63,11,88,28,158,45,876,22,335,0,36,2324
