
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三民家商,43,6,4,0,5,4,2,3,0,2,0,1,70
,三民高中,0,1,2,0,0,1,1,2,0,0,0,0,7
,三信家商,61,0,6,3,16,13,5,95,4,12,0,2,217
,大榮中學,2,1,0,0,3,2,1,26,0,0,0,2,37
,小港高中,0,0,1,0,1,1,0,3,0,2,0,0,8
,中山大學附屬國光高中,0,0,0,1,2,1,0,0,0,0,0,0,4
,中山高中,0,1,0,0,2,4,0,0,0,0,0,0,7
,中正高工,1,0,2,0,1,3,0,14,0,2,0,0,23
,中正高中,0,0,2,0,0,3,0,2,0,0,0,1,8
,中華藝校,0,1,4,1,0,0,1,3,0,1,0,0,11
,左營高中,0,0,0,0,1,1,1,0,0,0,0,0,3
,立志高中,13,1,2,2,4,4,3,78,0,2,0,2,111
,明誠中學,0,0,0,0,1,0,2,1,0,0,0,0,4
,前鎮高中,0,0,0,1,1,3,0,0,0,0,0,0,5
,海青工商,1,2,4,1,3,3,0,15,0,2,0,1,32
,高師附中,0,0,1,0,1,1,0,0,0,0,0,0,3
,高雄女中,0,1,2,0,8,7,0,0,1,0,0,2,21
,高雄中學,0,1,3,1,12,7,4,1,0,4,0,2,35
,高雄高工,0,0,3,2,5,7,2,10,1,4,0,2,36
,高雄高商,0,1,5,0,4,5,2,2,0,0,0,2,21
,高鳳工家,47,0,0,0,3,0,1,11,1,3,0,1,67
,國際商工,3,0,0,0,4,1,3,23,0,0,0,0,34
,復華中學,1,1,1,0,0,2,0,11,0,0,0,0,16
,新莊高中,0,2,3,0,1,3,0,0,0,1,0,0,10
,新興高中,0,0,1,0,2,2,0,0,0,0,0,0,5
,楠梓高中,0,0,1,0,0,1,1,2,0,0,0,0,5
,瑞祥高中,0,0,0,1,2,2,0,0,0,1,0,0,6
,道明中學,0,0,0,0,0,1,0,0,0,0,0,0,1
,鼓山高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,樹德家商,47,1,5,1,8,6,0,41,4,2,0,7,122
,總計,219,20,52,14,90,88,29,345,11,38,0,25,931
