
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,41,2,5,0,4,4,2,13,2,5,0,1,79
,三民高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,三信家商,63,1,11,0,19,17,2,134,5,14,0,0,266
,大榮高中,3,0,0,1,1,1,0,24,0,0,0,0,30
,小港高中,0,0,0,0,6,0,2,1,0,0,0,1,10
,中山大學附屬國光高中,0,0,1,0,0,0,0,0,1,0,0,0,2
,中山工商,106,2,5,3,19,19,3,114,10,5,0,5,291
,中山高中,0,1,0,0,4,6,0,0,0,3,0,1,15
,中正高工,1,0,1,0,4,6,0,15,1,5,0,0,33
,中正高中,0,1,1,0,0,2,0,3,0,1,0,1,9
,中華藝校,2,0,1,1,0,0,0,10,0,2,0,1,17
,仁武高中(高中部),1,0,0,0,1,0,0,0,0,0,0,0,2
,六龜高中(高中部),1,0,0,1,2,0,0,2,0,0,0,0,6
,文山高中(高中部),1,0,0,0,0,3,0,1,0,0,0,1,6
,左營高中,0,0,1,0,1,2,0,0,0,0,0,1,5
,正義高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,立志高中,47,2,1,1,8,2,5,103,3,5,0,0,177
,岡山高中,0,1,0,0,1,2,0,0,0,0,0,0,4
,岡山農工,40,0,3,1,3,1,2,29,2,3,0,0,84
,明誠高中,0,0,0,0,2,0,0,0,0,2,0,0,4
,前鎮高中,0,0,2,0,1,2,2,0,0,0,0,0,7
,海青工商,3,1,5,1,6,7,0,26,0,7,0,2,58
,高英工商,27,2,1,0,5,3,3,58,1,1,0,5,106
,高苑工商,25,0,3,1,7,4,3,68,0,0,0,1,112
,高師附中,0,2,2,0,2,2,0,0,0,0,0,1,9
,高雄女中,0,3,1,0,7,9,0,0,0,0,0,1,21
,高雄高工,2,1,5,0,4,6,4,12,1,6,0,3,44
,高雄高中,0,3,6,0,10,12,2,1,2,9,0,2,47
,高雄高商,0,2,4,0,8,2,2,2,1,3,0,0,24
,高鳳工家,55,0,0,1,2,1,1,9,2,2,0,0,73
,國際商工,3,0,0,0,1,1,1,16,0,1,0,1,24
,復華高中,4,1,1,0,5,2,0,14,3,1,0,0,31
,普門高中,1,0,0,0,0,1,0,1,0,1,0,0,4
,華德工家,5,0,1,0,2,4,2,29,0,0,0,0,43
,新莊高中,0,2,3,0,2,4,2,1,0,0,0,2,16
,新興高中,0,0,1,0,2,1,0,0,0,0,0,0,4
,楠梓高中,0,0,1,0,0,3,1,1,0,1,0,0,7
,瑞祥高中,0,0,0,0,3,2,0,0,0,2,0,0,7
,路竹高中(高中部),0,0,0,0,1,0,0,0,0,0,0,0,1
,道明高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,鼓山高中,0,1,0,0,1,0,1,1,0,0,0,0,4
,旗山農工,2,0,0,0,4,2,0,18,1,0,0,0,27
,旗美高中,0,0,1,0,2,1,0,1,0,0,0,0,5
,旗美商工,48,0,0,0,0,0,0,9,2,0,0,0,59
,福誠高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,鳳山高中,0,2,1,1,3,3,2,0,0,1,0,0,13
,鳳山商工,41,1,2,0,3,5,2,10,1,2,0,1,68
,鳳新高中,0,1,0,1,2,2,0,0,1,1,0,1,9
,樂育高中,1,0,0,0,1,0,0,3,0,0,0,0,5
,樹德家商,48,3,7,1,12,8,2,74,4,1,0,3,163
,總計,571,35,77,14,172,153,46,806,43,84,0,35,2036
