
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,34,1,3,0,6,2,7,0,27,2,14,0,1,97
,三民高中,0,0,1,0,2,0,1,0,1,1,3,0,0,9
,三信家商,87,1,8,2,15,1,5,7,127,4,33,0,5,295
,大榮高中,8,0,2,0,0,0,3,0,28,0,1,0,0,42
,小港高中,0,0,1,0,0,1,5,0,1,0,1,0,0,9
,中山大學附屬國光高中,0,0,1,0,2,0,1,0,0,0,1,0,1,6
,中山工商,147,2,10,1,7,1,9,4,154,10,21,0,4,370
,中山高中,0,0,0,0,0,0,4,0,0,0,2,0,0,6
,中正高工,3,0,3,0,5,0,3,1,27,0,8,0,1,51
,中正高中,0,0,3,1,2,0,0,0,1,0,1,0,0,8
,中華藝校,1,0,0,1,2,0,1,2,10,0,0,0,1,18
,仁武高中(高中部),0,0,0,0,2,0,1,0,0,0,0,0,0,3
,六龜高中(高中部),4,0,0,0,1,0,1,0,6,0,0,0,0,12
,天主教道明高中,0,0,0,0,0,0,0,2,0,0,1,0,0,3
,文山高中(高中部),1,1,0,0,0,0,1,0,0,2,1,0,0,6
,左營高中,0,0,0,0,2,0,1,0,0,0,2,0,1,6
,正義高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,立志學校財團法人高雄市立志高級中學,67,2,2,0,5,0,4,3,114,2,16,0,4,219
,岡山高中,0,0,0,0,1,1,3,0,2,0,0,0,0,7
,岡山農工,39,1,3,1,3,0,2,1,47,3,11,0,0,111
,明陽中學,2,0,0,1,0,0,0,0,7,0,1,0,0,11
,明誠高中,0,0,0,0,0,1,0,0,0,1,2,0,0,4
,林園高中(高中部),0,0,0,0,1,0,2,1,0,0,0,0,0,4
,前鎮高中,1,0,0,0,0,0,3,1,1,0,2,0,0,8
,海青工商,2,0,1,0,5,0,7,4,26,0,9,0,4,58
,高英工商,37,0,2,2,3,1,1,3,76,0,4,0,3,132
,高苑工商,54,0,0,0,1,0,3,0,45,0,2,0,1,106
,高師附中,0,1,2,0,0,0,3,0,2,0,7,0,1,16
,高雄女中,0,0,3,0,4,2,7,0,2,1,0,0,1,20
,高雄高工,2,0,4,1,4,1,5,7,26,0,22,0,4,76
,高雄高中,0,1,4,0,4,1,5,0,1,1,25,0,1,43
,高雄高商,1,0,4,0,4,2,8,2,10,0,10,0,2,43
,高鳳工家,28,0,0,0,0,0,1,0,3,0,4,0,0,36
,國立高雄餐旅大學附屬餐旅高中,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,國際商工,3,0,0,0,0,0,1,2,5,0,0,0,1,12
,復華高中,9,0,0,1,0,0,4,1,19,0,2,0,1,37
,普門高中,5,0,0,0,1,0,0,0,0,0,2,0,0,8
,華德工家,14,0,2,0,0,0,2,0,22,0,0,0,0,40
,新光高中,2,1,0,0,2,0,1,0,12,0,0,0,0,18
,新莊高中,0,1,5,0,3,0,8,1,2,1,5,0,1,27
,新興高中,0,0,0,0,1,0,1,0,1,0,3,0,0,6
,楠梓高中,0,0,0,0,1,0,2,0,5,0,2,0,1,11
,瑞祥高中,0,0,0,0,1,0,4,0,0,0,1,0,0,6
,路竹高中(高中部),0,1,0,0,1,0,1,0,0,0,0,0,0,3
,鼓山高中,1,0,0,0,1,0,0,1,1,0,0,0,0,4
,旗山農工,10,0,2,0,2,0,2,1,32,0,0,0,1,50
,旗美高中,1,0,0,0,3,1,1,0,4,0,0,0,0,10
,旗美商工,35,1,0,0,0,0,0,0,12,4,1,0,0,53
,福誠高中,0,0,1,0,0,0,0,1,3,0,2,0,0,7
,鳳山高中,0,1,2,0,7,0,4,0,1,0,3,0,1,19
,鳳山商工,42,0,4,0,3,0,4,1,25,3,7,0,3,92
,鳳新高中,0,1,0,0,0,1,4,2,3,1,3,0,0,15
,樹德家商,52,4,6,0,6,0,7,5,112,3,7,0,0,202
,總計,692,20,79,11,114,16,143,53,1004,39,242,0,45,2458
