
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,67,1,0,0,1,1,0,20,4,1,0,1,96
,二林高中,0,0,0,0,0,0,1,0,0,0,0,0,1
,大慶商工,34,0,2,1,5,8,5,46,4,0,0,4,109
,文興高中,0,0,0,0,1,2,0,0,0,0,0,0,3
,北斗家商,45,0,2,0,5,3,1,16,1,0,0,0,73
,正德高中,2,3,0,0,7,0,1,2,0,0,0,2,17
,永靖高工,1,0,1,1,3,2,1,25,0,0,0,0,34
,成功高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,秀水高工,80,2,2,0,2,2,7,31,3,3,0,0,132
,員林家商,43,1,2,0,0,2,2,25,2,0,0,1,78
,員林高中,0,2,2,0,0,2,2,0,0,1,0,1,10
,員林高中分校,4,0,0,0,0,0,1,2,0,0,0,0,7
,員林農工,39,2,2,1,3,2,2,27,3,1,0,2,84
,崇實高工,2,0,1,0,2,0,5,18,0,1,0,0,29
,鹿港高中,0,2,1,1,5,2,2,17,0,1,0,0,31
,溪湖高中,0,1,11,0,1,0,3,3,0,0,0,0,19
,達德商工,34,1,6,2,7,7,6,73,2,0,0,3,141
,彰化女中,0,4,2,0,5,2,0,0,0,0,0,2,15
,彰化師大附屬高工,0,0,4,0,1,0,1,28,0,0,0,1,35
,彰化高中,0,1,4,1,5,3,2,1,1,0,0,0,18
,彰化高商,53,3,4,0,3,4,4,18,2,2,0,2,95
,彰化藝術高中,0,0,1,0,1,1,0,1,0,0,0,0,4
,精誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,404,23,47,7,57,44,46,355,22,10,0,19,1034
