
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,66,1,0,0,1,1,0,20,4,2,0,1,96
,二林高中,0,0,0,0,0,0,1,0,0,0,0,0,1
,大慶商工,36,0,2,1,5,8,5,47,4,0,0,4,112
,文興高中,0,0,0,0,1,2,0,0,0,0,0,0,3
,北斗家商,47,0,4,0,5,3,1,20,1,0,0,0,81
,正德高中,2,2,0,0,7,0,1,2,0,0,0,2,16
,永靖高工,1,0,1,1,3,2,1,25,0,0,0,0,34
,成功高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,秀水高工,79,2,2,0,2,2,7,31,3,2,0,0,130
,員林家商,42,1,2,0,0,2,2,25,2,0,0,1,77
,員林高中,4,2,2,0,0,2,2,2,0,1,0,1,16
,員林農工,40,2,2,1,3,2,2,28,3,1,0,2,86
,崇實高工,2,0,1,0,2,0,5,20,0,1,0,0,31
,鹿港高中,0,2,1,1,5,2,2,17,0,1,0,0,31
,溪湖高中,0,1,11,0,1,0,3,3,0,0,0,0,19
,達德商工,35,1,5,2,7,8,6,75,2,0,0,3,144
,彰化女中,0,4,2,0,5,2,0,0,0,0,0,2,15
,彰化師大附屬高工,0,0,4,0,1,0,1,30,0,0,0,1,37
,彰化高中,0,1,4,1,5,3,3,1,1,0,0,0,19
,彰化高商,52,3,4,0,3,5,2,18,2,3,0,2,94
,彰化藝術高中,0,0,1,0,1,1,0,1,0,0,0,0,4
,精誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,406,22,48,7,57,46,44,367,22,11,0,19,1049
