
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,二林工商,45,1,0,0,3,2,0,26,1,0,0,1,79
,二林高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,大慶商工,57,0,3,3,6,10,2,62,0,1,0,3,147
,文興高中,0,0,0,0,0,1,0,0,1,0,0,0,2
,北斗家商,6,1,5,0,3,2,0,14,0,0,0,1,32
,正德高中,3,1,0,1,4,1,0,5,0,0,0,6,21
,永靖高工,4,0,0,0,0,1,0,17,0,0,0,1,23
,秀水高工,81,0,3,0,1,4,1,32,6,1,0,1,130
,員林家商,40,0,3,0,0,4,0,22,3,0,0,1,73
,員林高中,0,4,2,0,3,3,0,0,1,1,0,0,14
,員林農工,5,0,2,0,1,4,1,26,0,0,0,1,40
,崇實高工,1,0,3,0,2,4,0,19,0,0,0,1,30
,鹿港高中,0,4,0,0,6,2,0,20,1,0,0,1,34
,溪湖高中,0,0,10,0,2,4,0,10,1,0,0,1,28
,達德商工,50,3,8,2,11,10,3,102,4,0,0,5,198
,彰化女中,0,2,3,0,2,8,0,0,0,0,0,1,16
,彰化師大附屬高工,0,0,3,0,2,1,0,25,0,0,0,2,33
,彰化高中,1,3,4,0,4,2,0,0,0,1,0,2,17
,彰化高商,38,0,2,1,6,4,0,15,1,3,0,2,72
,彰化藝術高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,總計,331,19,51,7,58,67,7,395,19,7,0,30,991
