
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,72,0,1,0,3,1,0,2,22,3,4,0,1,109
,二林高中,0,0,0,0,1,0,0,0,1,0,0,0,0,2
,大慶商工,37,0,0,2,5,2,1,5,38,0,0,0,0,90
,文興高中,1,0,0,0,2,0,2,1,2,0,0,0,0,8
,北斗家商,42,2,2,0,6,1,1,4,27,5,0,0,0,90
,正德高中,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,永靖高工,1,0,3,0,0,1,1,4,16,0,1,0,0,27
,成功高中,1,0,0,0,0,0,1,1,0,0,0,0,0,3
,秀水高工,71,0,1,1,3,1,0,7,43,4,3,0,0,134
,和美高中,0,0,0,0,1,0,0,0,0,1,0,0,1,3
,員林家商,41,3,0,0,1,0,1,5,27,2,1,0,1,82
,員林高中,0,2,2,0,1,0,2,1,0,0,0,0,0,8
,員林高中分校,2,0,0,0,0,0,0,0,1,0,0,0,0,3
,員林崇實高工,3,0,3,0,1,0,0,8,22,1,1,0,0,39
,員林農工,44,0,1,2,1,0,0,6,35,1,4,0,0,94
,鹿港高中,1,0,4,1,5,1,1,4,17,0,3,0,0,37
,溪湖高中,1,0,6,1,3,0,5,4,3,1,1,0,0,25
,達德商工,56,1,3,4,9,0,1,10,69,1,0,0,2,156
,彰化女中,0,0,2,0,3,0,4,1,0,2,0,0,1,13
,彰化師大附屬高工,4,0,2,2,2,0,3,4,18,0,0,0,0,35
,彰化高中,0,1,2,0,2,0,3,0,0,1,1,0,0,10
,彰化高商,36,2,2,1,6,0,1,5,7,5,4,0,1,70
,彰化藝術高中,0,1,1,0,2,0,0,3,1,0,0,0,0,8
,總計,413,12,35,14,57,7,27,75,349,28,23,0,7,1047
