
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土城高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,大灣高中,0,2,0,0,4,1,0,0,0,2,0,0,9
,六信高中,5,0,1,0,2,3,0,25,1,1,0,1,39
,天仁工商,7,0,1,0,2,2,1,27,1,0,0,1,42
,北門高中,0,1,1,0,1,2,0,0,0,0,0,1,6
,北門農工,40,1,1,0,0,1,2,37,0,2,0,0,84
,永仁高中,0,0,0,0,0,1,1,0,0,0,0,0,2
,玉井工商,4,0,0,0,1,3,2,17,0,0,0,0,27
,白河商工,36,0,1,1,3,0,0,9,1,1,0,0,52
,光華女中,1,1,3,0,0,3,1,9,0,1,0,0,19
,成大附工,0,0,0,0,0,0,0,8,0,0,0,0,8
,育德工家,9,0,2,2,6,11,2,42,1,0,0,0,75
,亞洲餐旅,6,0,1,1,0,1,4,40,0,0,0,0,53
,明達高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,長榮女中,3,0,3,0,2,4,1,35,3,0,0,1,52
,長榮高中,1,0,2,1,3,4,1,9,0,1,0,0,22
,南光高中,1,0,0,0,0,0,0,1,0,0,0,0,2
,南科國際實驗高中,0,1,0,0,0,0,0,1,0,0,0,0,2
,南英商工,7,0,1,1,8,5,2,57,2,1,0,0,84
,南寧高中,0,0,0,0,0,0,0,2,0,0,0,1,3
,後壁高中,1,0,1,1,4,2,1,5,0,0,0,1,16
,家齊女中,0,3,4,1,3,2,1,14,0,1,0,0,29
,崑山高中,15,0,0,1,4,6,5,55,5,0,0,0,91
,曾文家商,0,0,1,1,0,3,1,23,0,1,0,0,30
,曾文農工,44,0,1,0,4,2,0,48,1,1,0,1,102
,港明高中,0,0,1,0,0,1,0,0,0,1,0,0,3
,善化高中,0,0,0,0,3,4,1,0,1,0,0,1,10
,華濟永安高中,1,0,0,0,0,0,0,0,0,0,0,0,1
,陽明工商,1,0,1,0,3,2,1,22,0,0,0,2,32
,慈幼工商,4,1,3,0,2,6,8,63,2,1,0,1,91
,慈濟高中,0,0,1,0,0,0,1,0,0,2,0,0,4
,新化高工,43,1,0,0,3,3,4,23,2,0,0,0,79
,新化高中,0,1,3,0,2,0,0,1,1,0,0,0,8
,新榮高中,43,0,1,1,1,3,2,33,2,2,0,0,88
,新營高工,1,0,0,0,2,1,0,23,2,0,0,3,32
,新營高中,0,2,0,0,3,1,0,3,1,0,0,2,12
,新豐高中,1,0,1,0,1,1,0,15,0,0,0,0,19
,聖功女中,0,0,0,0,1,1,0,0,0,0,0,0,2
,臺南一中,1,3,7,0,4,10,1,2,2,5,0,2,37
,臺南二中,0,3,2,1,4,1,2,0,0,6,0,0,19
,臺南大學附中,2,2,4,1,2,0,2,45,0,5,0,1,64
,臺南女中,0,3,7,0,7,3,0,0,0,1,0,1,22
,臺南海事,2,1,4,0,3,1,0,30,0,1,0,0,42
,臺南高工,80,1,3,1,1,3,3,65,7,4,0,0,168
,臺南高商,40,2,5,1,8,5,4,30,1,6,0,0,102
,德光中學,0,0,1,0,1,3,1,1,1,0,0,0,8
,黎明高中,0,0,0,1,1,0,0,0,0,0,0,0,2
,興國高中,0,0,0,1,1,1,1,0,0,0,0,0,4
,瀛海高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,總計,399,29,69,17,100,106,56,823,37,46,0,20,1702
