
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土城高中,0,1,0,0,0,0,2,0,1,0,0,0,0,4
,大灣高中,0,0,3,0,1,0,0,0,1,0,0,0,0,5
,六信高中,16,0,1,0,1,0,0,8,26,1,0,0,0,53
,天仁工商,6,0,1,0,0,0,0,1,17,0,0,0,0,25
,北門高中,0,1,0,0,0,0,1,1,2,0,1,0,0,6
,北門農工,45,1,2,1,1,0,5,3,43,4,3,0,0,108
,永仁高中,0,0,0,0,1,0,0,0,1,0,0,0,0,2
,玉井工商,4,1,4,0,2,0,1,0,21,0,0,0,0,33
,白河商工,34,0,1,0,0,0,1,1,1,5,1,0,0,44
,光華高中,1,0,6,0,3,0,0,1,10,1,2,0,0,24
,成大附工,0,0,0,0,0,0,0,1,1,0,0,0,0,2
,育德工家,10,2,1,0,3,0,3,2,33,1,0,0,0,55
,亞洲餐旅,10,0,0,0,1,0,2,3,38,0,0,0,0,54
,明達高中,0,0,0,0,1,0,0,0,0,0,0,0,1,2
,長榮女中,5,0,2,4,0,0,3,0,17,0,1,0,0,32
,長榮高中,3,0,2,1,5,0,2,1,13,0,5,0,0,32
,南光高中,0,0,1,0,0,1,0,1,0,0,0,0,0,3
,南科國際實驗高中,0,0,1,1,1,0,0,1,1,0,1,0,0,6
,南英商工,10,0,2,0,1,0,0,7,60,1,1,0,1,83
,南寧高中,0,1,2,0,2,0,3,0,1,0,0,0,0,9
,後壁高中,1,0,2,0,2,0,0,3,7,1,1,0,0,17
,家齊女中,0,2,2,0,4,0,3,0,23,0,2,0,0,36
,崑山高中,42,0,0,0,2,0,4,3,18,8,1,0,2,80
,曾文家商,3,0,1,0,3,0,1,4,17,0,0,0,0,29
,曾文農工,45,0,4,0,2,0,6,6,47,3,0,0,0,113
,港明高中,0,0,0,0,1,0,0,0,0,1,0,0,0,2
,善化高中,1,0,0,1,1,0,0,0,0,0,1,0,0,4
,陽明工商,2,0,0,0,2,0,1,0,21,1,0,0,0,27
,慈幼工商,11,1,2,0,4,0,3,4,73,1,4,0,0,103
,慈濟高中,0,1,1,0,1,0,1,0,0,0,3,0,0,7
,新化高工,46,0,0,0,1,0,1,4,39,1,2,0,0,94
,新榮高中,51,0,0,0,3,0,1,1,18,2,2,0,0,78
,新營高工,2,0,3,0,2,0,2,1,19,1,3,0,0,33
,新營高中,0,2,2,0,9,0,4,0,0,3,3,0,0,23
,新豐高中,1,2,3,0,4,0,3,1,9,0,1,0,0,24
,聖功女中,1,0,0,0,1,0,0,1,1,0,0,0,0,4
,臺南一中,0,3,6,0,6,0,6,2,1,0,9,0,0,33
,臺南二中,0,2,0,0,2,1,5,4,1,1,3,0,0,19
,臺南大學附中,3,2,6,0,3,0,3,3,30,0,4,0,0,54
,臺南女中,0,3,14,0,3,0,4,0,0,2,0,0,0,26
,臺南海事,2,1,3,0,0,0,1,5,39,0,1,0,0,52
,臺南高工,67,0,2,1,3,0,5,6,78,12,11,0,0,185
,臺南高商,40,0,3,0,4,2,5,4,36,5,1,0,0,100
,鳳和高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,德光中學,0,0,0,0,0,0,3,1,2,0,0,0,0,6
,黎明高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,興國高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,瀛海高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,462,26,83,9,88,4,86,84,766,55,68,0,4,1735
