
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,77,0,0,0,0,0,0,2,21,3,2,0,0,105
,二林高中,0,0,0,0,1,0,0,0,1,0,0,0,0,2
,大慶商工,26,0,0,1,4,0,0,10,34,0,0,0,0,75
,文興高中,0,0,1,0,0,0,0,1,1,0,0,0,0,3
,北斗家商,42,2,2,0,2,2,1,5,23,3,0,0,0,82
,正德高中,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,永靖高工,0,0,0,0,0,0,1,6,17,0,0,0,0,24
,成功高中,0,0,0,0,0,0,0,2,0,0,0,0,0,2
,秀水高工,71,0,1,1,1,1,0,4,26,2,3,0,0,110
,和美高中,0,0,0,0,1,0,0,0,0,2,1,0,1,5
,員林家商,41,1,1,1,1,0,0,6,14,3,0,0,0,68
,員林高中,0,2,1,0,0,0,1,0,0,0,0,0,0,4
,員林高中分校,5,0,0,0,0,0,0,2,4,0,0,0,0,11
,員林崇實高工,1,0,3,0,0,0,1,8,12,0,2,0,0,27
,員林農工,38,1,1,2,0,0,0,7,24,1,4,0,0,78
,鹿港高中,1,0,2,1,3,0,0,4,11,0,3,0,0,25
,溪湖高中,2,0,5,1,2,0,1,6,0,1,1,0,0,19
,達德商工,35,3,4,5,2,0,1,7,61,0,0,0,0,118
,彰化女中,0,1,2,0,2,1,1,1,0,0,0,0,0,8
,彰化師大附屬高工,2,0,2,2,1,0,2,4,21,0,1,0,0,35
,彰化高中,0,2,2,0,4,0,0,0,0,1,0,0,0,9
,彰化高商,38,1,2,0,3,1,2,5,6,2,2,0,0,62
,彰化藝術高中,0,0,1,0,1,1,0,1,3,0,0,0,0,7
,精誠高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,總計,379,13,30,14,29,6,11,82,279,18,19,0,1,881
