
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,52,1,0,0,2,1,0,26,4,1,0,1,88
,二林高中,0,0,0,0,1,0,2,0,0,0,0,0,3
,大慶商工,46,0,3,2,9,11,3,58,2,1,0,2,137
,文興高中,0,0,0,0,1,1,1,0,0,0,0,0,3
,北斗家商,32,0,4,0,5,1,1,19,1,0,0,1,64
,正德高中,2,1,0,0,5,1,1,4,0,0,0,3,17
,永靖高工,2,0,0,0,3,4,2,20,0,0,0,1,32
,成功高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,秀水高工,81,1,3,0,2,2,6,34,5,2,0,0,136
,員林家商,42,0,4,0,0,2,3,25,1,0,0,0,77
,員林高中,2,3,2,0,2,3,1,1,0,1,0,0,15
,員林農工,27,1,1,1,3,5,1,28,2,1,0,2,72
,崇實高工,3,0,2,0,2,1,3,20,0,1,0,0,32
,鹿港高中,1,3,1,0,4,2,3,17,0,0,0,1,32
,溪湖高中,0,0,13,0,3,1,1,7,2,0,0,0,27
,達德商工,47,2,8,3,9,9,6,73,2,0,0,5,164
,彰化女中,0,4,3,0,5,6,0,0,0,0,0,2,20
,彰化師大附屬高工,0,0,4,0,0,0,1,25,0,0,0,2,32
,彰化高中,0,3,2,1,5,2,1,1,1,1,0,0,17
,彰化高商,39,2,2,1,4,1,1,18,1,2,0,2,73
,彰化藝術高中,0,0,1,0,0,1,0,1,0,0,0,0,3
,精誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,376,21,53,8,65,55,37,378,21,10,0,22,1046
