
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,77,0,0,1,0,0,0,4,27,3,2,0,0,114
,二林高中,0,0,0,0,1,0,0,0,1,0,0,0,0,2
,大慶商工,30,0,0,1,4,0,0,10,36,0,0,0,0,81
,文興高中,0,0,1,0,0,0,0,1,1,0,0,0,0,3
,北斗家商,46,2,2,0,2,2,2,5,24,3,0,0,0,88
,正德高中,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,永靖高工,0,0,0,0,1,0,1,7,19,0,0,0,0,28
,成功高中,0,0,0,0,0,0,0,2,0,0,0,0,0,2
,秀水高工,75,0,1,1,1,1,0,6,33,2,2,0,0,122
,和美高中,0,0,0,0,1,0,0,0,0,2,1,0,1,5
,員林家商,47,1,1,1,2,0,1,6,23,3,0,0,0,85
,員林高中,0,2,1,0,2,0,1,1,0,0,0,0,0,7
,員林崇實高工,0,0,4,0,2,0,0,8,16,0,2,0,0,32
,員林農工,41,0,2,5,2,0,0,7,34,1,4,0,0,96
,鹿港高中,2,0,2,2,3,0,0,5,18,0,3,0,0,35
,溪湖高中,1,0,5,1,2,0,1,5,1,1,1,0,0,18
,達德商工,46,3,4,6,5,0,1,9,92,1,0,0,0,167
,彰化女中,0,1,2,0,2,1,2,1,0,0,0,0,0,9
,彰化少年輔育院,6,0,0,1,0,0,0,3,9,0,0,0,1,20
,彰化師大附屬高工,4,0,2,2,3,0,3,5,26,0,1,0,0,46
,彰化高中,0,3,2,0,8,0,1,0,0,1,1,0,1,17
,彰化高商,41,1,2,1,4,1,0,6,7,2,2,0,0,67
,彰化藝術高中,0,0,1,0,2,0,0,1,3,0,0,0,0,7
,精誠高中,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,總計,416,13,33,22,47,5,13,92,370,20,19,0,3,1053
