
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二林工商,80,0,1,1,3,1,0,22,6,3,0,0,117
,大慶商工,42,0,2,2,6,4,6,60,2,0,0,6,130
,文興高中,1,0,0,0,1,1,0,1,0,0,0,2,6
,北斗家商,45,0,2,0,3,2,1,22,2,0,0,0,77
,正德高中,1,2,1,0,5,0,2,1,0,0,0,1,13
,永靖高工,1,0,4,1,2,3,3,24,0,0,0,0,38
,成功高中,0,0,0,0,0,0,0,3,0,0,0,0,3
,秀水高工,78,1,1,0,3,2,9,29,4,3,0,1,131
,員林家商,42,4,3,0,0,3,3,26,1,1,0,1,84
,員林高中,0,2,3,0,1,2,1,0,0,0,0,0,9
,員林高中分校,4,0,0,0,0,0,1,2,0,0,0,0,7
,員林農工,40,2,1,1,2,3,4,31,4,3,0,2,93
,崇實高工,1,0,2,0,3,0,7,21,0,0,0,0,34
,鹿港高中,0,2,2,1,5,3,4,16,0,1,0,0,34
,溪湖高中,0,1,8,0,0,5,4,4,0,0,0,0,22
,達德商工,46,0,4,1,8,6,11,77,4,0,0,3,160
,彰化女中,0,4,3,0,4,3,0,0,0,0,0,3,17
,彰化師大附屬高工,0,0,4,0,1,1,5,24,0,0,0,1,36
,彰化高中,0,0,3,0,4,4,1,0,1,1,0,0,14
,彰化高商,42,2,4,1,5,6,3,13,2,4,0,2,84
,彰化藝術高中,0,1,1,0,1,1,0,1,0,0,0,0,5
,總計,423,21,49,8,57,50,65,377,26,16,0,22,1114
