
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,十信高中,2,0,0,1,4,4,2,7,0,1,0,1,22
,士林高商,34,4,2,0,10,7,6,4,5,12,0,2,86
,大同高中,0,1,0,0,2,3,2,0,0,0,0,0,8
,大安高工,37,0,4,0,8,5,5,8,1,12,0,0,80
,大直高中,0,2,1,0,0,1,1,1,0,2,0,1,9
,大理高中,1,0,0,0,0,0,0,1,0,0,0,0,2
,大誠高中,0,0,0,0,0,1,0,5,0,0,0,0,6
,中山女中,0,0,1,0,7,4,0,0,0,0,0,0,12
,中正高中,0,1,2,0,4,4,2,2,2,3,0,2,22
,中崙高中,0,1,1,0,4,3,0,1,1,1,0,0,12
,中興高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,內湖高工,31,1,2,0,2,1,2,7,6,5,0,0,57
,內湖高中,0,0,1,0,1,0,1,2,1,1,0,0,7
,文德女中,0,0,0,0,1,0,0,2,0,0,0,0,3
,方濟高中,0,0,3,0,4,0,1,1,0,2,0,0,11
,木柵高工,34,0,0,0,2,3,0,2,3,13,0,0,57
,北一女中,0,4,8,0,21,10,2,0,0,5,0,1,51
,台北商業技術學院附高商進校,0,0,0,0,0,1,0,0,0,0,0,0,1
,永春高中,0,0,2,0,0,0,1,0,1,3,0,0,7
,再興中學,0,0,0,0,0,1,0,0,0,1,0,0,2
,成功高中,1,0,3,0,4,4,2,0,0,10,0,1,25
,成淵高中,0,0,2,0,1,5,1,0,0,0,0,0,9
,百齡高中,0,0,0,0,0,2,2,1,0,0,0,0,5
,西松高中,1,0,1,0,2,0,1,0,0,2,0,1,8
,志仁高中職業進修學校,2,1,0,0,4,5,3,2,0,1,0,1,19
,私立大同高中,0,0,1,0,4,0,0,5,0,3,0,1,14
,育成高中,0,1,1,0,1,0,2,0,0,1,0,0,6
,育達家商,15,2,1,0,8,2,6,36,4,14,0,1,89
,協和工商,19,2,2,0,4,8,8,56,4,10,0,0,113
,和平高中,0,0,1,0,1,1,0,1,0,2,0,0,6
,延平中學,0,0,0,0,2,0,0,0,0,0,0,0,2
,明倫高中,0,0,1,0,1,1,0,0,0,2,0,0,5
,東山中學,0,0,1,0,0,0,0,0,0,1,0,0,2
,東方工商,9,0,3,1,1,0,0,32,2,1,0,0,49
,松山工農,35,1,2,0,3,5,6,5,5,14,0,0,76
,松山家商,36,3,2,0,10,11,3,2,3,13,0,0,83
,松山高中,0,4,0,0,2,0,2,0,1,4,0,0,13
,金甌女中,4,1,3,0,5,4,5,2,3,1,0,1,29
,南港高工,35,0,0,0,2,4,3,16,4,13,0,0,77
,南港高中,0,0,2,0,1,1,1,1,0,3,0,0,9
,南湖高中,0,0,4,0,2,0,1,0,0,1,0,2,10
,南華高補,0,0,1,0,0,1,2,0,0,0,0,0,4
,建國中學,0,3,9,0,14,11,4,7,1,30,0,3,82
,政大附中,0,0,0,0,2,3,1,0,0,0,0,0,6
,師大附中,0,4,7,1,8,7,2,2,0,6,0,2,39
,泰北中學,5,1,3,0,10,4,7,29,0,9,0,0,68
,祐德高中,0,0,0,0,0,0,2,2,0,0,0,0,4
,強恕高中,7,0,1,0,5,0,0,7,1,2,0,1,24
,惇敘工商,40,0,0,0,0,1,2,25,5,9,0,1,83
,喬治工商,6,0,2,0,0,3,1,15,0,4,0,1,32
,復興中學(高中部),0,0,0,0,0,0,1,0,0,0,0,0,1
,復興高中,0,0,1,0,2,2,1,2,1,2,0,0,11
,景文高中,2,2,3,0,6,4,7,7,0,14,0,1,46
,景美女中,0,0,0,0,2,1,0,0,0,0,0,1,4
,華江高中,0,0,1,0,1,1,0,0,0,2,0,0,5
,華岡藝校,0,0,0,0,2,0,1,1,0,1,0,0,5
,華興中學,0,0,0,0,0,0,1,0,0,1,0,0,2
,開平餐飲學校,4,1,1,0,1,0,3,24,1,3,0,0,38
,開南商工,4,1,3,0,3,4,1,29,1,9,0,0,55
,陽明高中,0,1,0,0,1,3,1,0,0,0,0,0,6
,萬芳高中,0,0,0,0,0,2,1,1,0,2,0,0,6
,滬江中學,8,0,4,1,5,1,4,22,1,6,0,1,53
,稻江高商,1,0,0,0,2,2,1,9,0,2,0,0,17
,稻江護理家,44,0,3,0,2,6,3,25,3,4,0,1,91
,衛理女中,0,0,0,0,0,0,0,1,0,0,0,0,1
,靜修女中,0,0,0,0,1,3,1,3,0,1,0,0,9
,薇閣高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,麗山高中,0,0,1,0,1,0,1,1,0,5,0,0,9
,總計,417,42,98,4,196,161,119,414,60,269,0,27,1807
