
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,士林高商,35,2,2,0,10,6,9,13,3,17,0,1,98
,大同高中,0,1,1,0,4,2,2,0,0,1,0,0,11
,大安高工,33,1,2,0,5,8,6,16,7,18,0,1,97
,大直高中,0,1,1,0,2,2,3,3,0,4,0,0,16
,大理高中,0,0,1,0,0,0,1,0,0,6,0,2,10
,中山女中,0,0,1,0,7,7,1,0,0,3,0,0,19
,中正高中,0,3,2,0,1,4,1,5,1,9,0,1,27
,中崙高中,0,0,2,0,5,1,0,2,0,5,0,0,15
,內湖高工,34,0,2,0,1,3,3,20,5,12,0,0,80
,內湖高中,1,0,3,0,2,1,1,1,0,4,0,0,13
,木柵高工,37,0,0,0,2,1,3,9,3,14,0,0,69
,北一女中,0,2,13,0,13,8,2,1,1,4,0,1,45
,永春高中,0,0,2,0,2,1,0,0,0,4,0,0,9
,成功高中,0,4,5,0,5,6,3,3,0,25,0,1,52
,成淵高中,0,1,1,0,6,5,2,2,0,5,0,0,22
,百齡高中,0,1,0,0,0,2,2,0,0,1,0,1,7
,西松高中,0,0,0,0,4,0,0,3,0,3,0,1,11
,私立十信高中,5,0,1,1,5,2,3,8,0,3,0,1,29
,私立大同高中,0,0,1,0,1,1,2,17,0,5,0,0,27
,私立大誠高中,6,0,0,0,0,1,2,10,1,2,0,1,23
,私立文德女中,0,0,0,0,1,1,0,2,0,0,0,0,4
,私立方濟高中,0,0,2,0,1,0,2,0,0,2,0,1,8
,私立再興高中,0,0,0,0,1,0,0,0,0,1,0,0,2
,私立志仁高中職業進修學校,3,0,0,0,2,3,3,2,0,0,0,0,13
,私立育達高職,18,0,4,1,8,5,13,67,2,23,0,2,143
,私立協和工商,6,1,1,2,6,5,9,67,1,14,0,1,113
,私立延平高中,0,0,1,0,1,0,0,0,0,1,0,0,3
,私立東山高中,0,0,0,0,1,0,0,0,0,1,0,0,2
,私立東方工商,7,0,2,0,3,2,5,45,2,5,0,1,72
,私立金甌女中,4,0,3,0,7,6,3,7,0,3,0,0,33
,私立南華高中,1,0,0,0,1,0,2,0,0,2,0,0,6
,私立泰北高中,2,3,3,0,3,0,8,30,0,11,0,0,60
,私立祐德高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,私立強恕高中,3,0,0,0,4,1,1,5,1,3,0,0,18
,私立惇敘工商,29,0,0,1,4,1,10,40,6,10,0,0,101
,私立喬治工商,10,0,0,0,0,2,5,33,0,1,0,0,51
,私立景文高中,1,1,2,1,4,3,4,17,1,15,0,1,50
,私立華岡藝術學校,0,0,0,0,1,0,1,3,0,1,0,0,6
,私立華興中學,0,0,0,0,0,0,1,0,0,0,0,0,1
,私立開平餐飲學校,4,0,2,0,1,2,10,36,1,4,0,0,60
,私立開南商工,4,0,1,0,7,4,3,40,0,13,0,1,73
,私立達人女中,0,0,1,0,0,1,0,0,0,0,0,0,2
,私立滬江高中,3,0,2,0,5,4,4,32,1,8,0,1,60
,私立稻江高商,2,0,0,0,0,2,1,13,0,4,0,3,25
,私立稻江護家,50,0,5,0,2,4,9,44,5,9,0,2,130
,私立衛理女中,0,0,0,0,0,0,0,1,0,0,0,0,1
,私立靜修女中,0,0,1,0,0,1,1,3,0,2,0,1,9
,私立薇閣高中,0,0,0,0,0,1,0,0,0,1,0,0,2
,育成高中,0,1,0,0,1,1,2,1,0,2,0,0,8
,和平高中,0,0,2,0,2,2,0,3,0,4,0,0,13
,明倫高中,1,1,0,0,2,2,4,2,0,2,0,0,14
,松山工農,35,0,0,0,3,6,5,14,7,20,0,0,90
,松山家商,32,4,3,0,13,6,6,13,5,16,0,0,98
,松山高中,0,10,3,0,5,3,3,3,2,12,0,1,42
,南港高工,35,1,2,0,1,1,7,29,5,16,0,0,97
,南港高中,0,1,1,0,2,1,2,4,0,2,0,0,13
,南湖高中,1,0,1,0,3,2,2,3,0,5,0,0,17
,建國高中,0,4,6,0,18,8,2,4,4,38,0,3,87
,政大附中,0,0,0,0,3,1,0,2,0,4,0,0,10
,師大附中,0,1,8,0,3,7,4,2,0,18,0,3,46
,復興高中,0,0,1,0,2,1,0,6,0,3,0,0,13
,景美女中,0,1,0,0,2,0,0,0,0,0,0,0,3
,華江高中,0,2,1,0,3,2,2,3,0,3,0,1,17
,陽明高中,0,0,1,0,2,1,0,4,0,3,0,0,11
,萬芳高中,0,0,0,0,0,2,1,2,0,5,0,0,10
,麗山高中,0,0,0,0,1,1,2,2,0,6,0,0,12
,總計,402,47,99,6,204,156,183,699,64,438,0,33,2331
