
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,十信高中,3,0,0,0,4,3,1,4,0,1,0,2,18
,士林高商,33,4,2,0,12,7,8,3,4,9,0,1,83
,大同高中,0,1,1,0,2,1,2,0,0,0,0,0,7
,大安高工,39,0,3,0,8,1,7,8,1,12,0,1,80
,大直高中,0,3,0,0,0,0,0,0,0,1,0,0,4
,大理高中,1,0,0,0,1,0,0,1,0,0,0,0,3
,大誠高中,0,0,0,0,0,1,1,7,0,0,0,0,9
,中山女中,0,0,0,0,3,1,0,0,0,0,0,0,4
,中正中學,0,0,1,1,7,4,2,1,1,2,0,3,22
,中崙高中,0,2,0,0,2,3,0,0,2,1,0,0,10
,中興中學,0,0,1,0,0,0,0,0,0,0,0,0,1
,內湖高工,32,1,0,0,2,1,4,5,4,6,0,0,55
,內湖高中,0,0,0,0,2,1,1,3,1,1,0,0,9
,文德女中,0,0,0,0,1,0,0,2,0,0,0,0,3
,方濟中學,0,0,1,0,3,1,0,5,0,1,0,0,11
,木柵高工,36,0,0,0,3,3,0,2,1,9,0,1,55
,北一女中,0,3,5,0,17,13,2,0,0,3,0,1,44
,台北商業技術學院附高商進校,0,0,0,0,0,1,1,0,0,0,0,0,2
,永春高中,0,1,1,0,0,0,0,0,1,3,0,0,6
,再興中學,0,0,0,0,0,1,0,0,0,0,0,0,1
,成功高中,1,0,2,0,3,3,2,0,0,3,0,0,14
,成淵高中,0,0,2,0,1,3,1,0,0,1,0,0,8
,百齡高中,0,0,0,0,0,1,1,2,0,0,0,0,4
,西松高中,0,0,1,0,0,1,2,0,0,1,0,1,6
,志仁高中補校,3,4,0,0,3,1,1,3,1,2,0,4,22
,私立大同高中,0,0,2,0,3,1,0,0,0,1,0,0,7
,育成高中,0,0,1,0,1,0,1,1,0,2,0,0,6
,育達家商,13,0,2,0,6,6,4,32,2,10,0,2,77
,協和工商,19,1,2,0,4,5,10,48,3,8,0,0,100
,和平高中,1,0,0,0,2,0,0,0,0,2,0,0,5
,延平中學,0,0,0,0,2,0,0,0,0,0,0,0,2
,明倫高中,0,0,1,0,1,0,0,1,0,2,0,0,5
,東山中學,0,0,1,0,0,0,0,0,0,0,0,0,1
,東方工商,7,0,3,1,2,0,4,25,0,3,0,0,45
,松山工農,39,2,2,0,3,2,2,3,2,9,0,0,64
,松山家商,37,3,4,0,7,6,3,3,4,10,0,2,79
,松山高中,0,1,1,0,4,1,3,0,0,4,0,0,14
,金甌女中,3,1,3,0,8,1,5,2,2,1,0,2,28
,南港高工,37,0,0,0,1,3,5,13,3,9,0,0,71
,南港高中,0,0,2,0,1,2,0,0,0,2,0,0,7
,南湖高中,0,0,3,0,2,0,2,0,0,0,0,3,10
,南華高補,0,0,0,0,0,0,0,1,0,0,0,0,1
,建國中學,0,3,9,0,16,8,4,4,2,22,0,7,75
,政大附中,0,0,0,0,1,3,2,0,0,0,0,1,7
,師大附中,0,3,4,1,9,6,7,1,0,6,0,3,40
,泰北中學,2,1,7,0,13,5,10,33,2,7,0,0,80
,祐德中學,0,0,0,0,2,0,2,0,0,0,0,0,4
,強恕中學,5,0,0,0,3,0,1,4,0,3,0,1,17
,惇敘工商,42,0,0,0,1,1,8,22,1,14,0,1,90
,喬治工商,18,0,4,0,0,2,4,25,0,7,0,0,60
,復興高中,0,0,0,0,1,1,2,1,0,3,0,0,8
,景文高中,0,1,2,0,4,2,5,11,1,4,0,0,30
,景美女中,0,0,0,0,1,1,1,0,0,0,0,1,4
,華江高中,0,0,1,0,2,0,0,0,0,1,0,0,4
,華岡藝校,0,0,0,0,1,0,0,0,0,1,0,0,2
,華興中學,0,0,0,0,0,0,1,0,0,1,0,0,2
,開平餐飲學校,3,1,3,1,1,0,2,28,0,1,0,0,40
,開南商工,6,1,4,1,5,3,3,31,2,6,0,0,62
,陽明高中,0,1,0,0,1,3,2,0,0,1,0,0,8
,萬芳高中,0,0,0,0,0,2,0,0,0,2,0,0,4
,達人女中,0,0,0,0,0,1,0,0,0,0,0,0,1
,滬江中學,7,0,4,1,3,1,2,16,1,8,0,1,44
,稻江高商,4,0,0,0,2,0,1,10,0,0,0,1,18
,稻江護理家,47,0,2,0,1,4,3,24,3,2,0,0,86
,靜修女中,0,0,0,0,1,1,1,0,0,0,0,1,4
,麗山高中,0,1,2,0,2,1,0,1,0,3,0,0,10
,總計,438,39,89,6,191,123,136,386,44,211,0,40,1703
