
,教育階段：高中職,製表日期：2019/03/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,十信高中,0,0,0,0,3,0,0,6,17,0,9,0,3,38
,士林高商,28,0,2,0,3,4,1,12,34,4,30,0,6,124
,大同高中,0,1,5,0,2,0,2,3,6,0,22,0,0,41
,大同高中,0,0,0,0,1,0,0,2,9,0,6,0,0,18
,大安高工,24,1,5,0,1,0,1,15,81,2,72,0,1,203
,大直高中,0,1,5,0,0,0,2,1,7,0,7,0,0,23
,大理高中,0,0,1,0,1,1,0,4,8,0,6,0,1,22
,大誠高中,2,0,0,0,0,0,1,0,6,0,0,0,0,9
,中山女中,0,1,2,0,1,0,1,0,0,0,3,0,0,8
,中正高中,0,2,1,0,2,1,1,6,11,1,10,0,1,36
,中崙高中,0,0,0,0,1,1,1,1,2,0,10,0,0,16
,內湖高工,25,1,1,1,4,5,0,11,55,2,34,0,5,144
,內湖高中,0,1,0,1,1,1,2,3,2,0,13,0,0,24
,文德女中,0,0,0,0,0,0,0,2,2,0,0,0,0,4
,方濟高中,0,0,0,0,0,0,0,3,0,0,4,0,1,8
,木柵高工,17,0,3,0,0,0,0,10,53,2,35,0,4,124
,北一女中,0,1,2,1,2,3,6,1,2,0,11,0,0,29
,永春高中,0,0,1,0,1,0,0,4,5,0,10,0,0,21
,再興高中,0,0,0,0,0,0,0,1,0,0,1,0,0,2
,成功高中,0,0,5,0,2,0,1,6,6,1,24,0,0,45
,成淵高中,0,2,1,0,2,2,1,2,9,0,18,0,0,37
,百齡高中,0,0,2,0,1,3,0,3,4,0,7,0,1,21
,西松高中,0,0,1,0,3,1,0,3,2,0,7,0,0,17
,志仁高中職業學校,2,0,0,1,1,0,2,6,18,0,1,0,0,31
,育成高中,0,0,0,0,0,1,1,4,4,0,4,0,0,14
,育達高職,5,2,4,3,3,4,2,13,151,0,32,0,8,227
,協和祐德高中,2,0,0,0,0,0,0,4,34,0,10,0,3,53
,和平高中,0,1,1,0,3,2,1,7,6,0,17,0,0,38
,延平高中,0,0,0,0,0,0,0,0,0,0,2,0,0,2
,明倫高中,0,0,1,0,1,0,1,1,1,0,5,0,0,10
,東山高中,0,0,1,0,0,0,0,0,0,0,4,0,0,5
,東方工商,2,0,0,0,0,0,0,2,25,0,7,0,8,44
,松山工農,26,1,1,0,0,2,4,12,65,1,53,0,5,170
,松山家商,17,0,1,1,1,3,1,5,40,1,30,0,4,104
,松山高中,0,3,3,0,0,1,4,3,10,0,23,0,0,47
,金甌女中,2,0,1,0,0,0,0,4,8,0,2,0,0,17
,南港高工,20,0,5,0,3,0,1,16,61,2,33,0,3,144
,南港高中,0,0,0,0,0,1,0,4,3,0,8,0,0,16
,南湖高中,0,0,3,0,1,0,2,3,9,0,8,0,0,26
,南華高中,0,0,0,0,0,0,0,2,6,0,2,0,1,11
,建國高中,0,4,4,0,4,1,2,3,3,0,72,0,0,93
,政大附中,0,0,0,0,0,0,1,2,2,0,7,0,1,13
,師大附中,0,3,5,0,7,2,3,10,5,0,52,0,0,87
,泰北高中,0,0,2,0,0,0,1,6,33,0,14,0,1,57
,國立臺灣戲曲學院(高職部),0,0,0,0,0,0,0,1,4,0,3,0,0,8
,強恕高中,1,0,0,0,0,0,0,1,10,0,0,0,0,12
,惇敘工商,6,0,0,0,0,1,0,5,49,0,16,0,2,79
,喬治工商,2,0,0,0,0,0,0,1,16,0,0,0,2,21
,復興高中,0,0,0,0,1,1,2,6,7,0,6,0,0,23
,復興實驗高中,0,1,1,0,0,0,0,0,0,0,2,0,0,4
,景文高中,0,0,0,0,3,0,3,6,16,1,17,0,1,47
,景美女中,0,1,2,0,1,1,0,1,1,0,8,0,0,15
,華江高中,0,0,1,0,0,1,0,2,6,0,12,0,0,22
,華岡藝術學校,0,0,0,0,0,0,0,1,8,0,2,0,0,11
,華興中學,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,開平餐飲學校,0,1,1,1,1,0,0,4,40,0,13,0,4,65
,開南商工,4,0,0,0,0,0,2,1,60,0,11,0,1,79
,陽明高中,0,0,1,0,0,0,1,0,6,0,7,0,0,15
,萬芳高中,0,0,1,0,1,1,1,2,9,1,7,0,0,23
,滬江高中,1,0,0,0,1,0,0,6,51,1,10,0,3,73
,稻江高商,1,1,0,0,0,0,1,2,26,0,2,0,2,35
,稻江護家,24,1,2,0,2,2,1,9,63,0,10,0,7,121
,衛理女中,0,0,2,0,0,0,1,0,1,0,0,0,0,4
,靜修女中,0,0,1,0,0,0,0,1,5,0,0,0,0,7
,薇閣高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,麗山高中,0,0,1,0,0,0,1,0,2,0,12,0,0,16
,總計,211,30,82,9,66,46,59,256,1185,19,863,0,79,2905
