縣市,20090601,20091020,20100322,20100528,20101020,20110301,20110321,20110530,20131021,20140320,20140528,20141020,20150320,20150528,20151021,20160321,20160530,20161020,20170320,20171020,20180320,20180528,20181020,20190320,20190528
台北市,63,63,63,63,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄市,20,21,21,21,22,22,42,42,51,51,51,54,54,54,65,64,64,69,69,75,75,75,80,80,80
台北縣,37,42,46,46,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宜蘭縣,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15
桃園縣,21,26,34,34,39,39,39,39,47,47,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0
新竹縣,5,8,11,11,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,19,19,19,18,18,18
苗栗縣,10,12,15,15,16,16,16,16,19,19,19,19,19,19,20,20,20,20,21,23,23,23,21,21,21
台中縣,33,34,42,42,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彰化縣,26,28,30,30,33,33,33,33,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38
南投縣,15,18,18,18,20,20,20,20,21,21,21,22,22,22,21,21,21,20,20,20,20,20,20,20,20
雲林縣,15,15,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,24,24,25,25,25,25,25,25
嘉義縣,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7
台南縣,24,25,30,30,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄縣,15,17,19,19,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,22,24,26,26,26,26,26,26,25,25,25,25,25,25,27,27,27,27,26,26,26,26,24,24,24
台東縣,6,7,8,8,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣,11,11,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14
澎湖縣,6,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
基隆市,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
新竹市,14,16,17,17,19,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19
台中市,19,19,19,19,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉義市,4,4,5,5,5,5,5,5,8,8,8,9,9,9,10,10,10,10,10,12,12,12,12,12,12
台南市,8,8,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金門縣,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
連江縣,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北市,0,0,0,0,0,0,62,62,67,67,67,67,67,67,69,69,69,70,70,74,74,74,76,76,76
新北市,0,0,0,0,0,0,52,52,67,67,66,69,69,69,71,71,71,75,75,80,80,80,84,84,84
臺中市,0,0,0,0,0,0,63,63,67,67,67,68,68,68,69,69,69,69,69,68,68,60,58,58,58
臺南市,0,0,0,0,0,0,42,42,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48
臺東縣,0,0,0,0,0,0,0,0,9,9,9,8,8,8,9,9,9,9,9,9,9,9,10,10,10
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,48,48,50,50,50,53,53,56,56,56,58,58,58
