縣市,20090601,20091020,20100322,20100528,20101020,20110301,20110321,20110530,20131021,20140320,20140528,20141020,20150320,20150528,20151021,20160321,20160530,20161020,20170320,20171020,20180320,20180528,20181020,20190320,20190528
台北市,339,353,351,351,350,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄市,127,138,138,139,142,142,222,222,245,245,245,249,246,247,257,249,249,259,256,253,252,252,261,259,260
台北縣,139,232,232,232,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宜蘭縣,85,87,84,84,69,68,68,68,43,45,46,42,41,41,70,47,47,47,47,35,39,39,37,36,37
桃園縣,335,339,339,339,348,348,332,332,275,270,270,251,0,0,0,0,0,0,0,0,0,0,0,0,0
新竹縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苗栗縣,129,143,142,141,150,151,151,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台中縣,78,79,79,79,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彰化縣,70,71,71,71,78,77,77,77,82,81,83,82,82,82,84,84,84,120,119,123,127,127,106,138,138
南投縣,78,79,79,79,80,80,80,80,72,72,72,73,73,73,74,73,73,81,81,56,65,64,45,45,45
雲林縣,59,67,66,66,78,78,78,78,49,48,48,51,51,51,50,50,51,50,50,51,50,50,47,48,48
嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台南縣,91,83,83,83,92,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄縣,81,77,77,77,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,89,88,88,88,78,81,81,81,61,61,61,60,60,60,57,53,53,53,53,50,50,50,52,52,52
台東縣,50,50,49,49,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣,44,41,41,41,52,52,52,52,53,51,51,44,44,44,48,43,43,41,41,38,38,38,38,38,38
澎湖縣,27,28,28,28,25,24,24,24,17,17,17,11,11,11,12,10,10,8,11,8,10,10,5,5,5
基隆市,77,78,78,78,80,79,79,79,68,70,70,70,70,70,78,79,79,79,78,66,68,69,50,51,52
新竹市,78,78,78,78,91,91,91,91,81,79,79,82,82,82,81,81,81,89,88,88,89,89,90,91,91
台中市,92,90,90,90,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉義市,87,89,89,89,93,93,93,93,87,87,87,84,82,82,86,81,81,82,81,80,80,80,83,81,81
台南市,90,90,90,90,90,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺北市,0,0,0,0,0,0,351,351,248,245,246,255,254,255,288,255,256,260,258,246,248,248,249,247,246
新北市,0,0,0,0,0,0,232,232,314,308,307,319,316,316,288,278,278,316,317,277,285,288,239,260,259
臺中市,0,0,0,0,0,0,177,177,256,256,257,225,224,225,212,233,233,228,227,206,203,204,195,194,194
臺南市,0,0,0,0,0,0,180,180,81,80,80,79,79,79,80,79,79,84,84,87,86,86,86,85,88
臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,250,250,260,245,244,225,224,223,222,221,208,207,209
