縣市,20090601,20091020,20100322,20100528,20101020,20110301,20110321,20110530,20131021,20140320,20140528,20141020,20150320,20150528,20151021,20160321,20160530,20161020,20170320,20171020,20180320,20180528,20181020,20190320,20190528
台北市,167,162,162,162,159,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄市,40,41,41,41,43,43,75,72,83,83,83,85,85,85,94,93,93,96,96,102,102,102,108,108,108
台北縣,61,69,73,73,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宜蘭縣,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,31,31,31
桃園縣,55,59,67,67,72,72,72,72,80,80,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0
新竹縣,8,11,14,14,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,22,22,22,21,21,21
苗栗縣,16,18,21,21,22,22,22,22,25,25,25,25,25,25,26,26,26,26,27,29,29,29,27,27,27
台中縣,40,40,48,48,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彰化縣,44,46,48,48,51,51,51,51,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56
南投縣,23,26,26,26,29,29,29,29,33,33,33,34,34,34,33,33,33,32,32,32,32,32,32,32,32
雲林縣,26,27,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,36,36,37,37,37,37,37,37
嘉義縣,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7
台南縣,30,31,36,36,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄縣,27,29,31,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,35,38,40,40,41,41,41,41,40,40,40,40,40,40,42,42,42,42,41,41,41,41,39,39,39
台東縣,9,10,11,11,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣,26,26,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29
澎湖縣,12,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12
基隆市,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16
新竹市,35,37,38,38,40,40,40,40,39,39,39,39,39,39,40,40,40,39,39,38,38,38,37,37,37
台中市,63,61,61,61,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉義市,25,25,26,26,26,26,26,26,29,29,29,30,30,30,31,31,31,31,31,33,33,33,33,33,33
台南市,29,29,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金門縣,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
連江縣,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北市,0,0,0,0,0,0,159,159,165,165,165,164,164,164,165,165,165,164,164,165,165,165,164,164,164
新北市,0,0,0,0,0,0,79,79,95,95,93,97,97,97,101,101,101,107,107,112,112,112,117,117,117
臺中市,0,0,0,0,0,0,111,112,113,113,113,113,113,113,114,114,114,114,114,114,114,106,105,105,105
臺南市,0,0,0,0,0,0,69,69,74,74,74,74,74,74,73,73,73,72,72,72,72,72,72,72,72
臺東縣,0,0,0,0,0,0,0,0,12,12,12,11,11,11,12,12,12,12,12,12,12,12,13,13,13
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,79,79,81,80,80,83,83,86,86,86,88,88,88
