
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,十信高中,1,0,0,0,2,0,1,3,9,0,11,0,4,31
,士林高商,30,1,6,0,6,4,2,6,36,2,29,0,1,123
,大同高中,0,0,0,0,1,0,0,1,13,0,4,0,0,19
,大同高中,0,1,2,0,2,0,1,1,3,0,16,0,0,26
,大安高工,33,0,5,0,2,0,6,15,72,2,46,0,1,182
,大直高中,0,0,4,0,2,0,3,4,2,0,12,0,1,28
,大理高中,0,0,1,0,0,1,1,1,9,0,4,0,0,17
,大誠高中,2,0,0,0,0,0,0,2,5,0,0,0,0,9
,中山女中,0,0,3,0,4,0,0,1,1,0,2,0,0,11
,中正高中,0,3,0,0,3,5,5,5,9,1,14,0,0,45
,中崙高中,0,1,4,1,0,1,1,2,2,0,13,0,0,25
,中興高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,內湖高工,34,0,3,1,3,1,1,7,46,2,29,0,4,131
,內湖高中,0,2,0,0,5,2,0,1,1,0,9,0,0,20
,文德女中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,方濟高中,0,0,0,0,0,0,1,0,3,0,0,0,0,4
,木柵高工,24,0,3,0,1,0,2,9,47,2,37,0,0,125
,北一女中,0,2,3,0,1,3,5,5,0,0,10,0,0,29
,永春高中,1,0,1,0,0,0,2,2,0,0,8,0,0,14
,再興高中,0,0,0,0,0,0,0,0,0,0,2,0,0,2
,成功高中,0,1,4,0,1,0,1,2,3,0,21,0,0,33
,成淵高中,0,1,2,0,1,1,2,4,5,0,12,0,0,28
,百齡高中,0,0,1,1,2,2,1,4,2,0,6,0,1,20
,西松高中,0,1,1,0,1,1,1,2,5,0,8,0,0,20
,志仁高中職業學校,1,0,0,1,1,0,1,1,21,0,3,0,1,30
,育成高中,0,0,0,0,0,1,1,5,8,0,4,0,1,20
,育達高職,6,2,4,1,2,4,3,16,143,0,27,0,8,216
,協和祐德高中,4,0,2,0,0,0,2,8,36,0,10,0,1,63
,和平高中,0,2,2,0,1,2,2,5,7,0,23,0,0,44
,延平高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,明倫高中,0,1,0,0,0,0,2,3,2,0,1,0,0,9
,東方工商,3,0,1,0,0,1,0,4,37,0,11,0,3,60
,松山工農,38,0,1,0,1,4,1,15,54,1,49,0,1,165
,松山家商,27,1,6,0,2,2,1,5,32,1,32,0,0,109
,松山高中,0,1,1,0,4,1,3,3,6,0,25,0,1,45
,金甌女中,1,0,1,0,1,0,1,3,15,0,5,0,0,27
,南港高工,32,0,4,0,1,1,1,17,64,2,34,0,3,159
,南港高中,0,0,0,0,1,0,1,1,6,0,4,0,0,13
,南湖高中,0,0,0,0,1,1,1,4,7,0,7,0,0,21
,南華高中,3,0,0,0,0,0,1,1,7,0,4,0,0,16
,建國高中,0,3,3,1,5,1,2,4,5,0,51,0,0,75
,政大附中,0,0,1,0,1,0,2,4,1,0,6,0,1,16
,師大附中,0,4,3,0,8,2,11,8,4,1,35,0,0,76
,泰北高中,1,0,2,1,1,0,2,6,43,0,15,0,1,72
,國立臺灣戲曲學院(高職部),0,0,0,0,0,0,0,1,3,0,0,0,0,4
,強恕高中,0,0,0,0,0,0,0,1,8,0,0,0,0,9
,惇敘工商,16,1,0,0,1,0,0,2,41,0,14,0,0,75
,喬治工商,4,0,0,0,0,0,0,0,19,0,1,0,0,24
,復興高中,0,0,2,0,1,0,2,4,8,0,7,0,0,24
,復興實驗高中,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,景文高中,2,0,0,0,2,2,3,4,23,0,13,0,1,50
,景美女中,0,0,1,0,1,1,4,1,1,0,5,0,0,14
,華江高中,0,0,1,0,2,1,0,2,5,0,14,0,0,25
,華岡藝術學校,0,0,0,0,0,0,0,2,5,0,3,0,0,10
,開平餐飲學校,1,1,0,1,0,0,1,6,53,0,7,0,2,72
,開南商工,3,0,0,0,0,0,0,6,44,0,14,0,0,67
,陽明高中,0,0,0,1,3,0,0,1,8,0,9,0,0,22
,萬芳高中,0,1,1,0,2,0,0,1,9,0,5,0,0,19
,達人女中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,滬江高中,0,0,0,0,1,0,0,8,53,0,14,0,5,81
,稻江高商,1,0,1,0,1,0,0,4,27,0,1,0,0,35
,稻江護家,43,3,4,0,2,0,2,8,58,0,11,0,3,134
,衛理女中,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,靜修女中,0,0,2,0,0,0,1,1,4,0,1,0,0,9
,薇閣高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,麗山高中,0,0,2,0,2,0,2,3,4,0,9,0,0,22
,總計,311,34,89,9,85,45,90,246,1144,14,771,0,44,2882
