
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,十信高中,2,0,0,1,4,4,2,7,0,1,0,1,22
,士林高商,34,4,2,0,10,7,6,4,5,12,0,2,86
,大同高中,0,1,0,0,1,3,2,0,0,0,0,0,7
,大安高工,37,0,4,0,8,5,6,9,1,12,0,0,82
,大直高中,0,2,1,0,0,1,2,1,0,1,0,0,8
,大理高中,1,0,0,0,0,0,0,1,0,0,0,0,2
,大誠高中,0,0,0,0,0,1,0,5,0,0,0,0,6
,中山女中,0,0,1,0,7,4,0,0,0,0,0,0,12
,中正中學,0,1,2,0,4,3,2,2,2,2,0,2,20
,中崙高中,0,1,1,0,4,3,0,1,1,1,0,0,12
,中興中學,0,0,1,0,0,0,0,0,0,0,0,0,1
,內湖高工,31,1,2,0,2,1,3,7,6,5,0,0,58
,內湖高中,0,0,1,0,1,0,1,2,1,1,0,0,7
,文德女中,0,0,0,0,1,0,0,2,0,0,0,0,3
,方濟中學,0,0,3,0,4,0,1,1,0,2,0,0,11
,木柵高工,35,0,0,0,2,3,1,2,3,13,0,0,59
,北一女中,0,4,8,0,21,11,2,0,0,5,0,1,52
,台北商業技術學院附高商進校,0,0,0,0,0,1,0,0,0,0,0,0,1
,永春高中,0,0,2,0,0,0,0,0,1,3,0,0,6
,再興中學,0,0,0,0,0,1,0,0,0,1,0,0,2
,成功高中,1,0,3,0,4,4,2,0,0,10,0,1,25
,成淵高中,0,0,2,0,1,5,2,0,0,0,0,0,10
,百齡高中,0,0,0,0,0,2,2,1,0,0,0,0,5
,西松高中,1,0,1,0,2,0,1,0,0,2,0,1,8
,志仁高中職業進修學校,2,1,0,0,6,5,3,3,0,1,0,1,22
,私立大同高中,0,0,1,0,4,0,0,5,0,3,0,1,14
,育成高中,0,1,1,0,1,0,2,0,0,1,0,0,6
,育達家商,15,2,1,0,8,2,6,37,4,15,0,1,91
,協和工商,20,2,3,0,5,8,11,56,4,10,0,0,119
,和平高中,0,0,1,0,1,1,0,1,0,2,0,0,6
,延平中學,0,0,0,0,2,0,0,0,0,0,0,0,2
,明倫高中,0,0,1,0,1,0,0,0,0,2,0,0,4
,東山中學,0,0,1,0,0,0,0,0,0,1,0,0,2
,東方工商,9,0,3,1,1,0,1,34,2,1,0,0,52
,松山工農,34,1,2,0,3,4,7,5,5,14,0,0,75
,松山家商,36,3,2,0,10,12,3,2,3,13,0,0,84
,松山高中,0,4,0,0,2,0,2,0,1,5,0,0,14
,金甌女中,4,1,3,0,5,2,6,2,3,1,0,1,28
,南港高工,35,0,0,1,2,4,3,21,4,11,0,0,81
,南港高中,0,0,2,0,1,1,0,1,0,3,0,0,8
,南湖高中,0,0,4,0,2,0,2,0,0,1,0,2,11
,南華高補,0,0,1,0,0,0,1,0,0,0,0,0,2
,建國中學,0,3,9,0,14,12,4,7,1,31,0,3,84
,政大附中,0,0,0,0,2,3,1,0,0,0,0,0,6
,師大附中,0,4,7,1,8,7,2,2,0,6,0,2,39
,泰北中學,5,1,3,0,11,4,9,32,0,9,0,0,74
,祐德中學,0,0,0,0,0,0,2,2,0,0,0,0,4
,強恕中學,7,0,1,0,4,0,0,7,1,2,0,1,23
,惇敘工商,38,0,0,0,0,1,5,28,5,9,0,1,87
,喬治工商,6,0,3,0,0,3,2,16,0,4,0,1,35
,復興中學(高中部),0,0,0,0,0,0,1,0,0,0,0,0,1
,復興高中,0,0,1,0,2,1,1,2,1,2,0,0,10
,景文高中,2,2,3,0,6,3,7,7,0,14,0,1,45
,景美女中,0,0,0,0,2,1,0,0,0,0,0,1,4
,華江高中,0,0,1,0,1,1,0,0,0,2,0,0,5
,華岡藝校,0,0,0,0,2,0,1,1,0,1,0,0,5
,華興中學,0,0,0,0,0,0,1,0,0,1,0,0,2
,開平餐飲學校,4,1,1,0,1,0,3,24,1,3,0,0,38
,開南商工,4,1,4,0,3,4,2,30,1,9,0,0,58
,陽明高中,0,1,0,0,1,3,2,0,0,0,0,0,7
,萬芳高中,0,0,0,0,0,2,1,1,0,2,0,0,6
,滬江中學,8,0,4,1,5,2,5,22,1,6,0,1,55
,稻江高商,1,0,0,0,2,2,2,11,0,2,0,0,20
,稻江護理家,46,0,4,0,3,7,5,26,3,4,0,1,99
,衛理女中,0,0,0,0,0,0,0,1,0,0,0,0,1
,靜修女中,0,0,0,0,1,3,1,3,0,1,0,0,9
,薇閣高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,麗山高中,0,0,1,0,1,1,1,1,0,5,0,0,10
,總計,418,42,102,5,199,159,140,435,60,268,0,26,1854
