
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,士林高商,39,3,2,0,13,4,10,23,2,18,0,1,115
,大同高中,0,1,1,0,5,4,3,1,1,6,0,2,24
,大安高工,39,1,3,0,4,6,9,29,7,20,0,3,121
,大直高中,0,1,1,0,2,1,4,3,1,6,0,0,19
,大理高中,0,1,2,0,0,1,3,4,1,9,0,1,22
,中山女中,0,0,2,0,5,8,1,0,0,7,0,0,23
,中正高中,0,3,3,0,4,4,1,7,0,15,0,1,38
,中崙高中,0,0,2,0,1,3,0,1,1,6,0,0,14
,內湖高工,36,0,2,0,2,2,5,32,5,13,0,0,97
,內湖高中,1,0,2,0,5,2,1,3,1,8,0,0,23
,木柵高工,39,0,0,0,2,2,6,19,1,14,0,0,83
,北一女中,0,1,10,0,7,8,2,2,1,3,0,2,36
,永春高中,0,0,1,0,1,2,1,0,0,6,0,0,11
,成功高中,0,4,4,0,4,6,3,4,0,25,0,0,50
,成淵高中,0,2,2,0,7,3,2,4,0,7,0,0,27
,百齡高中,0,1,0,0,2,1,2,2,0,3,0,1,12
,西松高中,0,0,0,0,2,0,1,6,0,4,0,1,14
,私立十信高中,3,0,1,0,3,2,1,7,0,3,0,2,22
,私立大同高中,0,0,2,0,1,1,2,15,0,5,0,0,26
,私立大誠高中,6,0,0,0,0,1,2,8,1,3,0,1,22
,私立文德女中,0,0,0,0,0,1,0,2,0,0,0,0,3
,私立方濟高中,0,0,0,0,0,0,2,0,0,1,0,1,4
,私立再興高中,0,0,0,0,2,0,0,0,0,0,0,0,2
,私立志仁高中職業進修學校,4,0,0,0,1,0,2,2,0,0,0,0,9
,私立育達高職,16,0,6,3,9,5,11,85,2,24,0,2,163
,私立協和工商,5,1,0,2,4,2,7,56,1,15,0,0,93
,私立延平高中,0,0,1,0,1,0,0,0,0,1,0,0,3
,私立東山高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,私立東方工商,11,0,1,0,4,2,8,43,1,6,0,2,78
,私立金甌女中,2,0,3,0,7,3,6,15,0,3,0,0,39
,私立南華高中,2,0,0,0,0,1,4,2,0,1,0,0,10
,私立泰北高中,5,2,3,0,5,1,9,48,1,10,0,0,84
,私立祐德高中,0,0,0,0,0,0,1,1,0,0,0,0,2
,私立強恕高中,2,1,0,0,1,1,0,8,0,2,0,0,15
,私立惇敘工商,22,0,0,1,4,1,12,46,7,13,0,1,107
,私立喬治工商,7,0,0,0,1,1,4,36,0,2,0,0,51
,私立景文高中,1,0,1,1,4,2,1,23,1,11,0,1,46
,私立華岡藝術學校,0,0,0,0,0,0,1,3,0,1,0,0,5
,私立華興中學,0,0,0,0,1,0,0,0,0,0,0,0,1
,私立開平餐飲學校,3,0,2,1,1,2,12,46,1,5,0,0,73
,私立開南商工,4,0,2,0,7,3,5,36,0,11,0,1,69
,私立達人女中,0,0,1,0,1,0,0,0,0,0,0,0,2
,私立滬江高中,5,0,1,0,5,3,1,45,1,7,0,1,69
,私立稻江高商,1,0,0,0,0,1,1,15,0,2,0,2,22
,私立稻江護家,44,0,4,0,2,4,7,46,6,13,0,1,127
,私立靜修女中,0,0,2,0,1,3,1,1,0,0,0,0,8
,私立薇閣高中,0,0,0,0,0,0,0,0,0,1,0,0,1
,育成高中,0,1,1,0,1,2,2,2,0,5,0,0,14
,和平高中,0,0,2,0,2,3,1,5,0,7,0,0,20
,明倫高中,1,1,2,0,3,2,5,5,0,3,0,0,22
,松山工農,34,0,1,0,6,3,5,24,8,22,0,0,103
,松山家商,33,6,3,0,10,2,8,24,6,15,0,0,107
,松山高中,0,10,4,0,6,5,2,6,1,15,0,2,51
,南港高工,39,1,3,0,2,0,6,38,4,17,0,0,110
,南港高中,0,1,1,0,2,0,2,6,0,6,0,0,18
,南湖高中,1,0,1,0,2,3,2,5,0,4,0,1,19
,建國高中,0,4,8,0,11,10,4,3,4,44,0,2,90
,政大附中,0,0,0,0,2,0,0,2,0,3,0,0,7
,師大附中,0,0,4,0,4,8,5,2,0,22,0,1,46
,復興高中,0,0,0,0,2,1,2,12,0,5,0,1,23
,景美女中,0,2,0,0,1,0,0,0,0,1,0,0,4
,華江高中,0,2,1,0,5,2,4,6,0,4,0,2,26
,陽明高中,0,0,0,0,2,1,0,3,0,3,0,0,9
,萬芳高中,0,0,0,0,2,2,1,7,0,6,0,0,18
,臺北商業技術學院附高商進校,0,0,0,0,0,0,0,0,0,1,0,0,1
,麗山高中,0,0,1,0,0,2,2,2,0,9,0,0,16
,總計,405,50,99,8,195,143,205,881,66,502,0,36,2590
