縣市,20081020,20090320,20090601,20091020,20100322,20100528,20101020,20110321,20110530,20111020,20120320,20120528,20121020,20130320,20130528,20131021,20140320,20140528,20141020,20150320,20150528,20151021,20160321,20160530,20161020,20170320,20170531,20171020,20180320,20180528,20181020,20190320,20190528
南投縣,157,147,146,138,134,134,143,137,135,151,148,146,167,157,155,165,161,162,190,166,142,171,164,146,157,154,154,174,167,170,199,180,173
嘉義市,48,49,47,59,59,58,77,59,57,80,73,74,110,109,106,143,127,110,132,126,107,145,133,120,171,169,162,181,175,172,209,201,203
嘉義縣,85,78,78,84,82,81,111,105,103,126,121,123,174,173,173,186,184,149,180,158,141,154,141,138,166,157,157,183,166,165,166,160,160
基隆市,41,39,39,40,34,33,41,39,37,45,44,43,44,43,43,40,39,35,36,36,33,49,44,38,51,55,55,81,82,83,95,93,91
宜蘭縣,173,162,158,199,193,188,218,207,208,202,197,190,216,199,198,193,187,178,221,203,198,221,196,189,197,190,189,207,181,181,166,166,164
屏東縣,156,152,147,144,139,138,129,122,118,77,72,75,108,107,100,112,107,102,178,167,153,180,165,156,197,192,192,206,197,197,235,231,230
彰化縣,412,395,390,397,382,381,378,367,366,367,355,359,377,358,350,372,356,315,349,330,286,370,330,279,345,329,327,380,357,341,376,361,360
新北市,219,210,203,269,266,263,345,335,331,404,393,392,471,462,452,520,516,516,588,573,570,677,654,652,769,756,755,867,850,833,958,921,917
新竹市,209,206,199,255,247,243,258,252,248,284,277,279,318,315,312,378,362,350,406,399,393,478,408,349,444,401,398,420,391,387,410,387,394
新竹縣,134,126,125,133,126,126,140,140,138,169,167,166,188,180,180,217,214,188,229,220,208,242,210,173,250,242,240,269,244,243,264,256,254
桃園市,248,240,240,235,228,228,273,262,262,358,347,348,474,462,459,550,533,475,678,663,634,1006,951,876,1222,1175,1173,1365,1249,1248,1363,1291,1288
澎湖縣,10,8,7,4,4,4,3,3,3,4,4,4,4,4,4,8,9,7,10,6,6,8,7,6,13,13,13,18,18,18,30,29,29
臺中市,251,246,242,299,295,293,286,850,849,859,820,820,770,746,745,714,709,638,622,553,496,570,502,461,548,516,512,498,473,467,422,408,407
臺北市,386,386,384,435,414,411,555,544,540,699,685,686,881,868,861,1031,1011,993,1078,1054,1053,1145,1109,1106,1154,1144,1138,1206,1169,1173,1215,1185,1167
臺南市,313,310,307,337,334,334,381,793,791,841,815,823,841,828,822,796,779,722,812,789,766,868,813,708,782,768,764,735,697,696,705,696,692
臺東縣,100,89,90,114,112,112,130,127,124,130,120,119,129,122,118,135,126,122,121,115,112,127,112,105,117,110,109,106,95,93,102,102,100
花蓮縣,77,74,74,87,86,83,94,89,85,97,94,92,106,96,89,148,131,115,135,127,117,145,133,117,120,106,106,143,143,138,194,187,185
苗栗縣,156,153,153,168,166,160,195,185,185,203,195,205,251,241,239,302,301,291,403,383,376,449,440,415,463,453,455,404,399,399,358,352,351
連江縣,6,6,6,3,3,3,1,1,1,0,1,1,3,3,3,5,5,5,6,6,7,8,8,7,6,6,6,5,5,5,6,6,6
金門縣,13,13,13,13,13,13,21,20,20,24,22,23,29,29,29,28,26,20,25,17,18,23,23,20,37,36,36,40,38,37,48,47,46
雲林縣,87,84,81,117,114,113,157,148,147,194,189,182,217,203,203,220,206,173,245,221,219,273,259,231,333,324,320,355,333,331,419,405,405
高雄市,345,332,330,402,392,388,482,806,799,868,844,843,894,881,859,952,929,918,973,941,929,1004,917,912,867,832,825,901,863,860,876,830,826
