縣市,20081020,20090320,20090601,20091020,20100322,20100528,20101020,20110321,20110530,20111020,20120320,20120528,20121020,20130320,20130528,20131021,20140320,20140528,20141020,20150320,20150528,20151021,20160321,20160530,20161020,20170320,20170531,20171020,20180320,20180528,20181020,20190320,20190528
南投縣,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,9,7,7,3,3,3,3,3,3,2,2,2,5,5,5,10,10,10
嘉義市,12,13,13,13,13,13,14,13,13,14,14,14,14,13,13,12,11,11,9,8,6,9,8,8,9,9,9,11,10,11,7,7,7
嘉義縣,7,7,6,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1
基隆市,5,5,5,9,8,8,9,9,9,12,10,10,11,10,10,8,8,8,4,5,5,4,4,4,5,5,5,4,4,4,4,3,3
宜蘭縣,6,7,7,8,8,8,7,8,8,7,7,7,9,9,9,10,10,10,8,8,8,7,5,5,2,2,2,4,4,4,3,3,3
屏東縣,8,8,8,10,10,10,7,7,7,10,9,9,8,8,8,12,13,12,9,9,9,7,7,7,5,5,5,4,4,4,6,6,6
彰化縣,20,19,19,17,18,18,21,21,21,22,23,23,21,22,21,19,19,17,12,12,13,13,13,13,11,11,11,9,9,9,14,14,14
新北市,41,42,41,33,32,32,27,28,28,23,25,24,25,25,25,28,28,28,30,31,31,35,36,35,34,35,35,35,36,37,29,28,29
新竹市,4,4,4,6,6,6,8,8,8,8,8,8,9,9,8,7,7,7,12,12,12,8,8,8,9,9,9,5,5,5,6,6,6
新竹縣,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,1,1,1,0,0,0,0,0,0
桃園市,23,23,23,26,27,24,30,29,29,29,30,30,28,28,27,28,27,26,20,20,20,22,22,22,29,28,28,30,28,28,27,26,26
澎湖縣,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺中市,22,21,21,21,21,21,23,49,46,42,42,43,44,47,47,40,40,41,41,42,42,35,35,35,30,30,30,32,32,32,26,28,28
臺北市,39,39,40,42,42,42,41,42,42,47,45,45,50,51,50,43,43,43,35,35,35,31,29,29,33,34,34,33,33,32,31,30,30
臺南市,17,17,18,17,17,17,22,35,35,29,29,29,32,33,34,28,29,29,25,25,26,25,23,24,30,32,32,30,30,31,25,25,25
臺東縣,5,5,5,2,2,2,3,3,3,3,3,3,2,2,2,3,4,4,5,6,6,4,3,3,2,2,2,0,0,0,0,0,0
花蓮縣,4,4,4,5,5,5,6,6,6,7,7,7,6,6,6,8,8,7,5,5,4,7,6,5,5,5,5,3,3,3,2,2,2
苗栗縣,6,6,6,7,7,7,10,10,10,11,11,11,8,7,7,5,5,6,6,6,5,6,6,6,6,6,6,3,3,3,2,2,2
連江縣,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金門縣,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
雲林縣,15,16,16,19,19,19,16,16,16,11,11,11,6,6,6,4,4,3,4,4,4,9,7,6,9,9,9,6,5,5,3,3,3
高雄市,20,20,20,19,18,18,26,35,34,36,38,38,41,43,43,30,29,27,27,29,29,20,20,20,22,19,19,16,18,18,19,20,22
