
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,1,1,2,0,3,3,1,7,0,0,0,0,18
,大成商工,35,2,0,1,8,6,6,89,2,1,0,2,152
,大德工商,87,0,4,0,0,3,2,35,5,0,0,0,136
,斗六家商,0,1,2,0,4,3,3,11,0,0,0,0,24
,斗六高中,0,1,1,2,0,1,1,0,1,3,0,0,10
,斗南高中,0,0,1,0,1,0,0,1,0,0,0,0,3
,北港高中,0,1,0,0,3,0,0,0,2,0,0,2,8
,北港農工,40,0,0,0,1,1,2,13,1,0,0,0,58
,正心中學,0,0,0,0,2,3,1,0,0,0,0,0,6
,永年高中,1,0,0,0,1,1,0,1,0,0,0,0,4
,西螺農工,3,0,3,0,3,1,4,20,0,0,0,1,35
,虎尾高中,0,0,0,0,5,1,2,0,0,0,0,5,13
,虎尾農工,77,0,3,1,4,1,3,25,4,1,0,0,119
,麥寮高中,0,0,0,0,0,0,1,2,0,0,0,0,3
,揚子高中,0,0,0,0,2,0,0,0,0,0,0,0,2
,義峰高中,2,0,4,0,1,4,2,12,1,0,0,0,26
,福智高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,維多利亞實驗高級中學,0,0,0,0,0,0,0,0,0,0,0,1,1
,總計,246,6,20,4,38,29,28,217,16,5,0,11,620
