
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,0,1,2,0,4,2,1,6,0,0,0,1,17
,大成商工,32,2,0,1,9,7,4,64,1,1,0,2,123
,大德工商,95,0,4,1,5,4,3,34,2,0,0,1,149
,斗六家商,0,2,4,1,3,5,3,6,1,0,0,0,25
,斗六高中,0,2,1,1,2,1,0,0,1,0,0,0,8
,斗南高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,北港高中,0,2,1,0,4,0,1,0,0,0,0,0,8
,北港農工,38,0,0,0,0,2,2,16,0,0,0,1,59
,巨人高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,正心中學,0,0,0,0,1,0,0,0,0,0,0,0,1
,永年高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,西螺農工,1,1,4,1,1,3,1,17,0,1,0,2,32
,虎尾高中,0,0,0,0,3,1,2,0,0,1,0,2,9
,虎尾農工,78,1,4,2,4,1,2,23,3,1,0,0,119
,麥寮高中,0,0,0,0,0,0,1,2,0,0,0,0,3
,揚子高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,義峰高中,1,0,3,0,0,4,0,13,1,0,0,0,22
,福智高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,維多利亞實驗高級中學,0,0,0,0,0,0,0,0,0,0,0,1,1
,總計,245,11,25,7,37,33,20,182,9,4,0,10,583
