
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,0,0,0,0,1,2,0,0,16,0,1,0,0,20
,大成商工,36,0,3,0,1,1,2,3,123,1,1,0,0,171
,大德工商,90,0,0,0,0,0,2,0,40,2,0,0,0,134
,斗六家商,0,1,2,0,2,1,1,5,20,0,2,0,0,34
,斗六高中,0,0,1,0,2,0,2,1,2,1,0,0,0,9
,斗南高中,0,1,0,0,0,0,0,1,1,0,1,0,0,4
,北港高中,1,1,2,0,1,2,1,0,8,0,1,0,0,17
,北港農工,44,1,1,0,1,0,0,0,30,0,2,0,0,79
,古坑華德福實驗高中,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,巨人高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,正心中學,0,0,1,0,0,0,3,0,0,0,3,0,0,7
,永年高中,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,西螺農工,2,0,2,0,1,0,0,6,36,0,4,0,0,51
,虎尾高中,0,1,1,0,2,3,2,0,2,0,1,0,0,12
,虎尾農工,69,1,1,0,0,0,2,2,45,2,3,0,0,125
,麥寮高中,1,0,0,0,0,1,0,0,2,0,0,0,0,4
,揚子高中,0,0,0,0,1,0,2,0,0,0,0,0,0,3
,義峰高中,34,0,3,0,2,1,0,4,28,4,2,0,0,78
,福智高中,0,0,1,0,0,0,0,0,0,0,1,0,0,2
,維多利亞實驗高級中學,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,總計,277,6,20,0,14,11,18,22,355,10,22,0,0,755
