
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園高中,0,0,1,0,1,0,0,0,0,1,0,0,3
,大溪高中,0,1,0,0,0,0,0,0,0,1,0,0,2
,大興高中,6,1,1,1,4,2,3,9,0,2,0,0,29
,中壢家商,0,0,4,1,2,1,0,13,0,0,0,1,22
,中壢高中,0,4,1,1,0,0,1,1,1,4,0,7,20
,中壢高商,64,1,1,0,3,0,2,15,7,6,0,5,104
,內壢高中,0,2,2,0,3,1,0,1,2,9,0,1,21
,六和高中,0,0,2,0,0,0,0,2,0,3,0,0,7
,方曙商工,29,0,0,0,1,1,0,11,3,5,0,3,53
,平鎮高中,0,0,3,0,4,0,1,0,0,2,0,1,11
,永平工商,6,4,2,0,5,0,4,35,0,4,0,4,64
,永豐高中,1,1,1,0,1,0,1,1,0,1,0,1,8
,光啟高中,3,1,0,0,4,3,6,18,1,6,0,3,45
,成功工商,7,2,1,0,3,0,3,12,3,2,0,5,38
,至善高中,5,0,0,0,5,0,0,6,1,0,0,2,19
,育達高中,10,0,6,0,4,1,5,16,2,1,0,10,55
,武陵高中,0,2,6,1,11,2,1,0,0,12,0,9,44
,治平高中,2,0,0,1,4,1,0,17,2,2,0,1,30
,南崁高中,0,0,1,0,1,0,0,3,0,2,0,0,7
,泉僑高中,0,0,0,0,2,0,0,0,0,1,0,1,4
,振聲高中,2,0,3,0,7,2,4,6,4,5,0,3,36
,桃園高中,0,1,1,0,4,0,1,0,0,5,0,2,14
,桃園農工,83,2,3,2,4,2,4,23,7,9,0,9,148
,啟英高中,31,2,0,2,8,0,5,31,6,6,0,3,94
,清華高中,76,2,3,1,8,1,4,19,5,3,0,3,125
,復旦高中,0,0,2,0,2,0,1,0,0,1,0,1,7
,陽明高中,0,1,5,0,5,0,0,0,0,6,0,1,18
,新興高中,1,2,5,0,10,1,1,16,0,3,0,6,45
,楊梅高中,0,0,3,0,3,1,0,5,2,2,0,0,16
,壽山高中,0,0,0,0,0,0,0,1,0,4,0,0,5
,龍潭農工,73,1,6,0,1,0,2,12,13,3,0,0,111
,總計,399,30,63,10,110,19,49,273,59,111,0,82,1205
