
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,0,1,0,2,0,0,0,0,1,0,0,4
,大溪高中,0,1,0,0,0,0,0,0,0,1,0,0,2
,大興高中,7,1,1,1,4,2,4,9,0,2,0,0,31
,中壢家商,0,0,4,1,2,1,0,13,0,0,0,1,22
,中壢高中,0,4,1,1,0,0,1,1,1,4,0,7,20
,中壢高商,63,1,1,0,3,0,2,15,7,6,0,5,103
,內壢高中,0,2,2,0,3,1,0,2,2,9,0,1,22
,六和高中,0,0,1,0,0,0,1,2,0,3,0,0,7
,方曙商工,29,0,0,0,1,1,0,11,3,5,0,3,53
,平鎮高中,0,0,3,0,4,0,1,0,0,2,0,1,11
,永平工商,5,4,2,0,5,0,4,33,0,4,0,4,61
,永豐高中,1,1,1,0,1,0,2,0,0,1,0,1,8
,光啟高中,3,1,0,0,4,2,7,18,1,6,0,3,45
,成功工商,9,2,1,0,2,0,2,11,3,2,0,5,37
,至善高中,5,0,0,0,5,0,0,6,1,0,0,2,19
,育達高中,13,0,6,0,5,1,7,16,2,1,0,10,61
,武陵高中,0,2,6,1,11,2,1,0,0,13,0,9,45
,治平高中,2,0,0,1,3,1,3,13,2,2,0,1,28
,南崁高中,0,0,1,0,1,0,0,3,0,3,0,0,8
,泉僑高中,0,0,0,0,2,0,0,0,0,1,0,1,4
,振聲高中,3,0,3,1,7,2,5,6,4,6,0,3,40
,桃園高中,0,1,1,0,4,0,1,0,0,5,0,2,14
,桃園農工,79,2,3,2,4,2,4,22,7,8,0,9,142
,啟英高中,31,2,0,2,8,0,5,32,7,6,0,3,96
,清華高中,77,2,3,1,11,1,5,16,7,4,0,3,130
,復旦高中,0,0,3,0,2,0,1,0,0,1,0,1,8
,陽明高中,0,1,5,0,6,0,0,0,0,7,0,1,20
,新興高中,1,1,5,0,10,1,1,15,0,2,0,6,42
,楊梅高中,0,0,3,0,3,1,0,5,2,2,0,2,18
,壽山高中,0,0,0,0,0,0,0,1,0,3,0,0,4
,龍潭農工,71,1,6,0,1,0,2,12,12,3,0,0,108
,總計,399,29,63,11,114,18,59,262,61,113,0,84,1213
