
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,1,1,0,4,0,1,3,0,0,0,0,3,13
,大溪高中,0,0,0,1,3,0,0,2,1,0,1,0,0,8
,大興高中,18,1,2,0,4,0,0,2,21,0,4,0,3,55
,中央大學附屬中壢高中,0,3,5,0,0,2,2,4,4,2,10,0,2,34
,中壢家商,0,1,3,1,0,0,0,6,18,0,3,0,0,32
,中壢高商,75,0,3,0,1,2,1,6,16,10,9,0,1,124
,內壢高中,0,2,1,0,5,0,1,5,4,1,7,0,3,29
,六和高中,0,0,0,0,1,0,0,5,2,0,3,0,0,11
,方曙商工,29,0,0,0,0,0,0,3,14,4,0,0,0,50
,平鎮高中,0,0,2,0,5,0,0,3,4,1,7,0,2,24
,永平工商,11,4,6,0,1,0,2,20,87,3,6,0,3,143
,永豐高中,0,0,2,1,2,0,0,2,1,0,1,0,0,9
,光啟高中,11,0,0,2,1,0,4,4,30,0,2,0,0,54
,成功工商,15,0,3,0,5,0,3,10,36,1,5,0,2,80
,至善高中,9,0,0,0,0,0,0,2,12,0,0,0,0,23
,育達高中,12,0,4,0,6,0,1,12,44,3,6,0,4,92
,武陵高中,0,1,4,0,9,0,6,11,1,1,11,0,1,45
,治平高中,6,0,0,0,3,0,2,6,38,0,1,0,2,58
,南崁高中,1,0,2,0,4,0,0,5,2,1,3,0,1,19
,泉僑高中,2,0,0,1,0,0,0,3,5,0,1,0,1,13
,振聲高中,3,0,1,0,3,1,2,7,12,0,15,0,1,45
,桃園高中,0,4,3,0,5,2,1,7,2,0,11,0,3,38
,桃園農工,73,1,2,1,4,0,2,26,59,10,24,0,1,203
,啟英高中,46,1,8,0,4,0,2,13,103,3,8,0,3,191
,清華高中,98,0,0,0,5,0,1,2,24,10,5,0,0,145
,復旦高中,0,1,0,0,0,1,0,1,1,0,1,0,0,5
,陽明高中,0,0,3,1,3,1,1,5,2,1,10,0,0,27
,新興高中,3,0,3,0,5,2,3,19,44,5,10,0,8,102
,楊梅高中,0,0,3,0,3,1,2,8,6,0,5,0,1,29
,壽山高中,0,0,1,0,1,0,1,9,16,2,11,0,1,42
,龍潭高中,73,0,1,0,1,0,1,8,21,13,9,0,0,127
,觀音高中,0,0,0,0,0,0,0,4,4,0,0,0,0,8
,總計,485,20,63,8,88,12,39,223,634,71,189,0,46,1878
