
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大華高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,大興高中,6,1,1,0,8,2,4,17,0,1,0,1,41
,中壢家商,0,1,4,1,2,0,0,8,0,0,0,1,17
,中壢高中,0,6,3,0,2,1,0,0,1,0,0,5,18
,中壢高商,40,0,1,0,6,1,0,13,4,5,0,3,73
,內壢高中,0,2,2,0,1,0,0,0,0,2,0,0,7
,六和高中,0,0,1,0,1,2,0,3,0,2,0,0,9
,方曙商工,40,0,0,0,0,0,1,9,3,1,0,1,55
,平鎮高中,0,0,2,0,4,0,1,0,0,2,0,0,9
,永平工商,7,2,1,0,5,1,3,31,3,4,0,4,61
,永豐高中,1,0,3,0,2,0,0,1,0,1,0,0,8
,光啟高中,2,2,3,0,6,2,6,13,2,4,0,1,41
,成功工商,5,3,3,0,7,5,2,22,3,1,0,8,59
,至善高中,6,0,0,0,6,1,0,4,1,0,0,1,19
,育達高中,8,0,5,0,10,6,3,17,2,2,0,5,58
,武陵高中,0,4,5,0,9,5,2,1,0,6,0,3,35
,治平高中,3,0,1,0,8,1,3,7,1,1,0,3,28
,南崁高中,0,0,0,0,1,0,0,2,1,5,0,1,10
,泉僑高中,11,0,1,0,1,1,0,0,3,1,0,1,19
,振聲高中,0,0,2,0,11,3,2,10,1,2,0,0,31
,桃園高中,0,0,5,0,4,0,1,0,0,1,0,2,13
,桃園農工,63,1,2,0,3,2,1,19,10,11,0,3,115
,啟英高中,6,0,3,1,6,0,4,30,3,4,0,2,59
,清華高中,51,1,5,0,10,0,1,17,4,0,0,2,91
,復旦高中,0,0,0,0,1,0,0,0,0,1,0,1,3
,陽明高中,0,0,3,0,4,1,0,0,1,1,0,3,13
,新生醫校,0,0,0,0,0,0,1,0,0,0,0,1,2
,新興高中,0,0,3,0,10,5,1,11,1,0,0,1,32
,楊梅高中,0,0,0,0,3,0,0,4,1,1,0,0,9
,龍潭農工,25,0,5,0,1,0,0,9,3,2,0,2,47
,總計,274,23,64,2,133,39,36,248,48,61,0,55,983
