
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,1,1,0,3,0,0,3,0,0,0,0,3,11
,大溪高中,0,0,0,1,3,0,0,2,1,0,1,0,0,8
,大興高中,18,1,2,0,4,0,0,2,22,0,4,0,3,56
,中央大學附屬中壢高中,0,3,5,0,2,0,2,5,4,2,10,0,2,35
,中壢家商,0,1,3,1,0,0,0,6,19,0,3,0,0,33
,中壢高商,76,0,3,0,2,2,0,6,17,10,8,0,2,126
,內壢高中,0,2,1,0,5,0,1,4,4,1,7,0,3,28
,六和高中,0,0,0,0,1,0,0,3,2,0,3,0,0,9
,方曙商工,30,0,0,0,0,0,0,3,13,3,0,0,1,50
,平鎮高中,0,0,2,0,5,0,0,3,4,1,7,0,2,24
,永平工商,10,4,6,0,1,0,1,17,97,3,6,0,4,149
,永豐高中,0,0,2,1,2,0,0,1,1,0,1,0,0,8
,光啟高中,12,0,0,3,2,0,2,7,36,0,2,0,1,65
,成功工商,16,0,2,0,5,0,1,11,42,2,5,0,3,87
,至善高中,10,0,0,0,0,1,0,2,10,0,0,0,0,23
,育達高中,14,0,4,0,7,0,1,14,44,3,7,0,4,98
,武陵高中,0,1,4,0,9,0,6,10,1,1,13,0,1,46
,治平高中,5,0,0,0,4,0,2,6,41,0,1,0,2,61
,南崁高中,0,0,2,0,4,0,0,4,2,1,3,0,1,17
,泉僑高中,2,0,0,1,0,0,0,3,8,0,1,0,1,16
,振聲高中,4,0,1,0,3,1,2,7,13,0,14,0,1,46
,桃園高中,0,4,3,0,6,1,1,7,2,1,11,0,3,39
,桃園農工,75,1,2,1,4,0,2,26,63,9,24,0,1,208
,啟英高中,48,1,8,0,4,0,2,12,114,3,8,0,4,204
,清華高中,100,0,0,0,3,0,1,2,24,10,5,0,0,145
,復旦高中,1,1,0,0,1,0,0,0,1,0,1,0,0,5
,陽明高中,0,0,3,1,4,0,1,4,2,1,9,0,0,25
,新興高中,3,0,3,0,5,1,2,21,45,5,10,0,8,103
,楊梅高中,0,0,2,0,3,1,2,3,6,0,5,0,1,23
,壽山高中,0,0,1,0,1,0,1,9,15,2,11,0,1,41
,龍潭高中,73,0,1,0,1,0,1,7,21,13,9,0,0,126
,觀音高中,0,0,0,0,0,0,0,4,4,0,0,0,0,8
,總計,497,20,61,9,94,7,31,214,678,71,189,0,52,1923
