
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土城高中,0,0,0,0,0,0,1,0,2,0,0,0,0,3
,大灣高中,0,0,2,0,0,0,1,0,1,0,0,0,1,5
,六信高中,16,1,0,0,1,0,0,9,19,0,1,0,2,49
,北門高中,0,1,0,0,1,0,0,0,3,0,3,0,0,8
,北門農工,42,1,2,1,1,0,5,4,53,3,3,0,1,116
,永仁高中,0,0,0,0,1,0,1,0,1,0,0,0,0,3
,玉井工商,4,1,2,0,2,0,1,0,15,0,0,0,0,25
,白河商工,37,0,1,0,0,0,1,2,1,4,2,0,1,49
,光華高中,2,0,4,0,2,0,2,0,12,1,3,0,0,26
,成大附工,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,育德工家,6,2,2,0,4,0,2,3,40,0,1,0,0,60
,亞洲餐旅,7,0,0,0,1,0,2,4,41,0,0,0,0,55
,明達高中,0,0,0,0,1,0,0,0,0,0,0,0,1,2
,長榮女中,4,0,1,3,0,0,1,1,12,0,1,0,0,23
,長榮高中,1,0,0,1,2,0,2,1,24,0,5,0,0,36
,南光高中,0,0,2,0,0,0,0,0,0,0,0,0,0,2
,南科國際實驗高中,0,0,2,0,1,0,0,1,1,0,3,0,0,8
,南英商工,12,0,2,0,3,0,1,3,70,1,3,0,1,96
,南寧高中,0,1,3,0,2,0,0,0,1,0,0,0,0,7
,後壁高中,1,0,2,0,1,0,0,2,5,0,1,0,1,13
,家齊女中,0,0,3,0,4,0,4,0,25,0,2,0,0,38
,崑山高中,41,0,0,0,2,0,3,0,14,3,1,0,1,65
,曾文家商,3,0,2,0,2,0,1,3,17,0,0,0,0,28
,曾文農工,45,0,3,0,0,0,4,2,51,2,0,0,1,108
,港明高中,0,0,0,0,0,0,0,1,0,1,0,0,0,2
,善化高中,2,0,0,0,0,0,0,0,1,0,0,0,0,3
,陽明工商,3,1,0,0,2,0,0,0,24,1,1,0,0,32
,慈幼工商,8,1,1,0,5,0,2,4,74,2,2,0,2,101
,慈濟高中,0,0,0,0,1,0,1,0,0,0,2,0,0,4
,新化高工,39,0,0,0,1,0,1,3,37,2,1,0,0,84
,新榮高中,51,0,0,0,2,0,1,3,30,3,2,0,0,92
,新營高工,3,1,2,0,1,0,2,1,32,1,3,0,0,46
,新營高中,0,2,2,0,8,0,3,0,0,0,3,0,0,18
,新豐高中,0,2,2,0,4,0,2,0,7,0,1,0,0,18
,聖功女中,1,0,0,0,2,0,1,1,0,0,0,0,0,5
,臺南一中,0,1,3,0,4,0,8,1,3,0,11,0,0,31
,臺南二中,0,2,1,0,3,1,3,3,2,1,2,0,0,18
,臺南大學附中,2,1,2,0,3,0,2,1,28,0,4,0,0,43
,臺南女中,0,2,11,0,5,0,2,1,0,2,0,0,0,23
,臺南海事,1,1,4,0,0,0,1,4,41,0,1,0,0,53
,臺南高工,65,0,3,0,2,0,7,6,81,10,18,0,0,192
,臺南高商,39,1,5,0,6,2,6,5,40,3,2,0,0,109
,鳳和高中,1,0,0,0,1,0,0,0,0,0,0,0,0,2
,德光中學,0,0,0,0,0,0,2,1,3,0,0,0,0,6
,黎明高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,興國高中,0,1,0,1,1,0,0,0,0,0,1,0,0,4
,總計,436,23,69,6,82,3,77,70,813,40,83,0,12,1714
