
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土城高中,0,1,0,0,1,1,0,1,0,0,0,0,4
,大灣高中,0,1,1,0,4,1,0,1,0,0,0,0,8
,六信高中,6,0,1,0,2,3,1,29,2,1,0,1,46
,天仁工商,7,0,1,0,2,3,1,14,1,0,0,0,29
,北門高中,0,1,1,0,1,2,1,1,1,0,0,0,8
,北門農工,42,1,2,1,0,2,5,43,1,4,0,0,101
,永仁高中,0,0,0,0,0,1,1,0,0,0,0,0,2
,玉井工商,6,0,3,0,1,2,1,26,0,0,0,0,39
,白河商工,31,0,1,1,2,1,0,3,2,1,0,0,42
,光華女中,2,1,4,0,1,2,1,10,0,1,0,0,22
,成大附工,0,0,0,0,0,0,0,7,0,0,0,0,7
,育德工家,11,1,1,1,5,6,1,40,1,0,0,0,67
,亞洲餐旅,8,0,0,1,0,2,3,43,0,0,0,0,57
,明達高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,長榮女中,7,0,2,1,1,3,0,30,2,0,0,1,47
,長榮高中,2,0,3,0,5,4,1,9,0,1,0,0,25
,南光高中,1,0,0,0,0,0,0,0,0,0,0,0,1
,南科國際實驗高中,0,0,1,1,0,0,0,1,0,0,0,0,3
,南英商工,7,0,3,1,5,0,5,56,2,1,0,0,80
,南寧高中,0,0,0,0,0,1,0,2,0,0,0,0,3
,後壁高中,1,0,1,1,2,1,1,8,1,0,0,0,16
,家齊女中,0,4,4,1,3,0,0,16,0,0,0,0,28
,崑山高中,28,0,0,2,3,3,8,56,7,1,0,1,109
,曾文家商,0,0,0,0,1,3,2,20,0,0,0,0,26
,曾文農工,44,0,3,0,4,2,5,57,3,1,0,1,120
,港明高中,0,0,0,0,0,1,0,0,0,1,0,0,2
,善化高中,0,0,0,1,4,1,0,0,1,0,0,0,7
,華濟永安高中,1,0,0,0,0,0,0,0,0,0,0,0,1
,陽明工商,1,0,1,0,3,0,1,25,0,0,0,2,33
,慈幼工商,5,1,4,0,3,4,5,64,1,4,0,1,92
,慈濟高中,0,1,1,0,0,0,1,0,0,4,0,0,7
,新化高工,56,1,1,0,1,3,3,32,2,1,0,0,100
,新化高中,0,0,1,0,0,0,0,0,1,0,0,0,2
,新榮高中,45,0,2,0,1,1,1,25,3,1,0,1,80
,新營高工,1,0,1,0,3,1,1,17,2,0,0,1,27
,新營高中,0,2,0,0,3,3,0,2,4,0,0,0,14
,新豐高中,2,1,1,0,1,2,0,12,0,1,0,0,20
,聖功女中,0,0,0,0,1,0,0,1,0,0,0,0,2
,臺南一中,0,3,9,0,4,6,2,3,1,7,0,0,35
,臺南二中,0,3,1,1,2,3,2,1,0,5,0,0,18
,臺南大學附中,3,2,6,0,2,1,3,36,0,5,0,1,59
,臺南女中,0,4,10,0,5,2,0,0,0,0,0,0,21
,臺南海事,2,2,2,0,2,2,1,37,0,1,0,0,49
,臺南高工,81,0,2,2,3,2,5,78,9,4,0,0,186
,臺南高商,38,2,3,1,8,3,5,33,3,4,0,0,100
,德光中學,0,0,1,0,0,3,0,0,1,0,0,0,5
,黎明高中,0,0,0,1,2,0,0,0,0,0,0,0,3
,興國高中,0,0,0,1,1,1,1,0,0,0,0,0,4
,瀛海高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,438,32,78,18,92,83,68,841,51,49,0,10,1760
