
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土城高中,0,1,0,0,0,0,1,0,2,0,0,0,0,4
,大灣高中,0,1,2,0,3,0,0,0,1,0,0,0,0,7
,六信高中,12,0,1,0,3,0,3,5,28,1,1,0,0,54
,天仁工商,7,0,0,0,0,0,1,1,17,0,0,0,0,26
,北門高中,0,1,0,0,1,0,2,1,2,0,0,0,0,7
,北門農工,45,1,2,2,0,0,3,4,46,1,3,0,0,107
,永仁高中,0,0,0,0,1,0,0,1,1,0,0,0,0,3
,玉井工商,7,1,3,0,1,0,1,0,24,0,0,0,0,37
,白河商工,36,0,2,1,0,0,1,0,2,3,0,0,0,45
,光華女中,1,0,6,0,1,0,2,0,8,0,1,0,0,19
,成大附工,0,0,0,0,0,0,0,1,3,0,0,0,0,4
,育德工家,15,2,1,0,4,0,3,2,38,1,0,0,0,66
,亞洲餐旅,11,0,0,0,0,0,3,0,44,0,0,0,0,58
,明達高中,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,長榮女中,6,0,3,2,0,0,2,0,19,1,0,0,1,34
,長榮高中,4,0,2,1,3,0,4,2,7,0,3,0,0,26
,南光高中,0,0,0,0,2,0,0,1,0,0,0,0,0,3
,南科國際實驗高中,0,0,1,1,1,0,0,0,1,0,1,0,0,5
,南英商工,7,0,3,0,5,0,1,6,44,3,1,0,2,72
,南寧高中,0,0,2,0,1,0,1,0,1,0,0,0,0,5
,後壁高中,1,0,1,0,4,0,1,2,8,1,0,0,1,19
,家齊女中,0,3,1,0,5,0,2,0,16,0,1,0,0,28
,崑山高中,49,0,0,1,4,0,4,6,40,9,1,0,1,115
,曾文家商,1,0,1,0,1,0,1,3,14,0,0,0,0,21
,曾文農工,50,0,4,0,3,0,5,5,55,3,1,0,1,127
,港明高中,0,0,0,0,1,0,1,2,0,0,0,0,0,4
,善化高中,1,0,0,1,3,0,2,0,0,1,1,0,0,9
,陽明工商,1,0,1,0,3,0,0,0,25,0,0,0,2,32
,慈幼工商,7,1,2,0,4,0,4,5,67,0,5,0,1,96
,慈濟高中,0,1,1,0,0,0,1,1,0,0,3,0,0,7
,新化高工,43,1,0,0,3,0,2,4,28,2,2,0,0,85
,新化高中,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,新榮高中,53,0,1,0,2,0,0,1,21,1,1,0,1,81
,新營高工,0,1,2,1,2,0,2,2,13,0,1,0,0,24
,新營高中,0,3,2,0,6,0,4,0,2,3,2,0,0,22
,新豐高中,1,1,2,0,4,0,2,1,12,0,1,0,0,24
,聖功女中,0,0,0,0,1,0,0,1,1,0,0,0,0,3
,臺南一中,0,2,8,0,6,0,9,2,2,0,12,0,0,41
,臺南二中,0,3,0,1,2,0,5,2,1,0,4,0,0,18
,臺南大學附中,3,2,8,0,3,0,3,4,39,0,4,0,0,66
,臺南女中,0,3,16,0,2,0,3,0,0,0,0,0,0,24
,臺南海事,3,1,3,0,1,0,2,2,36,0,0,0,0,48
,臺南高工,68,0,3,2,3,0,3,5,73,14,6,0,0,177
,臺南高商,38,0,3,0,6,0,5,4,36,6,3,0,0,101
,德光中學,0,0,1,0,0,0,1,0,1,1,0,0,0,4
,黎明高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,興國高中,0,0,0,1,0,0,0,1,0,0,1,0,0,3
,瀛海高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,470,29,88,14,96,0,91,77,779,52,59,0,11,1766
